Class,PK_CountLineCode,PK_CountStmt,PK_CountDeclClassMethod,PK_CountDeclClassVariable,PK_CountDeclInstanceMethod,PK_CountDeclInstanceVariable,PK_CountDeclClass,PK_CountDeclFile,PK_SumCyclomatic,PK_MaxNesting,PK_CountDeclMethodDefault,PK_CountDeclMethodPrivate,PK_CountDeclMethodProtected,PK_CountDeclMethodPublic,PK_PKNOAMM,PK_PKNOI,PK_PKNOAC,CSLEX_NumberOfTokens,CSLEX_NumberOfUniqueTokens,CSLEX_NumberOfIdentifies,CSLEX_NumberOfUniqueIdentifiers,CSLEX_NumberOfKeywords,CSLEX_NumberOfUniqueKeywords,CSLEX_NumberOfAssignments,CSLEX_NumberOfOperatorsWithoutAssignments,CSLEX_NumberOfUniqueOperators,CSLEX_NumberOfSemicolons,CSLEX_NumberOfDots,CSLEX_NumberOfReturnAndPrintStatements,CSLEX_NumberOfConditionalJumpStatements,CSLEX_NumberOfUnConditionalJumpStatements,CSLEX_NumberOfExceptionStatements,CSLEX_NumberOfNewStatements,CSLEX_NumberOfSuperStatements,CSORD_CountLineCode,CSORD_CountStmt,CSORD_CountDeclClassMethod,CSORD_CountDeclClassVariable,CSORD_CountDeclInstanceMethod,CSORD_CountDeclInstanceVariable,CSORD_SumCSNOP,CSORD_SumCyclomatic,CSORD_MaxNesting,CSORD_PercentLackOfCohesion,CSORD_CountClassCoupled,CSORD_RFC,CSORD_FANIN,CSORD_FANOUT,CSORD_ATFD,CSORD_CFNAMM,CSORD_DAC,CSORD_NumberOfMethodCalls,CSORD_CountDeclMethodDefault,CSORD_CountDeclMethodPrivate,CSORD_CountDeclMethodProtected,CSORD_CountDeclMethodPublic,CSORD_CSNOAMM,CSORD_MaxInheritanceTree,CSORD_CountClassDerived,CSORD_CountClassBase,CSORD_NIM,CSORD_NMO,CSORD_NOII,CSORD_SumCountPath,CSORD_SumKnots,CSORD_NumberOfDepends,CSORD_NumberOfDependsBy,CSORD_NumberOfMethods,Testability
CharacterEventSet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,50,40,24,12,8,5,6,3,9,9,1,2,0,0,2,0,12,13,0,0,1,0,1,3,2,0,5,0,2,9,3,0,0,0,0,0,0,1,0,2,0,1,13,1,24,3,0,5,1,1,0.34956
CrossEntropyDriver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,52,43,22,13,11,7,5,3,10,8,1,2,0,0,1,0,16,14,0,0,1,0,2,3,2,0,5,0,3,5,1,0,0,0,0,0,0,1,0,2,0,1,13,1,24,3,0,3,1,1,0.3122666666666666
Document,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,96,122,39,60,15,17,19,9,35,22,9,3,0,2,7,0,65,52,0,0,11,5,5,15,2,70,9,0,28,32,3,0,2,0,0,0,0,11,5,1,0,1,12,1,24,15,1,0,6,11,0.7900314960629922
Event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,48,47,14,28,10,5,0,0,11,9,5,0,0,0,3,0,29,20,0,0,8,1,4,8,0,0,2,0,11,17,1,0,0,0,0,0,0,8,1,1,0,2,12,3,24,8,0,0,4,8,0.7619047619047619
EventSet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,61,67,24,33,10,6,14,5,14,12,5,1,0,0,5,0,31,24,0,0,8,2,5,9,1,50,4,0,31,19,0,0,1,1,0,0,0,8,2,1,0,1,12,1,24,9,0,1,10,8,0.611840347601264
NormalizeWhitespace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,49,44,15,17,13,5,13,5,9,10,1,3,0,0,2,0,17,14,0,0,1,0,1,4,2,0,2,0,1,7,1,0,0,0,0,0,0,1,0,2,0,1,13,1,24,4,1,1,1,1,0.5073920000000001
StripHTML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,47,36,14,12,11,2,12,4,6,9,1,3,0,0,1,0,13,11,0,0,1,0,1,4,3,0,2,0,1,6,1,0,0,0,0,0,0,1,0,2,0,1,13,1,24,4,1,1,1,1,0.5021013333333333
UnifyCase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,38,25,13,8,7,1,6,3,4,6,1,1,0,0,0,0,7,7,0,0,1,0,1,2,1,0,2,0,1,5,0,0,0,0,0,0,0,1,0,2,0,1,13,1,24,2,0,1,1,1,0.3507599999999999
jgaap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,49,29,20,15,8,1,1,1,7,11,0,0,0,0,3,0,16,11,2,0,0,0,1,2,0,0,5,0,2,8,1,0,0,0,0,1,0,1,0,1,0,1,12,0,24,2,0,1,1,2,0.291
com.sap.engine.services.dc.wsgate.Application,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,2315,143,497,70,174,18,28,59,6,94,262,16,11,0,0,22,0,187,125,3,1,16,9,19,30,1,84,3,37,60,41,1,6,9,6,0,0,0,19,15,1,0,2,12,2,21,87,5,0,13,19,0.7491413043478259
com.sap.engine.services.dc.wsgate.ArchiveFile,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1280,138,268,67,106,20,18,28,8,49,136,12,9,0,0,10,0,107,70,3,1,8,5,11,20,3,80,4,13,25,27,2,2,5,6,0,0,0,11,7,1,0,2,12,2,21,23,5,0,6,11,0.7189322493224932
com.sap.engine.services.dc.wsgate.Deploy,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1669,140,391,71,124,19,22,33,8,58,220,14,11,0,0,10,0,129,85,3,1,12,5,17,26,3,81,6,15,30,29,2,2,5,7,0,0,0,15,11,1,0,2,12,2,21,35,5,2,1,15,0.7028382076322502
com.sap.engine.services.dc.wsgate.DeployFault,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1256,130,275,65,104,20,16,23,6,47,143,12,7,0,1,10,0,102,67,3,1,9,5,13,19,1,81,4,13,24,22,1,2,5,6,0,0,0,12,7,2,0,2,12,2,21,20,5,0,3,12,0.7375024154589372
com.sap.engine.services.dc.wsgate.DeployLocal,2448,1700,46,16,189,82,20,20,433,4,0,2,1,232,152,2,0,1621,140,367,70,124,19,22,33,8,58,196,14,11,0,0,10,0,129,85,3,1,12,5,17,26,3,81,5,15,30,29,2,2,5,7,0,0,0,15,11,1,0,2,12,2,21,35,5,1,1,15,0.7028382076322502
