Class,CSORD_AvgLineCodeExe,CSLEX_NumberOfConditionalJumpStatements,CSORD_AvgLineCode,CSORD_NumberOfDepends,CSLEX_NumberOfUniqueIdentifiers,CSLEX_NumberOfDots,CSORD_CountDeclInstanceMethod,CSORD_CountDeclMethodPublic,CSORD_NIM,CSORD_AvgStmtDecl,CSORD_CountDeclClassMethod,CSLEX_NumberOfNewStatements,CSLEX_NumberOfReturnAndPrintStatements,CSORD_NumberOfClassConstructors,PK_CountDeclClassMethod,Testability
CharacterEventSet,7.0,2,10,5,24,9,1,1,13,6.0,0,2,1,0,0,0.34956
CrossEntropyDriver,9.0,2,14,3,22,8,1,1,13,6.0,0,1,1,0,0,0.3122666666666666
Document,3.0,3,5,0,39,22,11,11,12,1.6363636363636365,0,7,9,2,0,0.7900314960629922
Event,1.25,0,3,0,14,9,8,8,12,1.125,0,3,5,3,0,0.7619047619047619
EventSet,1.375,1,3,1,24,12,8,8,12,1.25,0,5,5,2,0,0.611840347601264
NormalizeWhitespace,10.0,3,15,1,15,10,1,1,13,4.0,0,2,1,0,0,0.5073920000000001
StripHTML,8.0,3,11,1,14,9,1,1,13,3.0,0,1,1,0,0,0.5021013333333333
UnifyCase,3.0,1,5,1,13,6,1,1,13,2.0,0,0,1,0,0,0.3507599999999999
jgaap,4.5,0,7,1,20,11,0,1,12,2.0,2,3,0,0,0,0.291
com.sap.engine.services.dc.wsgate.Application,3.736842105263158,11,6,0,70,262,16,19,12,1.1578947368421053,3,22,16,2,46,0.7491413043478259
com.sap.engine.services.dc.wsgate.ArchiveFile,4.090909090909091,9,7,0,67,136,8,11,12,1.4545454545454546,3,10,12,2,46,0.7189322493224932
com.sap.engine.services.dc.wsgate.Deploy,3.6666666666666665,11,6,2,71,220,12,15,12,1.4666666666666666,3,10,14,2,46,0.7028382076322502
com.sap.engine.services.dc.wsgate.DeployFault,3.333333333333333,7,6,0,65,143,9,12,12,1.25,3,10,12,2,46,0.7375024154589372
com.sap.engine.services.dc.wsgate.DeployLocal,3.6666666666666665,11,6,1,70,196,12,15,12,1.4666666666666666,3,10,14,2,46,0.7028382076322502
com.sap.engine.services.dc.wsgate.DeployLocalResponse,3.4444444444444446,6,6,1,56,113,6,9,12,1.3333333333333333,3,7,11,2,46,0.6317037037037037
com.sap.engine.services.dc.wsgate.DeployResponse,3.4444444444444446,6,6,1,56,113,6,9,12,1.3333333333333333,3,7,11,2,46,0.6317037037037037
com.sap.engine.services.dc.wsgate.DeployResult,3.6666666666666665,10,6,1,73,208,12,15,12,1.3333333333333333,3,13,14,2,46,0.6940538308860369
com.sap.engine.services.dc.wsgate.DeployWSPortTypeBindingStub,41.91666666666666,44,50,16,176,1921,11,10,12,4.333333333333333,1,135,15,3,46,0.4694010416666667
com.sap.engine.services.dc.wsgate.DeployWSPortTypeProxy,3.0,11,5,7,46,202,13,12,12,1.0,0,1,9,2,46,0.0976666666666666
com.sap.engine.services.dc.wsgate.DeployWSServiceLocator,2.933333333333333,6,5,3,69,176,15,15,12,1.3333333333333333,0,11,11,3,46,0.7121796690307329
com.sap.engine.services.dc.wsgate.GetVersion,3.8333333333333335,5,7,0,45,60,3,6,12,1.5,3,4,10,1,46,0.4314655172413792
com.sap.engine.services.dc.wsgate.GetVersionResponse,3.4444444444444446,6,6,0,55,97,6,9,12,1.3333333333333333,3,7,11,2,46,0.639578947368421
com.sap.engine.services.dc.wsgate.Option,3.5454545454545454,7,6,0,58,130,8,11,12,1.2727272727272727,3,10,12,2,46,0.7581864406779661
com.sap.engine.services.dc.wsgate.Start,3.6666666666666665,11,6,2,71,220,12,15,12,1.4666666666666666,3,10,14,2,46,0.7017961786755519
com.sap.engine.services.dc.wsgate.Stop,3.6666666666666665,11,6,2,71,220,12,15,12,1.4666666666666666,3,10,14,2,46,0.7038704724007755
com.sap.engine.services.dc.wsgate.Undeploy,3.6666666666666665,11,6,2,71,220,12,15,12,1.4666666666666666,3,10,14,2,46,0.7017961786755519
com.sap.engine.services.dc.wsgate.UndeployResponse,3.4444444444444446,6,6,1,56,113,6,9,12,1.3333333333333333,3,7,11,2,46,0.6343736263736263
com.sap.managementconsole.soap.axis.sapcontrol.AccessPoint,3.5294117647058822,9,6,0,66,215,14,17,12,1.1764705882352942,3,19,15,2,143,0.720455302261495
com.sap.managementconsole.soap.axis.sapcontrol.Alert,3.761904761904762,12,6,1,72,310,18,21,12,1.1428571428571428,3,25,17,2,143,0.7721559906005859
com.sap.managementconsole.soap.axis.sapcontrol.AlertNode,3.724137931034482,15,6,2,85,458,26,29,12,1.1034482758620692,3,37,21,2,143,0.8169360972147106
