From Class,To Class,References,From Entities,To Entities
io.crate.action.job.ContextPreparer,io.crate.action.job.ContextPreparer.InnerPreparer,2,2,1
io.crate.action.job.ContextPreparer,io.crate.action.job.ContextPreparer.PreparerContext,4,2,3
io.crate.action.job.ContextPreparer,io.crate.breaker.CrateCircuitBreakerService,3,2,3
io.crate.action.job.ContextPreparer,io.crate.breaker.RamAccountingContext,2,2,2
io.crate.action.job.ContextPreparer,io.crate.core.collections.Bucket,1,1,1
io.crate.action.job.ContextPreparer,io.crate.jobs.JobExecutionContext.Builder,1,1,1
io.crate.action.job.ContextPreparer,io.crate.operation.collect.MapSideDataCollectOperation,2,2,1
io.crate.action.job.ContextPreparer,io.crate.operation.collect.StatsTables,2,2,1
io.crate.action.job.ContextPreparer,io.crate.operation.count.CountOperation,2,2,1
io.crate.action.job.ContextPreparer,io.crate.operation.PageDownstreamFactory,2,2,1
io.crate.action.job.ContextPreparer,io.crate.operation.projectors.ResultProviderFactory,2,2,1
io.crate.action.job.ContextPreparer,io.crate.planner.node.ExecutionNode,1,1,1
io.crate.action.job.ContextPreparer,io.crate.planner.node.ExecutionNodeVisitor,1,1,1
io.crate.action.job.ContextPreparer,io.crate.planner.node.StreamerVisitor,2,2,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.action.job.ContextPreparer,10,3,8
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.action.job.ContextPreparer.PreparerContext,16,7,5
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.core.collections.Bucket,2,2,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.executor.callbacks.OperationFinishedStatsTablesCallback,4,2,2
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.executor.transport.distributed.ResultProviderBase,1,1,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.executor.transport.distributed.SingleBucketBuilder,3,2,2
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.jobs.CountContext,3,2,2
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.jobs.JobExecutionContext.Builder,3,3,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.jobs.PageDownstreamContext,3,2,2
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.metadata.Routing,1,1,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.operation.collect.JobCollectContext,3,2,2
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.operation.collect.MapSideDataCollectOperation,1,1,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.operation.collect.StatsTables,1,1,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.operation.PageDownstream,1,1,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.operation.PageDownstreamFactory,1,1,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.operation.projectors.ResultProvider,6,4,2
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.operation.projectors.ResultProviderFactory,1,1,1
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.planner.node.dql.AbstractDQLPlanNode,6,2,2
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.planner.node.dql.CollectNode,3,2,3
io.crate.action.job.ContextPreparer.InnerPreparer,io.crate.planner.node.dql.CountNode,4,2,4
