From Class,To Class,References,From Entities,To Entities
io.netty.buffer.DrillBuf,io.netty.buffer.FakeAllocator,2,1,2
io.netty.buffer.DrillBuf,io.netty.buffer.UnsafeDirectLittleEndian,2,2,1
io.netty.buffer.DrillBuf,org.apache.drill.exec.memory.Accountor,10,10,4
io.netty.buffer.DrillBuf,org.apache.drill.exec.memory.BufferAllocator,8,8,2
io.netty.buffer.DrillBuf,org.apache.drill.exec.ops.BufferManager,3,3,2
io.netty.buffer.DrillBuf,org.apache.drill.exec.ops.FragmentContext,3,3,2
io.netty.buffer.DrillBuf,org.apache.drill.exec.ops.OperatorContext,3,3,2
io.netty.buffer.DrillBuf,org.apache.drill.exec.util.AssertionUtil,1,1,1
io.netty.buffer.FakeAllocator,io.netty.buffer.DrillBuf,6,6,1
io.netty.buffer.FakeAllocator,io.netty.buffer.FakeAllocator.FakeAccountor,2,1,2
io.netty.buffer.FakeAllocator,org.apache.drill.exec.memory.Accountor,1,1,1
io.netty.buffer.FakeAllocator,org.apache.drill.exec.memory.BufferAllocator,3,3,1
io.netty.buffer.FakeAllocator,org.apache.drill.exec.memory.BufferAllocator.PreAllocator,1,1,1
io.netty.buffer.FakeAllocator,org.apache.drill.exec.memory.OutOfMemoryException,1,1,1
io.netty.buffer.FakeAllocator,org.apache.drill.exec.ops.FragmentContext,1,1,1
io.netty.buffer.FakeAllocator,org.apache.drill.exec.util.Pointer,1,1,1
io.netty.buffer.FakeAllocator.FakeAccountor,io.netty.buffer.DrillBuf,4,4,1
io.netty.buffer.FakeAllocator.FakeAccountor,org.apache.drill.exec.memory.Accountor,3,3,2
io.netty.buffer.PooledByteBufAllocatorL,io.netty.buffer.UnsafeDirectLittleEndian,4,2,2
org.apache.drill.BaseTestQuery,org.apache.drill.BaseTestQuery.SilentListener,3,2,2
org.apache.drill.BaseTestQuery,org.apache.drill.common.config.DrillConfig,3,3,2
org.apache.drill.BaseTestQuery,org.apache.drill.common.config.NestedConfig,2,1,2
org.apache.drill.BaseTestQuery,org.apache.drill.exec.client.DrillClient,5,5,3
