From Class,To Class,References,From Entities,To Entities
org.acme.insurance.launcher.PricingRuleLauncher,org.acme.insurance.Driver,2,2,1
org.acme.insurance.launcher.PricingRuleLauncher,org.acme.insurance.Policy,5,2,3
org.drools.base.DefaultConsequenceExceptionHandler,org.drools.impl.adapters.ActivationAdapter,2,1,2
org.drools.base.DefaultConsequenceExceptionHandler,org.drools.impl.adapters.StatefulKnowledgeSessionAdapter,2,1,2
org.drools.base.DefaultConsequenceExceptionHandler,org.drools.runtime.rule.ConsequenceException,2,1,2
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.beliefs.bayes.assembler.BayesNetworkAssemblerError,4,1,2
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.beliefs.bayes.assembler.BayesPackage,5,2,3
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.beliefs.bayes.BayesNetwork,4,2,3
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.beliefs.bayes.JunctionTreeBuilder,4,2,3
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.beliefs.bayes.model.Bif,1,1,1
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.beliefs.bayes.model.XmlBifParser,2,1,2
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.compiler.builder.impl.KnowledgeBuilderImpl,4,2,3
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.compiler.compiler.PackageRegistry,2,2,2
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.compiler.lang.descr.PackageDescr,2,1,2
org.drools.beliefs.bayes.assembler.BayesAssemblerService,org.drools.core.definitions.InternalKnowledgePackage,2,2,2
org.drools.beliefs.bayes.assembler.BayesNetworkAssemblerError,org.drools.compiler.compiler.DroolsError,2,2,2
org.drools.beliefs.bayes.assembler.BayesPackage,org.drools.beliefs.bayes.JunctionTree,4,4,1
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.BayesAbsorption,14,8,4
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.BayesNetwork,6,3,2
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.BayesVariable,39,20,2
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.GraphTest,17,3,2
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.JunctionTreeClique,30,9,3
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.JunctionTreeSeparator,9,3,3
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.JunctionTreeTest,10,5,2
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.PotentialMultiplier,9,3,3
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.bayes.SeparatorState,15,6,2
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.graph.Graph,3,3,1
org.drools.beliefs.bayes.BayesAbsorbtionTest,org.drools.beliefs.graph.GraphNode,16,11,2
org.drools.beliefs.bayes.BayesAbsorption,org.drools.beliefs.bayes.BayesVariable,3,3,2
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.beliefs.bayes.BayesBeliefSystem.M,25,22,1
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.beliefs.bayes.BayesFact,6,4,2
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.beliefs.bayes.BayesHardEvidence,6,6,3
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.beliefs.bayes.BayesInstance,13,4,5
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.beliefs.bayes.BayesVariable,4,4,1
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.beliefs.bayes.NonConflictingModeSet,2,1,2
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.beliefs.bayes.PropertyReference,8,4,3
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.beliefsystem.BeliefSet,23,12,7
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.beliefsystem.BeliefSystem,1,1,1
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.beliefsystem.simple.SimpleLogicalDependency,3,2,2
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.common.InternalFactHandle,1,1,1
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.common.LogicalDependency,12,6,4
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.common.NamedEntryPoint,2,2,1
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.common.TruthMaintenanceSystem,3,3,1
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.definitions.rule.impl.RuleImpl,2,2,1
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.reteoo.ObjectTypeConf,3,3,1
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.spi.Activation,5,5,2
org.drools.beliefs.bayes.BayesBeliefSystem,org.drools.core.spi.PropagationContext,7,7,1
org.drools.beliefs.bayes.BayesBeliefSystem.M,org.drools.beliefs.bayes.BayesHardEvidence,1,1,1
org.drools.beliefs.bayes.BayesFact,org.drools.beliefs.bayes.BayesInstance,1,1,1
org.drools.beliefs.bayes.BayesHardEvidence,org.drools.beliefs.bayes.BayesHardEvidence.M,8,7,1
org.drools.beliefs.bayes.BayesHardEvidence,org.drools.core.beliefsystem.BeliefSystem,3,3,1
org.drools.beliefs.bayes.BayesHardEvidence,org.drools.core.beliefsystem.ModedAssertion,1,1,1
