From Class,To Class,References,From Entities,To Entities
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.BrokerViewFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.ConnectionViewFacade,2,2,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.ConnectorViewFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.DurableSubscriptionViewFacade,3,3,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.JobFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.JobSchedulerViewFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.NetworkBridgeViewFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.NetworkConnectorViewFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.ProducerViewFacade,2,2,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.QueueViewFacade,2,2,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.SubscriptionViewFacade,3,3,1
io.fabric8.activemq.facade.BrokerFacade,io.fabric8.activemq.facade.TopicViewFacade,2,2,1
io.fabric8.activemq.facade.BrokerFacadeCallback,io.fabric8.activemq.facade.BrokerFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacadeCallback,io.fabric8.activemq.facade.BrokerFacadeCallback.T,1,1,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.BrokerFacade,19,19,3
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.BrokerFacadeSupport.getManagedObjects.T,4,3,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.BrokerFacadeSupport.proxy.T,2,2,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.BrokerViewFacade,4,4,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.ConnectionViewFacade,2,2,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.ConnectorViewFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.DurableSubscriptionViewFacade,3,3,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.JobFacade,6,3,2
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.JobSchedulerViewFacade,3,3,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.NetworkBridgeViewFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.NetworkConnectorViewFacade,1,1,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.ProducerViewFacade,8,8,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.QueueViewFacade,3,2,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.SubscriptionViewFacade,3,3,1
io.fabric8.activemq.facade.BrokerFacadeSupport,io.fabric8.activemq.facade.TopicViewFacade,3,2,1
io.fabric8.activemq.facade.ConnectionQuery,io.fabric8.activemq.facade.BrokerFacade,4,4,3
io.fabric8.activemq.facade.ConnectionQuery,io.fabric8.activemq.facade.ConnectionViewFacade,1,1,1
io.fabric8.activemq.facade.ConnectionQuery,io.fabric8.activemq.facade.SubscriptionViewFacade,1,1,1
io.fabric8.activemq.facade.DestinationFacade,io.fabric8.activemq.facade.BrokerFacade,5,5,3
io.fabric8.activemq.facade.DurableSubscriberFacade,io.fabric8.activemq.facade.BrokerFacade,1,1,1
io.fabric8.activemq.facade.DurableSubscriberFacade,io.fabric8.activemq.facade.DestinationFacade,2,2,2
