From Class,To Class,References,From Entities,To Entities
com.facebook.AccessToken,com.facebook.AccessToken.AccessTokenCreationCallback,4,2,3
com.facebook.AccessToken,com.facebook.AccessTokenManager,6,3,4
com.facebook.AccessToken,com.facebook.AccessTokenSource,11,9,4
com.facebook.AccessToken,com.facebook.FacebookException,8,3,2
com.facebook.AccessToken,com.facebook.FacebookSdk,2,2,2
com.facebook.AccessToken,com.facebook.internal.Utility,9,5,5
com.facebook.AccessToken,com.facebook.internal.Validate,4,2,2
com.facebook.AccessToken,com.facebook.LegacyTokenHelper,9,1,8
com.facebook.AccessToken,com.facebook.LoggingBehavior,1,1,1
com.facebook.AccessToken.(Anon_2),com.facebook.AccessToken,5,2,2
com.facebook.AccessToken.AccessTokenCreationCallback,com.facebook.AccessToken,1,1,1
com.facebook.AccessToken.AccessTokenCreationCallback,com.facebook.FacebookException,1,1,1
com.facebook.AccessToken.createFromNativeLinkingIntent.(Anon_1),com.facebook.AccessToken,2,1,2
com.facebook.AccessToken.createFromNativeLinkingIntent.(Anon_1),com.facebook.AccessToken.AccessTokenCreationCallback,3,2,2
com.facebook.AccessToken.createFromNativeLinkingIntent.(Anon_1),com.facebook.AccessTokenSource,1,1,1
com.facebook.AccessToken.createFromNativeLinkingIntent.(Anon_1),com.facebook.FacebookException,3,2,2
com.facebook.AccessToken.createFromNativeLinkingIntent.(Anon_1),com.facebook.internal.Utility.GraphMeRequestWithCacheCallback,1,1,1
com.facebook.AccessTokenCache,com.facebook.AccessToken,9,7,4
com.facebook.AccessTokenCache,com.facebook.AccessTokenCache.SharedPreferencesTokenCachingStrategyFactory,4,4,2
com.facebook.AccessTokenCache,com.facebook.AccessTokenManager,1,1,1
com.facebook.AccessTokenCache,com.facebook.FacebookSdk,2,2,2
com.facebook.AccessTokenCache,com.facebook.internal.Validate,1,1,1
com.facebook.AccessTokenCache,com.facebook.LegacyTokenHelper,6,5,4
com.facebook.AccessTokenCache.SharedPreferencesTokenCachingStrategyFactory,com.facebook.FacebookSdk,1,1,1
com.facebook.AccessTokenCache.SharedPreferencesTokenCachingStrategyFactory,com.facebook.LegacyTokenHelper,3,1,2
com.facebook.AccessTokenCacheTest,com.facebook.AccessToken,22,20,4
com.facebook.AccessTokenCacheTest,com.facebook.AccessTokenCache,58,24,6
com.facebook.AccessTokenCacheTest,com.facebook.AccessTokenCache.SharedPreferencesTokenCachingStrategyFactory,3,2,2
com.facebook.AccessTokenCacheTest,com.facebook.AccessTokenManager,1,1,1
com.facebook.AccessTokenCacheTest,com.facebook.AccessTokenSource,1,1,1
com.facebook.AccessTokenCacheTest,com.facebook.AccessTokenTestHelper,3,3,1
com.facebook.AccessTokenCacheTest,com.facebook.FacebookPowerMockTestCase,1,1,1
com.facebook.AccessTokenCacheTest,com.facebook.FacebookSdk,6,6,1
com.facebook.AccessTokenCacheTest,com.facebook.LegacyTokenHelper,5,5,2
com.facebook.AccessTokenManager,com.facebook.AccessToken,13,12,3
com.facebook.AccessTokenManager,com.facebook.AccessTokenCache,8,6,5
com.facebook.AccessTokenManager,com.facebook.AccessTokenManager.RefreshResult,2,2,1
com.facebook.AccessTokenManager,com.facebook.AccessTokenSource,1,1,1
com.facebook.AccessTokenManager,com.facebook.FacebookSdk,2,2,1
com.facebook.AccessTokenManager,com.facebook.GraphRequest,6,2,2
com.facebook.AccessTokenManager,com.facebook.GraphRequest.Callback,2,2,1
com.facebook.AccessTokenManager,com.facebook.GraphRequestBatch,5,2,4
com.facebook.AccessTokenManager,com.facebook.HttpMethod,2,2,1
com.facebook.AccessTokenManager,com.facebook.internal.Utility,2,1,2
com.facebook.AccessTokenManager,com.facebook.internal.Validate,3,2,2
com.facebook.AccessTokenManager.refreshCurrentAccessToken.(Anon_1),com.facebook.AccessTokenManager,1,1,1
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_2),com.facebook.AccessTokenManager,1,1,1
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_2),com.facebook.GraphRequest.Callback,1,1,1
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_2),com.facebook.GraphResponse,2,2,2
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_2),com.facebook.internal.Utility,2,1,1
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_3),com.facebook.AccessTokenManager.RefreshResult,2,1,2
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_3),com.facebook.GraphRequest.Callback,1,1,1
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_3),com.facebook.GraphResponse,2,2,2
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_4),com.facebook.AccessToken,12,2,9
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_4),com.facebook.AccessTokenManager,7,1,4
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_4),com.facebook.AccessTokenManager.RefreshResult,6,1,2
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_4),com.facebook.GraphRequestBatch,1,1,1
com.facebook.AccessTokenManager.refreshCurrentAccessTokenImpl.(Anon_4),com.facebook.GraphRequestBatch.Callback,1,1,1
com.facebook.AccessTokenManagerTest,com.facebook.AccessToken,19,12,3
com.facebook.AccessTokenManagerTest,com.facebook.AccessTokenCache,4,4,2
com.facebook.AccessTokenManagerTest,com.facebook.AccessTokenManager,33,23,8
com.facebook.AccessTokenManagerTest,com.facebook.AccessTokenSource,1,1,1
com.facebook.AccessTokenManagerTest,com.facebook.FacebookPowerMockTestCase,1,1,1
com.facebook.AccessTokenManagerTest,com.facebook.FacebookSdk,2,1,2
com.facebook.AccessTokenTest,com.facebook.AccessToken,69,26,15
com.facebook.AccessTokenTest,com.facebook.AccessTokenSource,16,14,4
com.facebook.AccessTokenTest,com.facebook.AccessTokenTestHelper,1,1,1
com.facebook.AccessTokenTest,com.facebook.FacebookException,1,1,1
com.facebook.AccessTokenTest,com.facebook.FacebookPowerMockTestCase,1,1,1
com.facebook.AccessTokenTest,com.facebook.FacebookSdk,2,1,2
com.facebook.AccessTokenTest,com.facebook.internal.Utility,14,8,2
com.facebook.AccessTokenTest,com.facebook.LegacyTokenHelper,22,3,16
com.facebook.AccessTokenTest,com.facebook.TestUtils,4,2,3
com.facebook.AccessTokenTestHelper,com.facebook.AccessToken,8,2,8
com.facebook.AccessTokenTestHelper,com.facebook.LegacyTokenHelper,9,1,8
com.facebook.AccessTokenTracker,com.facebook.AccessToken,2,2,1
com.facebook.AccessTokenTracker,com.facebook.AccessTokenManager,1,1,1
com.facebook.AccessTokenTracker,com.facebook.AccessTokenTracker.CurrentAccessTokenBroadcastReceiver,1,1,1
com.facebook.AccessTokenTracker,com.facebook.FacebookSdk,1,1,1
com.facebook.AccessTokenTracker,com.facebook.internal.Validate,1,1,1
com.facebook.AccessTokenTracker.CurrentAccessTokenBroadcastReceiver,com.facebook.AccessToken,4,3,1
com.facebook.AccessTokenTracker.CurrentAccessTokenBroadcastReceiver,com.facebook.AccessTokenManager,3,1,3
com.facebook.AccessTokenTracker.CurrentAccessTokenBroadcastReceiver,com.facebook.AccessTokenTracker,1,1,1
com.facebook.AccessTokenTrackerTest,com.facebook.AccessToken,11,6,3
com.facebook.AccessTokenTrackerTest,com.facebook.AccessTokenManager,3,1,3
com.facebook.AccessTokenTrackerTest,com.facebook.AccessTokenSource,1,1,1
com.facebook.AccessTokenTrackerTest,com.facebook.AccessTokenTracker,8,4,3
com.facebook.AccessTokenTrackerTest,com.facebook.AccessTokenTrackerTest.TestAccessTokenTracker,15,6,4
com.facebook.AccessTokenTrackerTest,com.facebook.FacebookPowerMockTestCase,1,1,1
com.facebook.AccessTokenTrackerTest,com.facebook.FacebookSdk,3,2,2
com.facebook.AccessTokenTrackerTest,com.facebook.FacebookSdkNotInitializedException,1,1,1
com.facebook.AccessTokenTrackerTest.TestAccessTokenTracker,com.facebook.AccessToken,4,4,1
com.facebook.AccessTokenTrackerTest.TestAccessTokenTracker,com.facebook.AccessTokenTracker,2,2,2
com.facebook.appevents.AppEventsLogger,com.facebook.AccessToken,6,5,3
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsConstants,2,1,2
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.AccessTokenAppIdPair,24,18,6
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.AppEvent,5,4,2
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.FlushBehavior,6,6,3
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.FlushReason,6,6,4
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.FlushResult,7,2,4
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.FlushStatistics,12,8,3
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.PersistedAppSessionInfo,2,2,2
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.PersistedEvents,6,4,6
com.facebook.appevents.AppEventsLogger,com.facebook.appevents.AppEventsLogger.SessionEventsState,16,14,6
com.facebook.appevents.AppEventsLogger,com.facebook.FacebookRequestError,3,2,3
com.facebook.appevents.AppEventsLogger,com.facebook.FacebookSdk,6,6,5
com.facebook.appevents.AppEventsLogger,com.facebook.GraphRequest,14,8,8
com.facebook.appevents.AppEventsLogger,com.facebook.GraphResponse,3,2,3
com.facebook.appevents.AppEventsLogger,com.facebook.internal.AttributionIdentifiers,2,2,2
com.facebook.appevents.AppEventsLogger,com.facebook.internal.Logger,3,3,1
com.facebook.appevents.AppEventsLogger,com.facebook.internal.Utility,5,5,3
com.facebook.appevents.AppEventsLogger,com.facebook.internal.Utility.FetchedAppSettings,2,2,2
com.facebook.appevents.AppEventsLogger,com.facebook.internal.Validate,1,1,1
com.facebook.appevents.AppEventsLogger,com.facebook.LoggingBehavior,4,3,2
