From Class,To Class,References,From Entities,To Entities
com.moesol.geoserver.sync.client.ClientSynchronizerStressIntegrationTest,com.moesol.geoserver.sync.client.FeatureAccessor,6,6,1
com.moesol.geoserver.sync.client.ClientSynchronizerStressIntegrationTest,com.moesol.geoserver.sync.client.Features,71,5,7
com.moesol.geoserver.sync.client.ClientSynchronizerStressIntegrationTest,com.moesol.geoserver.sync.client.GeoserverClientSynchronizer,39,8,10
com.moesol.geoserver.sync.client.ClientSynchronizerStressIntegrationTest,com.moesol.geoserver.sync.client.RecordingFeatureChangeListener,4,2,3
com.moesol.geoserver.sync.client.ClientSynchronizerStressIntegrationTest,com.moesol.geoserver.sync.client.RequestBuilder,4,4,1
com.moesol.geoserver.sync.client.ClientSynchronizerStressIntegrationTest,com.moesol.geoserver.sync.client.SimulatedRequestBuilder,12,4,3
com.moesol.geoserver.sync.client.ClientSynchronizerStressIntegrationTest,com.moesol.geoserver.sync.client.UpdateRecords,10,4,3
com.moesol.geoserver.sync.client.ClientSynchronizerStressIntegrationTest,org.geoserver.wfs.WFSTestSupport,1,1,1
com.moesol.geoserver.sync.client.FeatureAccessorImpl,com.moesol.geoserver.sync.client.FeatureAccessor,1,1,1
com.moesol.geoserver.sync.client.Features,com.moesol.geoserver.sync.client.FeatureAccessor,7,6,2
com.moesol.geoserver.sync.client.Features,com.moesol.geoserver.sync.client.FeatureAccessorImpl,2,1,2
com.moesol.geoserver.sync.client.Features,com.moesol.geoserver.sync.client.Features.IsSameFeatureSet,2,1,2
com.moesol.geoserver.sync.client.Features,com.moesol.geoserver.sync.client.RecordingFeatureChangeListener,2,2,2
com.moesol.geoserver.sync.client.Features,com.moesol.geoserver.sync.client.xml.ComplexConfiguration,4,2,2
com.moesol.geoserver.sync.client.Features,com.moesol.geoserver.sync.samples.Samples,6,4,4
com.moesol.geoserver.sync.client.FeaturesChangedAdaptor,com.moesol.geoserver.sync.client.FeatureChangeListener,1,1,1
com.moesol.geoserver.sync.client.FeaturesChangedAdaptor,com.moesol.geoserver.sync.client.FeaturesChangedListener,5,3,4
