From Class,To Class,References,From Entities,To Entities
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.AbstractDelegatingAdvancedCache.AdvancedCacheWrapper,4,4,2
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.AbstractDelegatingAdvancedCache.K,15,14,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.AbstractDelegatingAdvancedCache.V,12,11,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.AbstractDelegatingCache,2,2,2
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.AdvancedCache,31,29,25
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.atomic.Delta,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.batch.BatchContainer,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.CacheImpl,2,1,2
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.container.DataContainer,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.container.entries.CacheEntry,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.context.Flag,3,3,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.context.InvocationContextContainer,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.distribution.DistributionManager,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.eviction.EvictionManager,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.factories.ComponentRegistry,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.interceptors.base.CommandInterceptor,7,7,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.remoting.rpc.RpcManager,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.stats.Stats,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache,org.infinispan.util.concurrent.locks.LockManager,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache.AbstractDelegatingAdvancedCache.(Anon_1),org.infinispan.AbstractDelegatingAdvancedCache,2,1,2
org.infinispan.AbstractDelegatingAdvancedCache.AbstractDelegatingAdvancedCache.(Anon_1),org.infinispan.AbstractDelegatingAdvancedCache.AdvancedCacheWrapper,1,1,1
org.infinispan.AbstractDelegatingAdvancedCache.AbstractDelegatingAdvancedCache.(Anon_1),org.infinispan.AbstractDelegatingAdvancedCache.K,3,2,1
org.infinispan.AbstractDelegatingAdvancedCache.AbstractDelegatingAdvancedCache.(Anon_1),org.infinispan.AbstractDelegatingAdvancedCache.V,3,2,1
org.infinispan.AbstractDelegatingAdvancedCache.AbstractDelegatingAdvancedCache.(Anon_1),org.infinispan.AdvancedCache,2,2,1
org.infinispan.AbstractDelegatingAdvancedCache.AdvancedCacheWrapper,org.infinispan.AbstractDelegatingAdvancedCache.AdvancedCacheWrapper.K,2,2,1
org.infinispan.AbstractDelegatingAdvancedCache.AdvancedCacheWrapper,org.infinispan.AbstractDelegatingAdvancedCache.AdvancedCacheWrapper.V,2,2,1
org.infinispan.AbstractDelegatingAdvancedCache.AdvancedCacheWrapper,org.infinispan.AdvancedCache,2,2,1
org.infinispan.AbstractDelegatingCache,org.infinispan.AbstractDelegatingCache.K,41,41,1
org.infinispan.AbstractDelegatingCache,org.infinispan.AbstractDelegatingCache.V,67,67,1
org.infinispan.AbstractDelegatingCache,org.infinispan.AdvancedCache,1,1,1
org.infinispan.AbstractDelegatingCache,org.infinispan.api.BasicCache,35,35,33
org.infinispan.AbstractDelegatingCache,org.infinispan.Cache,17,17,14
org.infinispan.AbstractDelegatingCache,org.infinispan.config.Configuration,1,1,1
org.infinispan.AbstractDelegatingCache,org.infinispan.configuration.cache.Configuration,1,1,1
org.infinispan.AbstractDelegatingCache,org.infinispan.lifecycle.ComponentStatus,1,1,1
org.infinispan.AbstractDelegatingCache,org.infinispan.lifecycle.Lifecycle,2,2,2
org.infinispan.AbstractDelegatingCache,org.infinispan.manager.EmbeddedCacheManager,1,1,1
org.infinispan.AbstractDelegatingCache,org.infinispan.notifications.Listenable,3,3,3
org.infinispan.AbstractDelegatingCache,org.infinispan.util.concurrent.NotifyingFuture,19,19,1
org.infinispan.AdvancedCache,org.infinispan.AdvancedCache.K,6,6,1
org.infinispan.AdvancedCache,org.infinispan.AdvancedCache.V,3,3,1
org.infinispan.AdvancedCache,org.infinispan.atomic.Delta,1,1,1
org.infinispan.AdvancedCache,org.infinispan.batch.BatchContainer,1,1,1
org.infinispan.AdvancedCache,org.infinispan.Cache,1,1,1
org.infinispan.AdvancedCache,org.infinispan.container.DataContainer,1,1,1
org.infinispan.AdvancedCache,org.infinispan.container.entries.CacheEntry,1,1,1
org.infinispan.AdvancedCache,org.infinispan.context.Flag,2,2,1
org.infinispan.AdvancedCache,org.infinispan.context.InvocationContextContainer,1,1,1
org.infinispan.AdvancedCache,org.infinispan.distribution.DistributionManager,1,1,1
org.infinispan.AdvancedCache,org.infinispan.eviction.EvictionManager,1,1,1
org.infinispan.AdvancedCache,org.infinispan.factories.ComponentRegistry,1,1,1
org.infinispan.AdvancedCache,org.infinispan.interceptors.base.CommandInterceptor,7,7,1
org.infinispan.AdvancedCache,org.infinispan.remoting.rpc.RpcManager,1,1,1
org.infinispan.AdvancedCache,org.infinispan.stats.Stats,1,1,1
org.infinispan.AdvancedCache,org.infinispan.util.concurrent.locks.LockManager,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.affinity.BaseKeyAffinityServiceTest,8,6,6
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.affinity.KeyAffinityServiceImpl,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.Cache,2,2,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.configuration.cache.ConfigurationBuilder,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.distribution.BaseDistFunctionalTest,13,4,5
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.manager.CacheContainer,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.manager.EmbeddedCacheManager,3,3,2
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.remoting.transport.Address,2,2,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.test.AbstractInfinispanTest,2,2,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.test.MultipleCacheManagersTest,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.util.logging.Log,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,org.infinispan.util.logging.LogFactory,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest.assertUnaffected.(Anon_2),org.infinispan.affinity.BaseFilterKeyAffinityServiceTest,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest.assertUnaffected.(Anon_2),org.infinispan.affinity.BaseKeyAffinityServiceTest,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest.assertUnaffected.(Anon_2),org.infinispan.affinity.KeyAffinityServiceImpl,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest.assertUnaffected.(Anon_2),org.infinispan.test.AbstractInfinispanTest.Condition,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest.testShutdownOwnManager.(Anon_1),org.infinispan.affinity.BaseKeyAffinityServiceTest,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest.testShutdownOwnManager.(Anon_1),org.infinispan.affinity.KeyAffinityServiceImpl,1,1,1
org.infinispan.affinity.BaseFilterKeyAffinityServiceTest.testShutdownOwnManager.(Anon_1),org.infinispan.test.AbstractInfinispanTest.Condition,1,1,1
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.AdvancedCache,1,1,1
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.affinity.KeyAffinityServiceImpl,9,5,6
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.Cache,1,1,1
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.distribution.BaseDistFunctionalTest,7,5,3
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.distribution.ch.ConsistentHash,2,2,2
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.manager.CacheContainer,2,2,2
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.remoting.rpc.RpcManager,1,1,1
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.remoting.transport.Address,15,15,1
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.remoting.transport.Transport,1,1,1
org.infinispan.affinity.BaseKeyAffinityServiceTest,org.infinispan.test.AbstractInfinispanTest,2,1,2
org.infinispan.affinity.BaseKeyAffinityServiceTest.assertEventualFullCapacity.(Anon_3),org.infinispan.affinity.BaseKeyAffinityServiceTest,2,1,1
org.infinispan.affinity.BaseKeyAffinityServiceTest.assertEventualFullCapacity.(Anon_3),org.infinispan.affinity.KeyAffinityServiceImpl,2,1,2
