From Class,To Class,References,From Entities,To Entities
$package.Main,org.glassfish.jersey.server.ResourceConfig,3,2,2
$package.MyResourceTest,$package.Main,2,1,2
com.sun.research.ws.wadl.Application,com.sun.research.ws.wadl.Doc,2,2,1
com.sun.research.ws.wadl.Application,com.sun.research.ws.wadl.Grammars,3,3,1
com.sun.research.ws.wadl.Application,com.sun.research.ws.wadl.Resources,2,2,1
com.sun.research.ws.wadl.Grammars,com.sun.research.ws.wadl.Doc,2,2,1
com.sun.research.ws.wadl.Grammars,com.sun.research.ws.wadl.Include,2,2,1
com.sun.research.ws.wadl.Include,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Link,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Method,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Method,com.sun.research.ws.wadl.Request,3,3,1
com.sun.research.ws.wadl.Method,com.sun.research.ws.wadl.Response,3,2,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Application,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Doc,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Grammars,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Include,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Link,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Method,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Option,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Param,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Representation,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Request,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Resource,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Resources,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.ResourceType,2,1,1
com.sun.research.ws.wadl.ObjectFactory,com.sun.research.ws.wadl.Response,2,1,1
com.sun.research.ws.wadl.Option,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Param,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Param,com.sun.research.ws.wadl.Link,3,3,1
com.sun.research.ws.wadl.Param,com.sun.research.ws.wadl.Option,3,2,1
com.sun.research.ws.wadl.Param,com.sun.research.ws.wadl.ParamStyle,3,3,1
com.sun.research.ws.wadl.Representation,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Representation,com.sun.research.ws.wadl.Param,3,2,1
com.sun.research.ws.wadl.Request,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Request,com.sun.research.ws.wadl.Param,3,2,1
com.sun.research.ws.wadl.Request,com.sun.research.ws.wadl.Representation,3,2,1
com.sun.research.ws.wadl.Resource,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Resource,com.sun.research.ws.wadl.Param,3,2,1
com.sun.research.ws.wadl.Resources,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Resources,com.sun.research.ws.wadl.Resource,3,2,1
com.sun.research.ws.wadl.ResourceType,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.ResourceType,com.sun.research.ws.wadl.Param,3,2,1
com.sun.research.ws.wadl.Response,com.sun.research.ws.wadl.Doc,3,2,1
com.sun.research.ws.wadl.Response,com.sun.research.ws.wadl.Param,3,2,1
com.sun.research.ws.wadl.Response,com.sun.research.ws.wadl.Representation,3,2,1
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AcceptEither,3,2,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.Action,10,10,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AltResult,89,28,3
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AndCompletion,3,2,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.ApplyToEither,3,2,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.applyToEither.U,2,2,1
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.applyToEitherAsync.U,2,2,1
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.applyToEitherAsync.U,2,2,1
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AsyncAccept,4,2,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AsyncAcceptBoth,2,1,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AsyncApply,4,2,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AsyncCombine,2,1,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AsyncCompose,2,1,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AsyncRun,10,5,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.AsyncSupply,4,2,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.BiAction,5,5,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.BiFun,7,7,2
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.completedFuture.U,4,3,1
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.Completion,1,1,1
jersey.repackaged.jsr166e.CompletableFuture,jersey.repackaged.jsr166e.CompletableFuture.CompletionNode,102,45,4
