From Class,To Class,References,From Entities,To Entities
AfterMigrationTest,org.jooq.impl.DSL,1,1,1
AfterMigrationTest,org.jooq.Result,1,1,1
org.jooq.academy.section1.Example_1_1_PrintTheQuery,org.jooq.academy.tools.Tools,2,1,2
org.jooq.academy.section1.Example_1_2_ExecuteTheQuery,org.jooq.academy.tools.Tools,2,1,2
org.jooq.academy.section1.Example_1_3_DMLStatements,org.jooq.academy.tools.Tools,12,1,2
org.jooq.academy.section1.Example_1_3_DMLStatements,org.jooq.DSLContext,6,2,4
org.jooq.academy.section1.Example_1_3_DMLStatements,org.jooq.impl.DSL,1,1,1
org.jooq.academy.section1.Example_1_4_Predicates,org.jooq.academy.tools.Tools,4,1,2
org.jooq.academy.section1.Example_1_4_Predicates,org.jooq.DSLContext,3,2,2
org.jooq.academy.section1.Example_1_5_ColumnExpressions,org.jooq.academy.tools.Tools,4,1,2
org.jooq.academy.section1.Example_1_5_ColumnExpressions,org.jooq.DSLContext,1,1,1
org.jooq.academy.section1.Example_1_5_ColumnExpressions,org.jooq.impl.DSL,1,1,1
org.jooq.academy.section2.Example_2_1_ActiveRecords,org.jooq.academy.tools.Tools,10,1,2
org.jooq.academy.section2.Example_2_1_ActiveRecords,org.jooq.DSLContext,3,2,2
org.jooq.academy.section2.Example_2_1_ActiveRecords,org.jooq.impl.DSL,1,1,1
org.jooq.academy.section2.Example_2_1_ActiveRecords,org.jooq.ResultQuery,1,1,1
org.jooq.academy.section2.Example_2_2_OptimisticLocking,org.jooq.academy.tools.Tools,1,1,1
org.jooq.academy.section2.Example_2_2_OptimisticLocking,org.jooq.DSLContext,3,2,2
org.jooq.academy.section2.Example_2_2_OptimisticLocking,org.jooq.exception.DataChangedException,1,1,1
org.jooq.academy.section3.Example_3_1_CheckedExceptions,org.jooq.academy.tools.Tools,2,1,1
org.jooq.academy.section3.Example_3_1_CheckedExceptions,org.jooq.impl.DSL,1,1,1
org.jooq.academy.section3.Example_3_2_ResultSets,org.jooq.academy.tools.Tools,2,1,1
org.jooq.academy.section3.Example_3_2_ResultSets,org.jooq.DSLContext,2,1,1
org.jooq.academy.section3.Example_3_2_ResultSets,org.jooq.impl.DSL,2,1,1
org.jooq.academy.section3.Example_3_2_ResultSets,org.jooq.Record,1,1,1
org.jooq.academy.section3.Example_3_3_PreparedStatements,org.jooq.academy.tools.Tools,2,1,1
org.jooq.academy.section3.Example_3_3_PreparedStatements,org.jooq.DSLContext,1,1,1
org.jooq.academy.section3.Example_3_3_PreparedStatements,org.jooq.impl.DSL,1,1,1
org.jooq.academy.section3.Example_3_4_StatementsAndResults,org.jooq.academy.tools.Tools,2,1,1
org.jooq.academy.section3.Example_3_4_StatementsAndResults,org.jooq.DSLContext,2,1,2
org.jooq.academy.section3.Example_3_4_StatementsAndResults,org.jooq.impl.DSL,2,1,1
org.jooq.academy.section3.Example_3_4_StatementsAndResults,org.jooq.Query,2,2,2
org.jooq.academy.section3.Example_3_4_StatementsAndResults,org.jooq.Record,1,1,1
org.jooq.academy.section3.Example_3_4_StatementsAndResults,org.jooq.ResultQuery,2,2,2
org.jooq.academy.section4.Example_4_1_ConnectionProvider,org.jooq.academy.tools.Tools,6,1,5
