From Class,To Class,References,From Entities,To Entities
org.languagetool.AmericanEnglishConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.AmericanEnglishConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.AmericanEnglishConcurrencyTest,org.languagetool.language.AmericanEnglish,1,1,1
org.languagetool.AnalyzedSentence,org.languagetool.AnalyzedToken,8,5,4
org.languagetool.AnalyzedSentence,org.languagetool.AnalyzedTokenReadings,53,25,20
org.languagetool.AnalyzedSentence,org.languagetool.JLanguageTool,2,1,2
org.languagetool.AnalyzedSentenceTest,org.languagetool.AnalyzedSentence,10,5,4
org.languagetool.AnalyzedSentenceTest,org.languagetool.AnalyzedToken,16,2,2
org.languagetool.AnalyzedSentenceTest,org.languagetool.AnalyzedTokenReadings,19,4,4
org.languagetool.AnalyzedToken,org.languagetool.JLanguageTool,2,1,2
org.languagetool.AnalyzedTokenReadings,org.languagetool.AnalyzedToken,86,47,10
org.languagetool.AnalyzedTokenReadings,org.languagetool.chunking.ChunkTag,3,3,1
org.languagetool.AnalyzedTokenReadings,org.languagetool.JLanguageTool,6,4,2
org.languagetool.AnalyzedTokenReadings,org.languagetool.tools.StringTools,1,1,1
org.languagetool.AnalyzedTokenReadings.iterator.(Anon_1),org.languagetool.AnalyzedToken,1,1,1
org.languagetool.AnalyzedTokenReadings.iterator.(Anon_1),org.languagetool.AnalyzedTokenReadings,3,2,2
org.languagetool.AnalyzedTokenReadingsTest,org.languagetool.AnalyzedToken,40,11,5
org.languagetool.AnalyzedTokenReadingsTest,org.languagetool.AnalyzedTokenReadings,72,13,17
org.languagetool.AnalyzedTokenTest,org.languagetool.AnalyzedToken,41,5,6
org.languagetool.AsturianConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.AsturianConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.AsturianConcurrencyTest,org.languagetool.language.Asturian,1,1,1
org.languagetool.AustralianEnglishConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.AustralianEnglishConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.AustralianEnglishConcurrencyTest,org.languagetool.language.AustralianEnglish,1,1,1
org.languagetool.AustrianGermanConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.AustrianGermanConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.AustrianGermanConcurrencyTest,org.languagetool.language.AustrianGerman,1,1,1
org.languagetool.BelarusianConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.BelarusianConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.BelarusianConcurrencyTest,org.languagetool.language.Belarusian,1,1,1
org.languagetool.bitext.BitextReader,org.languagetool.bitext.StringPair,1,1,1
org.languagetool.bitext.TabBitextReader,org.languagetool.bitext.BitextReader,1,1,1
org.languagetool.bitext.TabBitextReader,org.languagetool.bitext.StringPair,5,3,2
org.languagetool.bitext.TabBitextReader,org.languagetool.bitext.TabBitextReader.TabReader,1,1,1
org.languagetool.bitext.TabBitextReader.TabReader,org.languagetool.bitext.StringPair,4,3,2
org.languagetool.bitext.TabBitextReader.TabReader,org.languagetool.bitext.TabBitextReader,15,2,7
org.languagetool.bitext.TabBitextReaderTest,org.languagetool.bitext.StringPair,6,2,3
org.languagetool.bitext.TabBitextReaderTest,org.languagetool.bitext.TabBitextReader,3,2,2
org.languagetool.bitext.WordFastTMReader,org.languagetool.bitext.StringPair,4,2,2
org.languagetool.bitext.WordFastTMReader,org.languagetool.bitext.TabBitextReader,8,3,6
org.languagetool.bitext.WordFastTMReader,org.languagetool.bitext.WordFastTMReader.TabReader,1,1,1
org.languagetool.bitext.WordFastTMReader.TabReader,org.languagetool.bitext.StringPair,3,3,1
org.languagetool.bitext.WordFastTMReader.TabReader,org.languagetool.bitext.TabBitextReader,9,2,3
org.languagetool.bitext.WordFastTMReader.TabReader,org.languagetool.bitext.WordFastTMReader,1,1,1
org.languagetool.bitext.WordFastTMReaderTest,org.languagetool.bitext.StringPair,5,2,3
org.languagetool.bitext.WordFastTMReaderTest,org.languagetool.bitext.WordFastTMReader,3,2,2
org.languagetool.BrazilianPortugueseConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.BrazilianPortugueseConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.BrazilianPortugueseConcurrencyTest,org.languagetool.language.BrazilianPortuguese,1,1,1
org.languagetool.BretonConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.BretonConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.BretonConcurrencyTest,org.languagetool.language.Breton,1,1,1
org.languagetool.BritishEnglishConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.BritishEnglishConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.BritishEnglishConcurrencyTest,org.languagetool.language.BritishEnglish,1,1,1
org.languagetool.CanadianEnglishConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.CanadianEnglishConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.CanadianEnglishConcurrencyTest,org.languagetool.language.CanadianEnglish,1,1,1
org.languagetool.CatalanConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.CatalanConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.CatalanConcurrencyTest,org.languagetool.language.Catalan,1,1,1
org.languagetool.ChineseConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.ChineseConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.ChineseConcurrencyTest,org.languagetool.language.Chinese,1,1,1
org.languagetool.chunking.Chunker,org.languagetool.AnalyzedTokenReadings,1,1,1
org.languagetool.chunking.ChunkTaggedToken,org.languagetool.AnalyzedTokenReadings,3,3,1
org.languagetool.chunking.ChunkTaggedToken,org.languagetool.chunking.ChunkTag,3,3,1
org.languagetool.chunking.ChunkTaggedToken,org.languagetool.AnalyzedTokenReadings,3,3,1
org.languagetool.chunking.ChunkTaggedToken,org.languagetool.chunking.ChunkTag,3,3,1
org.languagetool.chunking.EnglishChunker,org.languagetool.AnalyzedTokenReadings,13,12,3
org.languagetool.chunking.EnglishChunker,org.languagetool.chunking.Chunker,1,1,1
org.languagetool.chunking.EnglishChunker,org.languagetool.chunking.ChunkTag,2,1,2
org.languagetool.chunking.EnglishChunker,org.languagetool.chunking.ChunkTaggedToken,11,8,4
org.languagetool.chunking.EnglishChunker,org.languagetool.chunking.EnglishChunkFilter,3,3,2
org.languagetool.chunking.EnglishChunker,org.languagetool.tools.Tools,3,1,1
org.languagetool.chunking.EnglishChunkerTest,org.languagetool.AnalyzedSentence,3,3,2
org.languagetool.chunking.EnglishChunkerTest,org.languagetool.AnalyzedToken,4,1,2
org.languagetool.chunking.EnglishChunkerTest,org.languagetool.AnalyzedTokenReadings,13,6,3
org.languagetool.chunking.EnglishChunkerTest,org.languagetool.chunking.ChunkTag,4,1,2
org.languagetool.chunking.EnglishChunkerTest,org.languagetool.chunking.EnglishChunker,13,6,4
org.languagetool.chunking.EnglishChunkerTest,org.languagetool.JLanguageTool,8,4,4
org.languagetool.chunking.EnglishChunkerTest,org.languagetool.language.English,4,2,2
org.languagetool.chunking.EnglishChunkFilter,org.languagetool.AnalyzedToken,2,2,2
org.languagetool.chunking.EnglishChunkFilter,org.languagetool.AnalyzedTokenReadings,1,1,1
org.languagetool.chunking.EnglishChunkFilter,org.languagetool.chunking.ChunkTag,15,5,2
org.languagetool.chunking.EnglishChunkFilter,org.languagetool.chunking.ChunkTaggedToken,19,14,5
org.languagetool.chunking.EnglishChunkFilter,org.languagetool.chunking.EnglishChunkFilter.ChunkType,6,3,3
org.languagetool.chunking.EnglishChunkFilterTest,org.languagetool.AnalyzedToken,4,1,2
org.languagetool.chunking.EnglishChunkFilterTest,org.languagetool.AnalyzedTokenReadings,2,2,1
org.languagetool.chunking.EnglishChunkFilterTest,org.languagetool.chunking.ChunkTag,5,3,2
org.languagetool.chunking.EnglishChunkFilterTest,org.languagetool.chunking.ChunkTaggedToken,10,7,2
org.languagetool.chunking.EnglishChunkFilterTest,org.languagetool.chunking.EnglishChunkFilter,3,2,2
org.languagetool.chunking.GermanChunker,org.languagetool.AnalyzedTokenReadings,8,7,5
org.languagetool.chunking.GermanChunker,org.languagetool.chunking.Chunker,1,1,1
org.languagetool.chunking.GermanChunker,org.languagetool.chunking.ChunkTag,18,9,3
org.languagetool.chunking.GermanChunker,org.languagetool.chunking.ChunkTaggedToken,26,18,5
org.languagetool.chunking.GermanChunker,org.languagetool.chunking.GermanChunker.AffectedSpans,6,4,3
org.languagetool.chunking.GermanChunker,org.languagetool.chunking.GermanChunker.PhraseType,85,4,5
org.languagetool.chunking.GermanChunker,org.languagetool.chunking.GermanChunker.RegularExpressionWithPhraseType,17,13,5
org.languagetool.chunking.GermanChunker,org.languagetool.chunking.GermanChunker.Span,3,2,2
org.languagetool.chunking.GermanChunker,org.languagetool.chunking.TokenExpressionFactory,3,2,2
org.languagetool.chunking.GermanChunker.AffectedSpans,org.languagetool.chunking.GermanChunker.Span,5,4,3
org.languagetool.chunking.GermanChunker.RegularExpressionWithPhraseType,org.languagetool.chunking.ChunkTaggedToken,2,2,1
org.languagetool.chunking.GermanChunker.RegularExpressionWithPhraseType,org.languagetool.chunking.GermanChunker.PhraseType,2,2,1
org.languagetool.chunking.GermanChunkerTest,org.languagetool.AnalyzedSentence,4,4,2
org.languagetool.chunking.GermanChunkerTest,org.languagetool.AnalyzedTokenReadings,5,4,3
org.languagetool.chunking.GermanChunkerTest,org.languagetool.chunking.ChunkTag,2,1,2
org.languagetool.chunking.GermanChunkerTest,org.languagetool.chunking.ChunkTaggedToken,8,7,3
org.languagetool.chunking.GermanChunkerTest,org.languagetool.chunking.GermanChunker,4,3,3
org.languagetool.chunking.GermanChunkerTest,org.languagetool.JLanguageTool,5,4,3
org.languagetool.chunking.GermanChunkerTest,org.languagetool.language.German,2,1,2
org.languagetool.chunking.TokenExpressionFactory,org.languagetool.chunking.ChunkTaggedToken,3,3,1
org.languagetool.chunking.TokenExpressionFactory,org.languagetool.chunking.TokenPredicate,2,1,2
org.languagetool.chunking.TokenExpressionFactory.create.(Anon_1),org.languagetool.chunking.ChunkTaggedToken,1,1,1
org.languagetool.chunking.TokenPredicate,org.languagetool.AnalyzedToken,6,3,2
org.languagetool.chunking.TokenPredicate,org.languagetool.AnalyzedTokenReadings,2,2,1
org.languagetool.chunking.TokenPredicate,org.languagetool.chunking.ChunkTag,2,2,2
org.languagetool.chunking.TokenPredicate,org.languagetool.chunking.ChunkTaggedToken,9,3,4
org.languagetool.chunking.TokenPredicateTest,org.languagetool.AnalyzedToken,2,1,2
org.languagetool.chunking.TokenPredicateTest,org.languagetool.AnalyzedTokenReadings,3,2,2
org.languagetool.chunking.TokenPredicateTest,org.languagetool.chunking.ChunkTag,5,2,2
org.languagetool.chunking.TokenPredicateTest,org.languagetool.chunking.ChunkTaggedToken,5,4,2
org.languagetool.chunking.TokenPredicateTest,org.languagetool.chunking.TokenPredicate,8,4,3
org.languagetool.chunking.xx.DemoChunker,org.languagetool.AnalyzedTokenReadings,4,3,3
org.languagetool.chunking.xx.DemoChunker,org.languagetool.chunking.Chunker,1,1,1
org.languagetool.chunking.xx.DemoChunker,org.languagetool.chunking.ChunkTag,2,1,2
org.languagetool.clientexample.Example,org.languagetool.JLanguageTool,6,2,5
org.languagetool.clientexample.Example,org.languagetool.Language,3,3,2
org.languagetool.clientexample.Example,org.languagetool.Languages,1,1,1
org.languagetool.clientexample.Example,org.languagetool.rules.RuleMatch,3,3,2
org.languagetool.commandline.AbstractSecurityTestCase,org.languagetool.commandline.AbstractSecurityTestCase.NoExitSecurityManager,1,1,1
org.languagetool.commandline.AbstractSecurityTestCase.NoExitSecurityManager,org.languagetool.commandline.AbstractSecurityTestCase.ExitException,2,1,2
org.languagetool.commandline.CommandLineOptions,org.languagetool.Language,6,6,1
org.languagetool.commandline.CommandLineOptions,org.languagetool.rules.CategoryId,8,6,2
org.languagetool.commandline.CommandLineParser,org.languagetool.commandline.CommandLineOptions,42,2,35
org.languagetool.commandline.CommandLineParser,org.languagetool.commandline.UnknownParameterException,2,1,2
org.languagetool.commandline.CommandLineParser,org.languagetool.commandline.WrongParameterNumberException,1,1,1
org.languagetool.commandline.CommandLineParser,org.languagetool.Language,1,1,1
org.languagetool.commandline.CommandLineParser,org.languagetool.Languages,1,1,1
org.languagetool.commandline.CommandLineParserTest,org.languagetool.commandline.CommandLineOptions,17,4,7
org.languagetool.commandline.CommandLineParserTest,org.languagetool.commandline.CommandLineParser,15,6,2
org.languagetool.commandline.CommandLineParserTest,org.languagetool.commandline.WrongParameterNumberException,1,1,1
org.languagetool.commandline.CommandLineParserTest,org.languagetool.Language,3,1,1
org.languagetool.commandline.CommandLineTools,org.languagetool.AnalyzedSentence,1,1,1
org.languagetool.commandline.CommandLineTools,org.languagetool.bitext.BitextReader,11,4,6
org.languagetool.commandline.CommandLineTools,org.languagetool.bitext.StringPair,8,4,3
org.languagetool.commandline.CommandLineTools,org.languagetool.JLanguageTool,21,15,8
org.languagetool.commandline.CommandLineTools,org.languagetool.Language,1,1,1
org.languagetool.commandline.CommandLineTools,org.languagetool.rules.bitext.BitextRule,2,2,1
org.languagetool.commandline.CommandLineTools,org.languagetool.rules.patterns.AbstractPatternRule,5,2,2
org.languagetool.commandline.CommandLineTools,org.languagetool.rules.Rule,8,5,4
org.languagetool.commandline.CommandLineTools,org.languagetool.rules.RuleMatch,35,17,11
org.languagetool.commandline.CommandLineTools,org.languagetool.rules.TextLevelRule,1,1,1
org.languagetool.commandline.CommandLineTools,org.languagetool.tokenizers.SentenceTokenizer,2,2,2
org.languagetool.commandline.CommandLineTools,org.languagetool.tools.ContextTools,5,2,4
org.languagetool.commandline.CommandLineTools,org.languagetool.tools.RuleMatchAsXmlSerializer,8,4,5
org.languagetool.commandline.CommandLineTools,org.languagetool.tools.StringTools.XmlPrintMode,11,5,2
org.languagetool.commandline.CommandLineTools,org.languagetool.tools.Tools,2,2,1
org.languagetool.commandline.CommandLineToolsTest,org.languagetool.commandline.CommandLineTools,2,1,1
org.languagetool.commandline.CommandLineToolsTest,org.languagetool.JLanguageTool,5,2,4
org.languagetool.commandline.CommandLineToolsTest,org.languagetool.rules.WordRepeatRule,2,1,2
org.languagetool.commandline.CommandLineToolsTest,org.languagetool.TestTools,3,1,2
org.languagetool.commandline.Main,org.languagetool.bitext.TabBitextReader,3,2,2
org.languagetool.commandline.Main,org.languagetool.commandline.CommandLineOptions,77,11,31
org.languagetool.commandline.Main,org.languagetool.commandline.CommandLineParser,6,2,4
org.languagetool.commandline.Main,org.languagetool.commandline.CommandLineTools,7,2,6
org.languagetool.commandline.Main,org.languagetool.commandline.UnknownParameterException,1,1,1
org.languagetool.commandline.Main,org.languagetool.commandline.WrongParameterNumberException,1,1,1
org.languagetool.commandline.Main,org.languagetool.JLanguageTool,23,13,14
org.languagetool.commandline.Main,org.languagetool.Language,17,14,5
org.languagetool.commandline.Main,org.languagetool.language.English,6,3,2
org.languagetool.commandline.Main,org.languagetool.language.LanguageIdentifier,4,2,3
org.languagetool.commandline.Main,org.languagetool.Languages,1,1,1
org.languagetool.commandline.Main,org.languagetool.MultiThreadedJLanguageTool,12,6,4
org.languagetool.commandline.Main,org.languagetool.rules.bitext.BitextRule,6,5,2
org.languagetool.commandline.Main,org.languagetool.rules.patterns.AbstractPatternRule,4,4,1
org.languagetool.commandline.Main,org.languagetool.rules.patterns.PatternRuleLoader,3,2,2
org.languagetool.commandline.Main,org.languagetool.rules.Rule,5,5,2
org.languagetool.commandline.Main,org.languagetool.tokenizers.SentenceTokenizer,3,3,2
org.languagetool.commandline.Main,org.languagetool.tools.JnaTools,1,1,1
org.languagetool.commandline.Main,org.languagetool.tools.StringTools,4,2,2
org.languagetool.commandline.Main,org.languagetool.tools.StringTools.XmlPrintMode,4,2,4
org.languagetool.commandline.Main,org.languagetool.tools.Tools,8,5,5
org.languagetool.commandline.MainTest,org.languagetool.commandline.AbstractSecurityTestCase,4,4,4
org.languagetool.commandline.MainTest,org.languagetool.commandline.AbstractSecurityTestCase.ExitException,4,4,2
org.languagetool.commandline.MainTest,org.languagetool.commandline.Main,41,40,1
org.languagetool.DanishConcurrencyTest,org.languagetool.Language,1,1,1
org.languagetool.DanishConcurrencyTest,org.languagetool.language.AbstractLanguageConcurrencyTest,1,1,1
org.languagetool.DanishConcurrencyTest,org.languagetool.language.Danish,1,1,1
org.languagetool.databroker.DefaultResourceDataBroker,org.languagetool.databroker.ResourceDataBroker,3,2,3
org.languagetool.dev.bigdata.AggregatedNgramToLucene,org.languagetool.dev.bigdata.AggregatedNgramToLucene.LuceneIndex,11,6,4
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.databroker.ResourceDataBroker,1,1,1
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.dev.bigdata.ConfusionRuleEvaluator,5,2,4
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.dev.bigdata.ConfusionRuleEvaluator.EnglishLight,1,1,1
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.dev.bigdata.ConfusionRuleEvaluator.EvalResult,5,3,4
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.dev.eval.FMeasure,1,1,1
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.JLanguageTool,1,1,1
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.Language,1,1,1
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.languagemodel.LanguageModel,1,1,1
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.languagemodel.LuceneLanguageModel,2,1,2
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.Languages,1,1,1
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.rules.ConfusionSet,7,4,3
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.rules.ConfusionSetLoader,4,2,3
org.languagetool.dev.bigdata.AllConfusionRulesEvaluator,org.languagetool.rules.ConfusionString,10,5,3
org.languagetool.dev.bigdata.AutomaticConfusionRuleEvaluator,org.languagetool.databroker.ResourceDataBroker,1,1,1
org.languagetool.dev.bigdata.AutomaticConfusionRuleEvaluator,org.languagetool.dev.bigdata.ConfusionRuleEvaluator,5,4,3
org.languagetool.dev.bigdata.AutomaticConfusionRuleEvaluator,org.languagetool.dev.bigdata.ConfusionRuleEvaluator.EvalResult,10,8,3
