From Class,To Class,References,From Entities,To Entities
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.bootstrap.Bootstrap,16,4,6
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.bootstrap.ClientBootstrap,25,11,6
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.channel.Channel,2,2,1
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.channel.ChannelFactory,1,1,1
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.channel.ChannelFuture,20,8,5
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.channel.ChannelPipeline,3,3,1
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.channel.ChannelPipelineException,2,1,2
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.channel.ChannelPipelineFactory,2,2,2
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.util.DummyHandler,3,3,1
org.jboss.netty.bootstrap.AbstractSocketClientBootstrapTest,org.jboss.netty.util.TestUtil,3,3,1
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest.ParentChannelHandler,8,2,4
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.bootstrap.Bootstrap,9,3,4
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.bootstrap.ClientBootstrap,4,2,3
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.bootstrap.ServerBootstrap,16,6,7
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.channel.Channel,7,3,6
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.channel.ChannelFactory,1,1,1
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.channel.ChannelFuture,2,2,1
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.channel.ChannelPipeline,1,1,1
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.channel.ChannelPipelineException,2,1,2
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.channel.ChannelPipelineFactory,2,2,2
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.channel.socket.SocketChannelConfig,4,2,3
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.util.DummyHandler,1,1,1
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest,org.jboss.netty.util.TestUtil,2,2,1
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest.ParentChannelHandler,org.jboss.netty.channel.Channel,1,1,1
org.jboss.netty.bootstrap.AbstractSocketServerBootstrapTest.ParentChannelHandler,org.jboss.netty.channel.ChannelHandlerContext,2,2,1
