From Class,To Class,References,From Entities,To Entities
tachyon.client.AbstractTachyonFS,tachyon.client.TachyonFSCore,9,9,6
tachyon.client.AbstractTachyonFS,tachyon.conf.UserConf,2,1,2
tachyon.client.AbstractTachyonFS,tachyon.Constants,1,1,1
tachyon.client.AbstractTachyonFS,tachyon.TachyonURI,13,13,2
tachyon.client.BlockInStream,tachyon.client.InStream,2,2,2
tachyon.client.BlockInStream,tachyon.client.LocalBlockInStream,2,1,2
tachyon.client.BlockInStream,tachyon.client.ReadType,4,4,2
tachyon.client.BlockInStream,tachyon.client.RemoteBlockInStream,2,1,2
tachyon.client.BlockInStream,tachyon.client.TachyonByteBuffer,1,1,1
tachyon.client.BlockInStream,tachyon.client.TachyonFile,6,5,4
tachyon.client.BlockInStreamTest,tachyon.client.BlockInStream,8,4,1
tachyon.client.BlockInStreamTest,tachyon.client.EmptyBlockInStream,6,3,1
tachyon.client.BlockInStreamTest,tachyon.client.InStream,26,8,6
tachyon.client.BlockInStreamTest,tachyon.client.ReadType,16,4,2
tachyon.client.BlockInStreamTest,tachyon.client.TachyonFile,20,8,2
tachyon.client.BlockInStreamTest,tachyon.client.TachyonFS,5,5,2
tachyon.client.BlockInStreamTest,tachyon.client.WriteType,8,8,2
tachyon.client.BlockInStreamTest,tachyon.master.LocalTachyonCluster,6,3,5
tachyon.client.BlockInStreamTest,tachyon.TestUtils,10,4,2
tachyon.client.BlockOutStream,tachyon.client.OutStream,15,7,5
tachyon.client.BlockOutStream,tachyon.client.TachyonFile,6,4,5
tachyon.client.BlockOutStream,tachyon.client.TachyonFS,5,4,5
tachyon.client.BlockOutStream,tachyon.client.WriteType,3,3,2
tachyon.client.BlockOutStream,tachyon.conf.UserConf,6,4,3
tachyon.client.BlockOutStream,tachyon.Constants,1,1,1
tachyon.client.BlockOutStream,tachyon.util.CommonUtils,2,1,2
tachyon.client.EmptyBlockInStream,tachyon.client.InStream,2,2,2
tachyon.client.EmptyBlockInStream,tachyon.client.ReadType,1,1,1
tachyon.client.EmptyBlockInStream,tachyon.client.TachyonFile,1,1,1
tachyon.client.FileInStream,tachyon.client.BlockInStream,4,4,2
tachyon.client.FileInStream,tachyon.client.InStream,19,8,9
tachyon.client.FileInStream,tachyon.client.ReadType,2,2,1
