From Class,To Class,References,From Entities,To Entities
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.crypto.PRNGFixes,1,1,1
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.dependencies.AxolotlStorageModule,2,1,2
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.dependencies.InjectableType,1,1,1
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.dependencies.TextSecureCommunicationModule,2,1,2
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.jobs.GcmRefreshJob,2,1,2
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.jobs.persistence.EncryptingJobSerializer,2,1,2
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.jobs.requirements.MasterSecretRequirementProvider,2,1,2
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.jobs.requirements.ServiceRequirementProvider,2,1,2
org.thoughtcrime.securesms.ApplicationContext,org.thoughtcrime.securesms.util.TextSecurePreferences,2,1,2
org.thoughtcrime.securesms.ApplicationPreferencesActivity,org.thoughtcrime.securesms.ApplicationPreferencesActivity.ApplicationPreferenceFragment,1,1,1
org.thoughtcrime.securesms.ApplicationPreferencesActivity,org.thoughtcrime.securesms.crypto.MasterSecret,1,1,1
org.thoughtcrime.securesms.ApplicationPreferencesActivity,org.thoughtcrime.securesms.PassphraseRequiredActionBarActivity,3,3,3
org.thoughtcrime.securesms.ApplicationPreferencesActivity,org.thoughtcrime.securesms.service.KeyCachingService,1,1,1
org.thoughtcrime.securesms.ApplicationPreferencesActivity,org.thoughtcrime.securesms.util.DynamicLanguage,5,5,3
org.thoughtcrime.securesms.ApplicationPreferencesActivity,org.thoughtcrime.securesms.util.DynamicTheme,5,5,3
org.thoughtcrime.securesms.ApplicationPreferencesActivity,org.thoughtcrime.securesms.util.TextSecurePreferences,2,1,2
org.thoughtcrime.securesms.ApplicationPreferencesActivity.ApplicationPreferenceFragment,org.thoughtcrime.securesms.ApplicationPreferencesActivity,18,3,7
org.thoughtcrime.securesms.ApplicationPreferencesActivity.ApplicationPreferenceFragment,org.thoughtcrime.securesms.ApplicationPreferencesActivity.ApplicationPreferenceFragment.CategoryClickListener,12,1,2
org.thoughtcrime.securesms.ApplicationPreferencesActivity.ApplicationPreferenceFragment,org.thoughtcrime.securesms.crypto.MasterSecret,1,1,1
