From Class,To Class,References,From Entities,To Entities
org.tomahawk.libtomahawk.authentication.AuthenticatorManager,org.tomahawk.libtomahawk.authentication.AuthenticatorManager.ConfigTestResultEvent,3,2,3
org.tomahawk.libtomahawk.authentication.AuthenticatorManager,org.tomahawk.libtomahawk.authentication.AuthenticatorManager.Holder,1,1,1
org.tomahawk.libtomahawk.authentication.AuthenticatorManager,org.tomahawk.libtomahawk.authentication.AuthenticatorUtils,5,3,2
org.tomahawk.libtomahawk.authentication.AuthenticatorManager,org.tomahawk.libtomahawk.authentication.DeezerAuthenticatorUtils,3,2,2
org.tomahawk.libtomahawk.authentication.AuthenticatorManager,org.tomahawk.libtomahawk.authentication.HatchetAuthenticatorUtils,3,2,2
org.tomahawk.libtomahawk.authentication.AuthenticatorManager,org.tomahawk.libtomahawk.authentication.RdioAuthenticatorUtils,3,2,2
org.tomahawk.libtomahawk.authentication.AuthenticatorManager,org.tomahawk.tomahawk_android.TomahawkApp,7,1,1
org.tomahawk.libtomahawk.authentication.AuthenticatorManager.Holder,org.tomahawk.libtomahawk.authentication.AuthenticatorManager,3,2,2
org.tomahawk.libtomahawk.authentication.AuthenticatorManager.showToast.(Anon_1),org.tomahawk.tomahawk_android.TomahawkApp,1,1,1
org.tomahawk.libtomahawk.authentication.DeezerAuthenticatorUtils,org.tomahawk.libtomahawk.authentication.AuthenticatorManager,5,3,3
org.tomahawk.libtomahawk.authentication.DeezerAuthenticatorUtils,org.tomahawk.libtomahawk.authentication.AuthenticatorManager.ConfigTestResultEvent,13,6,4
org.tomahawk.libtomahawk.authentication.DeezerAuthenticatorUtils,org.tomahawk.libtomahawk.authentication.AuthenticatorUtils,5,5,3
org.tomahawk.libtomahawk.authentication.DeezerAuthenticatorUtils,org.tomahawk.libtomahawk.authentication.DeezerAuthenticatorUtils.DialogHandler,1,1,1
org.tomahawk.libtomahawk.authentication.DeezerAuthenticatorUtils,org.tomahawk.tomahawk_android.TomahawkApp,6,5,2
org.tomahawk.libtomahawk.authentication.DeezerAuthenticatorUtils.DialogHandler,org.tomahawk.libtomahawk.authentication.AuthenticatorManager,3,3,1
