Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""Activiti-5.17.0\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-rest-api-security\src\main\java\activiti\Application.java""",,,,4,,55,2,
Public Class,"""activiti.Application""",1,3,0,2,13,39,2,1
Static Class,"""activiti.Application.ApiWebSecurityConfigurationAdapter""",1,0,0,1,12,10,1,2
Protected Method,"""activiti.Application.ApiWebSecurityConfigurationAdapter.configure""",,,,,,8,1,
Public Static Method,"""activiti.Application.main""",,,,,,3,0,
Method,"""activiti.Application.seedUsersAndGroups""",,,,,,23,1,
Class,"""activiti.Application.seedUsersAndGroups.(Anon_1)""",2,5,0,1,12,20,1,1
Public Method,"""activiti.Application.seedUsersAndGroups.(Anon_1).run""",,,,,,18,1,
File,"""Activiti-5.17.0\modules\activiti-engine\src\test\java\org\activiti\standalone\calendar\DurationBusinessCalendarTest.java""",,,,1,,19,15,
Public Class,"""org.activiti.standalone.calendar.DurationBusinessCalendarTest""",1,3,0,1,15,12,3,3
Public Method,"""org.activiti.standalone.calendar.DurationBusinessCalendarTest.testSimpleDuration""",,,,,,10,0,
File,"""Activiti-5.17.0\modules\activiti-engine\src\main\java\org\activiti\engine\impl\persistence\GenericManagerFactory.java""",,,,3,,20,15,
Public Class,"""org.activiti.engine.impl.persistence.GenericManagerFactory""",2,3,0,3,14,16,3,1
Public Constructor,"""org.activiti.engine.impl.persistence.GenericManagerFactory.GenericManagerFactory""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.GenericManagerFactory.getSessionType""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.GenericManagerFactory.openSession""",,,,,,7,0,
File,"""Activiti-5.17.0\modules\activiti-engine\src\test\java\org\activiti\standalone\deploy\DeploymentCacheLimitTest.java""",,,,2,,32,17,
Public Class,"""org.activiti.standalone.deploy.DeploymentCacheLimitTest""",1,9,0,2,33,26,5,5
Public Constructor,"""org.activiti.standalone.deploy.DeploymentCacheLimitTest.DeploymentCacheLimitTest""",,,,,,3,0,
Public Method,"""org.activiti.standalone.deploy.DeploymentCacheLimitTest.testDeploymentCacheLimit""",,,,,,21,2,
File,"""Activiti-5.17.0\modules\activiti-webapp-explorer2\src\main\java\org\activiti\explorer\servlet\WebConfigurer.java""",,,,4,,55,7,
Public Class,"""org.activiti.explorer.servlet.WebConfigurer""",2,3,0,4,15,43,7,1
Public Method,"""org.activiti.explorer.servlet.WebConfigurer.contextDestroyed""",,,,,,7,0,
Public Method,"""org.activiti.explorer.servlet.WebConfigurer.contextInitialized""",,,,,,15,0,
Private Method,"""org.activiti.explorer.servlet.WebConfigurer.initSpring""",,,,,,12,4,
Public Method,"""org.activiti.explorer.servlet.WebConfigurer.setContext""",,,,,,3,0,
File,"""Activiti-5.17.0\modules\activiti-engine\src\main\java\org\activiti\engine\impl\persistence\entity\AttachmentEntity.java""",,,,26,,104,15,
Package,"""org.activiti.engine.impl.persistence.entity""",,,,1301,,8360,1523,
Public Class,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity""",5,2,0,26,37,96,3,1
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getContent""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getContentId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getDescription""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getName""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getPersistentState""",,,,,,6,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getProcessInstanceId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getRevision""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getRevisionNext""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getTaskId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getTime""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getType""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getUrl""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.getUserId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setContent""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setContentId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setDescription""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setName""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setProcessInstanceId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setRevision""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setTaskId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setTime""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setType""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setUrl""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.AttachmentEntity.setUserId""",,,,,,3,0,
File,"""Activiti-5.17.0\modules\activiti-rest\src\test\java\org\activiti\rest\service\api\management\JobCollectionResourceTest.java""",,,,1,,84,31,
Public Class,"""org.activiti.rest.service.api.management.JobCollectionResourceTest""",1,11,0,1,38,71,31,4
Public Method,"""org.activiti.rest.service.api.management.JobCollectionResourceTest.testGetJobs""",,,,,,69,25,
File,"""Activiti-5.17.0\modules\activiti-engine\src\test\java\org\activiti\engine\test\bpmn\event\error\ErrorEventSubProcessTest.java""",,,,9,,61,24,
Public Class,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest""",1,9,0,9,38,57,12,5
Private Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.assertThatErrorHasBeenCaught""",,,,,,7,3,
Public Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testCatchErrorInEmbeddedSubProcess""",,,,,,4,0,
Public Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testCatchErrorThrownByScriptTaskInEmbeddedSubProcess""",,,,,,4,0,
Public Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testCatchErrorThrownByScriptTaskInEmbeddedSubProcessWithErrorCode""",,,,,,4,0,
Public Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testCatchErrorThrownByScriptTaskInTopLevelProcess""",,,,,,4,0,
Public Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testCatchErrorThrownByScriptTaskInsideSubProcessInTopLevelProcess""",,,,,,4,0,
Public Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testErrorCodeTakesPrecedence""",,,,,,10,4,
Public Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testEventSubprocessTakesPrecedence""",,,,,,4,0,
Public Method,"""org.activiti.engine.test.bpmn.event.error.ErrorEventSubProcessTest.testThrowErrorInScriptTaskInsideCallActivitiCatchInTopLevelProcess""",,,,,,4,0,
File,"""Activiti-5.17.0\modules\activiti-crystalball\src\main\java\org\activiti\crystalball\simulator\delegate\event\impl\AbstractRecordActivitiEventListener.java""",,,,6,,32,17,
Package,"""org.activiti.crystalball.simulator.delegate.event.impl""",,,,24,,310,145,
Public Abstract Class,"""org.activiti.crystalball.simulator.delegate.event.impl.AbstractRecordActivitiEventListener""",2,3,1,6,17,24,5,1
Public Constructor,"""org.activiti.crystalball.simulator.delegate.event.impl.AbstractRecordActivitiEventListener.AbstractRecordActivitiEventListener""",,,,,,1,0,
Public Abstract Method,"""org.activiti.crystalball.simulator.delegate.event.impl.AbstractRecordActivitiEventListener.getSimulationEvents""",,,,,,1,0,
Public Method,"""org.activiti.crystalball.simulator.delegate.event.impl.AbstractRecordActivitiEventListener.isFailOnException""",,,,,,3,0,
Public Method,"""org.activiti.crystalball.simulator.delegate.event.impl.AbstractRecordActivitiEventListener.onEvent""",,,,,,4,0,
Protected Abstract Method,"""org.activiti.crystalball.simulator.delegate.event.impl.AbstractRecordActivitiEventListener.store""",,,,,,1,0,
Protected Method,"""org.activiti.crystalball.simulator.delegate.event.impl.AbstractRecordActivitiEventListener.transform""",,,,,,9,0,
File,"""Activiti-5.17.0\modules\activiti-engine\src\main\java\org\activiti\engine\impl\jobexecutor\TimerDeclarationImpl.java""",,,,15,,121,22,
Public Class,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl""",2,17,0,15,26,108,10,1
Public Constructor,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.TimerDeclarationImpl""",,,,,,5,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.getJobHandlerConfiguration""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.getJobHandlerType""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.getRepeat""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.getRetries""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.isExclusive""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.isInterruptingTimer""",,,,,,3,0,
Private Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.prepareRepeat""",,,,,,7,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.prepareTimerEntity""",,,,,,49,6,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.setExclusive""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.setInterruptingTimer""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.setJobHandlerConfiguration""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.setJobHandlerType""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.setRepeat""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.jobexecutor.TimerDeclarationImpl.setRetries""",,,,,,3,0,
File,"""Activiti-5.17.0\modules\activiti-engine\src\test\java\org\activiti\engine\test\logging\mdc\MemoryLogAppender.java""",,,,3,,15,3,
Public Class,"""org.activiti.engine.test.logging.mdc.MemoryLogAppender""",1,1,0,3,14,12,3,2
Public Method,"""org.activiti.engine.test.logging.mdc.MemoryLogAppender.activateOptions""",,,,,,3,0,
Public Method,"""org.activiti.engine.test.logging.mdc.MemoryLogAppender.clear""",,,,,,3,0,
Public Method,"""org.activiti.engine.test.logging.mdc.MemoryLogAppender.toString""",,,,,,3,0,
File,"""Activiti-5.17.0\modules\activiti-engine\src\main\java\org\activiti\engine\impl\persistence\entity\PropertyEntity.java""",,,,12,,48,17,
Public Class,"""org.activiti.engine.impl.persistence.entity.PropertyEntity""",4,2,0,12,23,43,5,1
Public Constructor,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.PropertyEntity""",,,,,,4,0,
Public Constructor,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.PropertyEntity""",,,,,,2,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.getId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.getName""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.getPersistentState""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.getRevision""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.getRevisionNext""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.getValue""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.setId""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.setRevision""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.setValue""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.persistence.entity.PropertyEntity.toString""",,,,,,3,0,
File,"""Activiti-5.17.0\modules\activiti-jmx\src\main\java\org\activiti\management\jmx\DefaultManagementAgent.java""",,,,14,,165,32,
Package,"""org.activiti.management.jmx""",,,,85,,973,361,
Public Class,"""org.activiti.management.jmx.DefaultManagementAgent""",2,8,0,13,24,143,20,1
Public Constructor,"""org.activiti.management.jmx.DefaultManagementAgent.DefaultManagementAgent""",,,,,,4,0,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.createJmxConnector""",,,,,,42,8,
Class,"""org.activiti.management.jmx.DefaultManagementAgent.createJmxConnector.(Anon_1)""",2,1,0,1,12,14,0,1
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.createJmxConnector.(Anon_1).run""",,,,,,13,0,
Protected Method,"""org.activiti.management.jmx.DefaultManagementAgent.createMBeanServer""",,,,,,10,1,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.doStart""",,,,,,3,0,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.findAndRegisterMbeans""",,,,,,4,0,
Protected Method,"""org.activiti.management.jmx.DefaultManagementAgent.findOrCreateMBeanServer""",,,,,,13,2,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.getMBeanServer""",,,,,,3,0,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.isRegistered""",,,,,,4,0,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.register""",,,,,,3,0,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.register""",,,,,,12,1,
Private Method,"""org.activiti.management.jmx.DefaultManagementAgent.registerMBeanWithServer""",,,,,,21,5,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.setMBeanServer""",,,,,,3,0,
Public Method,"""org.activiti.management.jmx.DefaultManagementAgent.unregister""",,,,,,9,0,
File,"""Activiti-5.17.0\modules\activiti-engine\src\main\java\org\activiti\engine\impl\bpmn\behavior\IntermediateThrowSignalEventActivityBehavior.java""",,,,2,,37,16,
Public Class,"""org.activiti.engine.impl.bpmn.behavior.IntermediateThrowSignalEventActivityBehavior""",1,10,0,2,26,28,4,3
Public Constructor,"""org.activiti.engine.impl.bpmn.behavior.IntermediateThrowSignalEventActivityBehavior.IntermediateThrowSignalEventActivityBehavior""",,,,,,4,0,
Public Method,"""org.activiti.engine.impl.bpmn.behavior.IntermediateThrowSignalEventActivityBehavior.execute""",,,,,,19,1,
File,"""Activiti-5.17.0\modules\activiti-rest\src\main\java\org\activiti\rest\service\api\runtime\process\ProcessInstanceActionRequest.java""",,,,0,,6,15,
Public Class,"""org.activiti.rest.service.api.runtime.process.ProcessInstanceActionRequest""",1,1,0,0,13,4,3,2
File,"""Activiti-5.17.0\modules\activiti-engine\src\main\java\org\activiti\engine\impl\variable\JPAEntityListVariableType.java""",,,,9,,115,18,
Public Class,"""org.activiti.engine.impl.variable.JPAEntityListVariableType""",3,10,1,9,20,104,18,1
Public Constructor,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.JPAEntityListVariableType""",,,,,,3,0,
Protected Method,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.deserializeIds""",,,,,,15,0,
Public Method,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.getTypeName""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.getValue""",,,,,,13,0,
Public Method,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.isAbleToStore""",,,,,,17,3,
Public Method,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.isCachable""",,,,,,3,0,
Protected Method,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.serializeIds""",,,,,,11,3,
Public Method,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.setForceCacheable""",,,,,,3,0,
Public Method,"""org.activiti.engine.impl.variable.JPAEntityListVariableType.setValue""",,,,,,25,4,
File,"""Activiti-5.17.0\modules\activiti-engine\src\test\java\org\activiti\engine\test\api\identity\IdentityServiceTest.java""",,,,27,,270,33,
Public Class,"""org.activiti.engine.test.api.identity.IdentityServiceTest""",1,11,0,27,56,260,21,5
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.findGroupByUnexistingId""",,,,,,4,0,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.findUserByUnexistingId""",,,,,,4,0,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testCheckPasswordNullSafe""",,,,,,5,0,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testCreateExistingUser""",,,,,,11,1,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testCreateMembershipAlreadyExisting""",,,,,,13,2,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testCreateMembershipNullArguments""",,,,,,14,0,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testCreateMembershipUnexistingGroup""",,,,,,10,1,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testCreateMembershipUnexistingUser""",,,,,,10,1,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testDeleteGroupNullArguments""",,,,,,8,0,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testDeleteMemberschipNullArguments""",,,,,,14,0,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testDeleteMembership""",,,,,,15,2,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testDeleteMembershipUnexistingGroup""",,,,,,6,1,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testDeleteMembershipUnexistingUser""",,,,,,6,1,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testDeleteMembershipWhenUserIsNoMember""",,,,,,9,1,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testDeleteUserNullArguments""",,,,,,8,0,
Public Method,"""org.activiti.engine.test.api.identity.IdentityServiceTest.testDeleteUserUnexistingUserId""",,,,,,3,2,
