Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\adapters\EventLogCardInflater.java""",,,,3,,70,22,
Public Class,"""com.SecUpwN.AIMSICD.adapters.EventLogCardInflater""",2,3,0,1,12,64,22,1
Private Class,"""com.SecUpwN.AIMSICD.adapters.EventLogCardInflater.ViewHolder""",1,1,0,2,13,47,2,1
Public Constructor,"""com.SecUpwN.AIMSICD.adapters.EventLogCardInflater.ViewHolder.ViewHolder""",,,,,,15,1,
Public Method,"""com.SecUpwN.AIMSICD.adapters.EventLogCardInflater.ViewHolder.updateDisplay""",,,,,,18,1,
Public Method,"""com.SecUpwN.AIMSICD.adapters.EventLogCardInflater.inflate""",,,,,,14,0,
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\utils\atcmd\AtCommandTerminal.java""",,,,3,,26,27,
Package,"""com.SecUpwN.AIMSICD.utils.atcmd""",,,,10,,153,93,
Public Abstract Class,"""com.SecUpwN.AIMSICD.utils.atcmd.AtCommandTerminal""",1,2,1,3,14,21,27,1
Public Abstract Method,"""com.SecUpwN.AIMSICD.utils.atcmd.AtCommandTerminal.dispose""",,,,,,1,0,
Public Static Method,"""com.SecUpwN.AIMSICD.utils.atcmd.AtCommandTerminal.factory""",,,,,,15,5,
Public Abstract Method,"""com.SecUpwN.AIMSICD.utils.atcmd.AtCommandTerminal.send""",,,,,,1,0,
File,"""Android-IMSI-Catcher-Detector-0.1.29\app\src\main\java\com\SecUpwN\AIMSICD\activities\OpenCellIdActivity.java""",,,,7,,70,3,
Public Class,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity""",1,1,0,1,15,59,0,3
Public Method,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate""",,,,,,53,0,
Class,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_1)""",2,0,0,1,12,5,0,1
Public Method,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_1).onClick""",,,,,,3,0,
Class,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_2)""",2,0,0,1,12,37,0,1
Public Method,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_2).onClick""",,,,,,35,0,
Class,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_2).onClick.(Anon_3)""",2,4,0,3,14,32,0,1
Protected Method,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_2).onClick.(Anon_3).doInBackground""",,,,,,16,0,
Class,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_2).onClick.(Anon_3).doInBackground.(catch_1).(Anon_4)""",2,3,0,1,12,8,0,1
Public Method,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_2).onClick.(Anon_3).doInBackground.(catch_1).(Anon_4).run""",,,,,,6,0,
Protected Method,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_2).onClick.(Anon_3).onPostExecute""",,,,,,9,0,
Protected Method,"""com.SecUpwN.AIMSICD.activities.OpenCellIdActivity.onCreate.(Anon_2).onClick.(Anon_3).onPreExecute""",,,,,,3,0,
File,"""Android-IMSI-Catcher-Detector-0.1.29\third_party\rootshell\src\main\java\com\stericson\RootShell\RootShell.java""",,,,28,,262,217,
Package,"""com.stericson.RootShell""",,,,28,,262,217,
Public Class,"""com.stericson.RootShell.RootShell""",1,6,0,23,34,249,196,1
Public Enum Type,"""com.stericson.RootShell.RootShell.LogLevel""",1,1,0,2,2,6,0,1
Public Method,"""com.stericson.RootShell.RootShell.LogLevel.valueOf""",,,,,,0,0,
Public Method,"""com.stericson.RootShell.RootShell.LogLevel.values""",,,,,,0,0,
Public Static Method,"""com.stericson.RootShell.RootShell.closeAllShells""",,,,,,3,3,
Public Static Method,"""com.stericson.RootShell.RootShell.closeCustomShell""",,,,,,3,3,
Public Static Method,"""com.stericson.RootShell.RootShell.closeShell""",,,,,,7,5,
Private Static Method,"""com.stericson.RootShell.RootShell.commandWait""",,,,,,32,0,
Public Static Method,"""com.stericson.RootShell.RootShell.exists""",,,,,,3,7,
