Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""bitcoinj-0.12.3\core\src\main\java\org\bitcoinj\jni\NativeBlockChainListener.java""",,,,5,,18,20,
Package,"""org.bitcoinj.jni""",,,,26,,106,110,
Public Class,"""org.bitcoinj.jni.NativeBlockChainListener""",2,6,0,5,16,15,20,1
File,"""bitcoinj-0.12.3\core\src\main\java\org\bitcoinj\wallet\DeterministicKeyChain.java""",,,,64,,723,312,
Public Class,"""org.bitcoinj.wallet.DeterministicKeyChain""",2,34,0,64,75,702,312,1
Public Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,3,4,
Public Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,3,4,
Public Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,3,5,
Public Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,3,5,
Protected Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,3,4,
Public Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,8,5,
Public Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,3,0,
Private Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,4,5,
Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,9,3,
Private Constructor,"""org.bitcoinj.wallet.DeterministicKeyChain.DeterministicKeyChain""",,,,,,25,6,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.addEventListener""",,,,,,3,0,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.addEventListener""",,,,,,3,0,
Private Method,"""org.bitcoinj.wallet.DeterministicKeyChain.addToBasicChain""",,,,,,3,0,
Private Method,"""org.bitcoinj.wallet.DeterministicKeyChain.calcDefaultLookaheadThreshold""",,,,,,3,0,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.checkAESKey""",,,,,,10,0,
Private Method,"""org.bitcoinj.wallet.DeterministicKeyChain.checkForBitFlip""",,,,,,7,0,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.checkPassword""",,,,,,5,0,
Private Method,"""org.bitcoinj.wallet.DeterministicKeyChain.encryptNonLeaf""",,,,,,8,0,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.findKeyFromPubHash""",,,,,,8,0,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.findKeyFromPubKey""",,,,,,8,0,
Public Static Method,"""org.bitcoinj.wallet.DeterministicKeyChain.fromProtobuf""",,,,,,129,22,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.getEarliestKeyCreationTime""",,,,,,3,0,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.getFilter""",,,,,,10,0,
Public Method,"""org.bitcoinj.wallet.DeterministicKeyChain.getIssuedExternalKeys""",,,,,,8,4,
