Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""cassandra-2.2.0-beta1\src\java\org\apache\cassandra\service\ClientState.java""",,,,27,,251,67,
Public Class,"""org.apache.cassandra.service.ClientState""",1,32,1,27,38,225,50,1
Private Constructor,"""org.apache.cassandra.service.ClientState.ClientState""",,,,,,5,3,
Protected Constructor,"""org.apache.cassandra.service.ClientState.ClientState""",,,,,,7,0,
Private Method,"""org.apache.cassandra.service.ClientState.authorize""",,,,,,4,0,
Private Method,"""org.apache.cassandra.service.ClientState.checkPermissionOnResourceChain""",,,,,,10,0,
Public Method,"""org.apache.cassandra.service.ClientState.ensureHasPermission""",,,,,,9,1,
Public Method,"""org.apache.cassandra.service.ClientState.ensureHasPermission""",,,,,,10,2,
Public Method,"""org.apache.cassandra.service.ClientState.ensureIsSuper""",,,,,,5,0,
Public Method,"""org.apache.cassandra.service.ClientState.ensureNotAnonymous""",,,,,,6,0,
Public Static Method,"""org.apache.cassandra.service.ClientState.forExternalCalls""",,,,,,4,3,
Public Static Method,"""org.apache.cassandra.service.ClientState.forInternalCalls""",,,,,,4,3,
Public Static Method,"""org.apache.cassandra.service.ClientState.getCQLQueryHandler""",,,,,,4,0,
Public Static Method,"""org.apache.cassandra.service.ClientState.getCQLSupportedVersion""",,,,,,4,0,
Public Method,"""org.apache.cassandra.service.ClientState.getKeyspace""",,,,,,6,0,
Public Method,"""org.apache.cassandra.service.ClientState.getRawKeyspace""",,,,,,4,0,
Public Method,"""org.apache.cassandra.service.ClientState.getRemoteAddress""",,,,,,4,0,
Public Method,"""org.apache.cassandra.service.ClientState.getTimestamp""",,,,,,11,4,
Public Method,"""org.apache.cassandra.service.ClientState.getUser""",,,,,,4,0,
Private Method,"""org.apache.cassandra.service.ClientState.hasAccess""",,,,,,15,0,
Public Method,"""org.apache.cassandra.service.ClientState.hasAllKeyspacesAccess""",,,,,,7,0,
Public Method,"""org.apache.cassandra.service.ClientState.hasColumnFamilyAccess""",,,,,,6,0,
Public Method,"""org.apache.cassandra.service.ClientState.hasKeyspaceAccess""",,,,,,4,0,
Public Method,"""org.apache.cassandra.service.ClientState.login""",,,,,,7,6,
Private Method,"""org.apache.cassandra.service.ClientState.preventSystemKSSchemaModification""",,,,,,13,5,
Public Method,"""org.apache.cassandra.service.ClientState.setKeyspace""",,,,,,6,2,
Public Method,"""org.apache.cassandra.service.ClientState.updateLastTimestamp""",,,,,,9,6,
Private Static Method,"""org.apache.cassandra.service.ClientState.validateKeyspace""",,,,,,5,0,
Public Method,"""org.apache.cassandra.service.ClientState.validateLogin""",,,,,,5,0,
File,"""cassandra-2.2.0-beta1\src\java\org\apache\cassandra\cache\KeyCacheKey.java""",,,,6,,49,19,
Public Class,"""org.apache.cassandra.cache.KeyCacheKey""",2,4,0,6,17,42,2,1
Public Constructor,"""org.apache.cassandra.cache.KeyCacheKey.KeyCacheKey""",,,,,,7,0,
Public Method,"""org.apache.cassandra.cache.KeyCacheKey.equals""",,,,,,7,0,
Public Method,"""org.apache.cassandra.cache.KeyCacheKey.getCFId""",,,,,,4,0,
Public Method,"""org.apache.cassandra.cache.KeyCacheKey.hashCode""",,,,,,7,0,
Public Method,"""org.apache.cassandra.cache.KeyCacheKey.toString""",,,,,,4,0,
Public Method,"""org.apache.cassandra.cache.KeyCacheKey.unsharedHeapSize""",,,,,,4,0,
File,"""cassandra-2.2.0-beta1\test\unit\org\apache\cassandra\io\sstable\SSTableRewriterTest.java""",,,,33,,780,35,
Public Class,"""org.apache.cassandra.io.sstable.SSTableRewriterTest""",1,43,0,29,67,746,18,2
Private Interface,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.RewriterTest""",0,5,3,1,1,4,0,0
Public Abstract Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.RewriterTest.run""",,,,,,1,0,
Private Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.assertFileCounts""",,,,,,20,0,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.basicTest""",,,,,,34,0,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.basicTest2""",,,,,,29,0,
Public Static Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.defineSchema""",,,,,,8,0,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.getPositionsTest""",,,,,,53,1,
Private Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.getWriter""",,,,,,5,0,
Public Static Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.random""",,,,,,8,0,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testAbort""",,,,,,4,0,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testAbort2""",,,,,,4,0,
Private Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testAbortHelper""",,,,,,62,1,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testAllKeysReadable""",,,,,,52,0,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testCanonicalView""",,,,,,37,1,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testFileRemoval""",,,,,,36,2,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFilesAndSizes""",,,,,,45,2,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort""",,,,,,21,1,
Private Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort""",,,,,,27,0,
Class,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort.(Anon_1)""",2,11,0,1,12,16,1,1
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort.(Anon_1).run""",,,,,,15,1,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort2""",,,,,,25,2,
Class,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort2.(Anon_2)""",2,11,0,1,12,20,2,1
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort2.(Anon_2).run""",,,,,,19,2,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort3""",,,,,,21,1,
Class,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort3.(Anon_3)""",2,11,0,1,12,16,1,1
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_abort3.(Anon_3).run""",,,,,,15,1,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_dont_clean_readers""",,,,,,38,1,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_finish_empty_new_writer""",,,,,,37,3,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testNumberOfFiles_truncate""",,,,,,36,1,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testOfflineAbort""",,,,,,4,0,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testOfflineAbort2""",,,,,,4,0,
Public Method,"""org.apache.cassandra.io.sstable.SSTableRewriterTest.testSSTableSplit""",,,,,,18,1,
