Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""checkstyle-6.7\src\main\java\com\puppycrawl\tools\checkstyle\filters\SuppressionFilter.java""",,,,4,,35,32,
Public Class,"""com.puppycrawl.tools.checkstyle.filters.SuppressionFilter""",2,5,0,4,21,28,14,2
Public Method,"""com.puppycrawl.tools.checkstyle.filters.SuppressionFilter.accept""",,,,,,3,1,
Public Method,"""com.puppycrawl.tools.checkstyle.filters.SuppressionFilter.equals""",,,,,,10,0,
Public Method,"""com.puppycrawl.tools.checkstyle.filters.SuppressionFilter.hashCode""",,,,,,3,0,
Public Method,"""com.puppycrawl.tools.checkstyle.filters.SuppressionFilter.setFile""",,,,,,4,5,
File,"""checkstyle-6.7\src\test\java\com\puppycrawl\tools\checkstyle\checks\javadoc\AtclauseOrderCheckTest.java""",,,,3,,72,18,
Public Class,"""com.puppycrawl.tools.checkstyle.checks.javadoc.AtclauseOrderCheckTest""",1,4,0,3,24,67,0,2
Public Method,"""com.puppycrawl.tools.checkstyle.checks.javadoc.AtclauseOrderCheckTest.testCorrect""",,,,,,5,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.javadoc.AtclauseOrderCheckTest.testIncorrect""",,,,,,44,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.javadoc.AtclauseOrderCheckTest.testIncorrectCustom""",,,,,,13,0,
File,"""checkstyle-6.7\src\test\java\com\puppycrawl\tools\checkstyle\checks\naming\ParameterNameCheckTest.java""",,,,3,,41,18,
Public Class,"""com.puppycrawl.tools.checkstyle.checks.naming.ParameterNameCheckTest""",1,5,0,3,24,36,0,2
Public Method,"""com.puppycrawl.tools.checkstyle.checks.naming.ParameterNameCheckTest.testCatch""",,,,,,9,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.naming.ParameterNameCheckTest.testDefault""",,,,,,8,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.naming.ParameterNameCheckTest.testSpecified""",,,,,,13,0,
File,"""checkstyle-6.7\src\test\resources\com\puppycrawl\tools\checkstyle\coding\InputMissingCtor.java""",,,,1,,10,2,
Abstract Class,"""com.puppycrawl.tools.checkstyle.coding.AbstactClass""",1,0,0,0,11,2,0,1
Class,"""com.puppycrawl.tools.checkstyle.coding.CorrectClass""",1,0,0,1,12,4,0,1
Constructor,"""com.puppycrawl.tools.checkstyle.coding.CorrectClass.CorrectClass""",,,,,,2,0,
Public Class,"""com.puppycrawl.tools.checkstyle.coding.InputMissingCtor""",1,0,0,0,11,3,0,1
File,"""checkstyle-6.7\src\test\java\com\puppycrawl\tools\checkstyle\checks\sizes\OuterTypeNumberCheckTest.java""",,,,3,,39,18,
Public Class,"""com.puppycrawl.tools.checkstyle.checks.sizes.OuterTypeNumberCheckTest""",1,5,0,3,24,32,0,2
Public Method,"""com.puppycrawl.tools.checkstyle.checks.sizes.OuterTypeNumberCheckTest.testDefault""",,,,,,8,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.sizes.OuterTypeNumberCheckTest.testGetAcceptableTokens""",,,,,,11,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.sizes.OuterTypeNumberCheckTest.testMax30""",,,,,,8,0,
File,"""checkstyle-6.7\src\test\java\com\puppycrawl\tools\checkstyle\checks\coding\MagicNumberCheckTest.java""",,,,7,,347,18,
Public Class,"""com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest""",1,4,0,7,28,342,0,2
Public Method,"""com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest.testDefault""",,,,,,49,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest.testIgnoreFieldDeclaration""",,,,,,40,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest.testIgnoreHashCodeMethod""",,,,,,45,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest.testIgnoreNegativeOctalHex""",,,,,,39,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest.testIgnoreNone""",,,,,,72,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest.testIgnoreSome""",,,,,,44,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest.testIntegersOnly""",,,,,,43,0,
File,"""checkstyle-6.7\src\test\resources\com\puppycrawl\tools\checkstyle\InputScopeInnerInterfaces.java""",,,,10,,55,5,
Public Class,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces""",1,0,0,0,11,53,1,1
Private Annotation,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.MyAnnotation""",0,0,0,0,0,2,0,0
Private Class,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.MyClass1""",1,0,0,0,11,2,0,1
Class,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.MyClass2""",1,0,0,0,11,2,0,1
Protected Enum Type,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.MyEnum""",1,1,0,2,2,2,0,1
Public Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.MyEnum.valueOf""",,,,,,0,0,
Public Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.MyEnum.values""",,,,,,0,0,
Private Interface,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.MyInterface1""",0,0,0,0,0,2,0,0
Interface,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.MyInterface2""",0,0,0,0,0,2,0,0
Interface,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PackageInnerInterface""",0,1,0,2,2,7,0,0
Public Abstract Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PackageInnerInterface.ma""",,,,,,1,0,
Abstract Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PackageInnerInterface.mb""",,,,,,1,0,
Private Interface,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PrivateInterface""",0,1,0,2,2,7,0,0
Public Abstract Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PrivateInterface.ma""",,,,,,1,0,
Abstract Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PrivateInterface.mb""",,,,,,1,0,
Protected Interface,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.ProtectedInnerInterface""",0,1,0,2,2,7,0,0
Public Abstract Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.ProtectedInnerInterface.ma""",,,,,,1,0,
Abstract Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.ProtectedInnerInterface.mb""",,,,,,1,0,
Public Interface,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PublicInnerInterface""",0,1,0,2,2,7,0,0
Public Abstract Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PublicInnerInterface.ma""",,,,,,1,0,
Abstract Method,"""com.puppycrawl.tools.checkstyle.InputScopeInnerInterfaces.PublicInnerInterface.mb""",,,,,,1,0,
File,"""checkstyle-6.7\src\test\resources\com\puppycrawl\tools\checkstyle\coding\InputIllegalThrowsCheckIgnoreOverriddenMethods.java""",,,,2,,12,0,
Public Class,"""com.puppycrawl.tools.checkstyle.coding.InputIllegalThrowsCheckIgnoreOverriddenMethods""",1,0,0,2,17,11,0,2
Public Method,"""com.puppycrawl.tools.checkstyle.coding.InputIllegalThrowsCheckIgnoreOverriddenMethods.methodOne""",,,,,,3,0,
Public Method,"""com.puppycrawl.tools.checkstyle.coding.InputIllegalThrowsCheckIgnoreOverriddenMethods.methodTwo""",,,,,,2,0,
File,"""checkstyle-6.7\src\test\resources\com\puppycrawl\tools\checkstyle\InputImmutableStarImport2.java""",,,,0,,6,2,
Public Class,"""com.puppycrawl.tools.checkstyle.InputImmutableStarImport2""",1,0,0,0,11,4,1,1
File,"""checkstyle-6.7\src\test\resources\com\puppycrawl\tools\checkstyle\whitespace\InputDoWhileWhitespaceAround.java""",,,,1,,9,0,
Public Class,"""com.puppycrawl.tools.checkstyle.whitespace.InputDoWhileWhitespaceAround""",1,0,0,1,12,8,0,1
Public Method,"""com.puppycrawl.tools.checkstyle.whitespace.InputDoWhileWhitespaceAround.doWhileTest""",,,,,,6,0,
File,"""checkstyle-6.7\src\test\resources\com\puppycrawl\tools\checkstyle\imports\InputAvoidStaticImportCheck.java""",,,,3,,57,39,
Class,"""com.puppycrawl.tools.checkstyle.imports.InputAvoidStaticImportCheck""",1,2,0,3,14,21,35,1
Public Method,"""com.puppycrawl.tools.checkstyle.imports.InputAvoidStaticImportCheck.Label""",,,,,,1,3,
Public Method,"""com.puppycrawl.tools.checkstyle.imports.InputAvoidStaticImportCheck.aMethodWithManyLinks""",,,,,,1,8,
Public Method,"""com.puppycrawl.tools.checkstyle.imports.InputAvoidStaticImportCheck.render""",,,,,,1,5,
File,"""checkstyle-6.7\src\test\resources\com\puppycrawl\tools\checkstyle\javadoc\InputJavaDocTagContinuationIndentation.java""",,,,23,,82,216,
Enum Type,"""com.puppycrawl.tools.checkstyle.javadoc.Foo1""",1,1,0,2,2,1,12,1
Public Method,"""com.puppycrawl.tools.checkstyle.javadoc.Foo1.valueOf""",,,,,,0,0,
Public Method,"""com.puppycrawl.tools.checkstyle.javadoc.Foo1.values""",,,,,,0,0,
Interface,"""com.puppycrawl.tools.checkstyle.javadoc.FooIn1""",0,0,0,0,0,0,10,0
Class,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation""",2,2,0,7,18,78,194,1
Class,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.(Anon_1)""",2,1,0,7,18,23,53,1
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.(Anon_1).method""",,,,,,4,10,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.(Anon_1).method1""",,,,,,4,7,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.(Anon_1).method2""",,,,,,1,6,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.(Anon_1).method3""",,,,,,1,6,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.(Anon_1).method4""",,,,,,4,5,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.(Anon_1).method5""",,,,,,4,6,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.(Anon_1).method6""",,,,,,4,13,
Class,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.InnerClassWithAnnotations""",1,1,1,7,18,25,61,1
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.InnerClassWithAnnotations.method""",,,,,,4,9,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.InnerClassWithAnnotations.method1""",,,,,,4,8,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.InnerClassWithAnnotations.method2""",,,,,,1,8,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.InnerClassWithAnnotations.method3""",,,,,,1,5,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.InnerClassWithAnnotations.method4""",,,,,,4,6,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.InnerClassWithAnnotations.method5""",,,,,,4,6,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.InnerClassWithAnnotations.method6""",,,,,,4,11,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.method""",,,,,,4,10,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.method1""",,,,,,4,8,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.method2""",,,,,,1,6,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.method3""",,,,,,1,6,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.method4""",,,,,,4,5,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.method5""",,,,,,4,6,
Method,"""com.puppycrawl.tools.checkstyle.javadoc.JavaDocTagContinuationIndentation.method6""",,,,,,4,12,
File,"""checkstyle-6.7\src\main\java\com\puppycrawl\tools\checkstyle\checks\blocks\RightCurlyOption.java""",,,,2,,5,44,
Public Enum Type,"""com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyOption""",1,1,0,2,2,4,26,1
Public Method,"""com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyOption.valueOf""",,,,,,0,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyOption.values""",,,,,,0,0,
File,"""checkstyle-6.7\src\test\java\com\puppycrawl\tools\checkstyle\checks\blocks\EmptyBlockCheckTest.java""",,,,5,,88,18,
Public Class,"""com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheckTest""",1,5,0,5,26,82,0,2
Public Method,"""com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheckTest.allowEmptyLoops""",,,,,,15,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheckTest.allowEmptyLoopsText""",,,,,,15,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheckTest.testDefault""",,,,,,15,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheckTest.testStatement""",,,,,,16,0,
Public Method,"""com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheckTest.testText""",,,,,,13,0,
