Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/admin-ui/src/main/java/io/crate/module/AdminUIModule.java",,,,1,,7,23,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/admin-ui/src/main/java/io/crate/plugin/AdminUICrateComponent.java",,,,1,,10,20,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/admin-ui/src/main/java/io/crate/plugin/AdminUIPlugin.java",,,,4,,22,27,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/admin-ui/src/main/java/io/crate/rest/action/admin/AdminUIFrontpageAction.java",,,,2,,19,26,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/app/src/main/java/io/crate/bootstrap/Crate.java",,,,0,,4,23,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/app/src/main/java/io/crate/bootstrap/CrateF.java",,,,1,,7,23,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/app/src/main/java/io/crate/node/NodeSettings.java",,,,1,,21,29,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/app/src/main/java/org/elasticsearch/node/internal/InternalSettingsPreparer.java",,,,1,,90,36,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/app/src/test/java/io/crate/node/NodeSettingsTest.java",,,,6,,118,34,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/blob/src/main/java/io/crate/blob/BlobContainer.java",,,,12,,111,42,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/blob/src/main/java/io/crate/blob/BlobEnvironment.java",,,,9,,105,39,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/blob/src/main/java/io/crate/blob/BlobModule.java",,,,1,,9,20,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/blob/src/main/java/io/crate/blob/BlobService.java",,,,7,,94,35,
File,"Z:/thaina/Programs/Experiment2/crate-0.49.2/blob/src/main/java/io/crate/blob/BlobShardFuture.java",,,,2,,35,25,
