Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Package,"(Unnamed_Package)",,,,70,,1077,449,
Public Class,"Compile",1,2,0,1,1,34,7,1
Public Static Method,"Compile.main",,,,,,32,0,
Class,"LoadClass",1,3,0,2,2,45,8,1
Public Static Method,"LoadClass.main",,,,,,42,0,
Class,"LoadedClass",3,3,0,10,10,70,18,1
Constructor,"LoadedClass.LoadedClass",,,,,,4,1,
Private Method,"LoadedClass.addProcessNames",,,,,,7,0,
Private Static Method,"LoadedClass.calculateMedian",,,,,,17,3,
Public Method,"LoadedClass.compareTo",,,,,,3,0,
Method,"LoadedClass.measureMemoryUsage",,,,,,3,0,
Method,"LoadedClass.medianInitTimeMicros",,,,,,6,1,
Method,"LoadedClass.medianLoadTimeMicros",,,,,,6,1,
Method,"LoadedClass.medianTimeMicros",,,,,,3,0,
Method,"LoadedClass.processNames",,,,,,6,1,
Public Method,"LoadedClass.toString",,,,,,3,0,
Class,"MemoryUsage",2,3,0,15,15,212,20,1
Static Class,"MemoryUsage.MeasureWithTimeout",2,1,0,3,3,54,1,1
Constructor,"MemoryUsage.MeasureWithTimeout.MeasureWithTimeout",,,,,,3,0,
Private Method,"MemoryUsage.MeasureWithTimeout.measure",,,,,,40,1,
Class,"MemoryUsage.MeasureWithTimeout.measure.(Anon_1)",2,2,0,1,1,5,0,1
Public Method,"MemoryUsage.MeasureWithTimeout.measure.(Anon_1).run",,,,,,3,0,
Public Method,"MemoryUsage.MeasureWithTimeout.run",,,,,,7,0,
Public Constructor,"MemoryUsage.MemoryUsage",,,,,,14,0,
Constructor,"MemoryUsage.MemoryUsage",,,,,,13,0,
Constructor,"MemoryUsage.MemoryUsage",,,,,,23,0,
Static Method,"MemoryUsage.baseline",,,,,,3,3,
Private Static Method,"MemoryUsage.copy",,,,,,11,3,
Static Method,"MemoryUsage.forClass",,,,,,22,5,
Method,"MemoryUsage.isAvailable",,,,,,3,3,
Method,"MemoryUsage.javaHeapSize",,,,,,3,0,
Method,"MemoryUsage.javaPagesInK",,,,,,3,0,
Public Static Method,"MemoryUsage.main",,,,,,11,1,
Method,"MemoryUsage.nativePagesInK",,,,,,3,0,
Method,"MemoryUsage.otherPagesInK",,,,,,3,0,
Method,"MemoryUsage.subtract",,,,,,14,0,
Method,"MemoryUsage.totalHeap",,,,,,3,0,
Method,"MemoryUsage.totalPages",,,,,,4,0,
Class,"Operation",2,3,0,6,6,66,30,1
Constructor,"Operation.Operation",,,,,,8,1,
Enum Type,"Operation.Type",1,0,0,2,2,3,3,1
Public Method,"Operation.Type.valueOf",,,,,,0,0,
Public Method,"Operation.Type.values",,,,,,0,0,
Method,"Operation.exclusiveTimeMicros",,,,,,10,3,
Private Method,"Operation.inclusiveTimeNanos",,,,,,7,4,
Method,"Operation.medianExclusiveTimeMicros",,,,,,7,1,
Private Static Method,"Operation.nanosToMicros",,,,,,8,5,
Public Method,"Operation.toString",,,,,,12,3,
Public Class,"Policy",1,1,0,3,3,38,26,1
Private Constructor,"Policy.Policy",,,,,,1,3,
Public Static Method,"Policy.isPreloadable",,,,,,4,1,
Public Static Method,"Policy.isService",,,,,,3,4,
Public Class,"PrintCsv",1,5,0,3,3,82,3,1
Public Static Method,"PrintCsv.main",,,,,,16,0,
Static Method,"PrintCsv.printHeaders",,,,,,14,0,
Static Method,"PrintCsv.printRow",,,,,,50,0,
Public Class,"PrintHtmlDiff",1,5,0,2,2,96,4,1
Public Static Method,"PrintHtmlDiff.main",,,,,,44,1,
Static Method,"PrintHtmlDiff.printTable",,,,,,48,0,
Public Class,"PrintPsTree",1,2,0,1,1,18,3,1
Public Static Method,"PrintPsTree.main",,,,,,16,0,
Class,"Proc",2,3,0,9,9,76,44,1
Constructor,"Proc.Proc",,,,,,4,1,
Private Static Method,"Proc.didNotStart",,,,,,4,5,
Method,"Proc.endOperation",,,,,,16,7,
Public Method,"Proc.fromZygote",,,,,,4,3,
Method,"Proc.print",,,,,,3,3,
Private Method,"Proc.print",,,,,,6,3,
Method,"Proc.setName",,,,,,8,1,
Method,"Proc.startOperation",,,,,,15,7,
Public Method,"Proc.toString",,,,,,3,0,
Class,"Record",1,1,0,3,3,100,38,1
Constructor,"Record.Record",,,,,,23,3,
Enum Type,"Record.Type",1,0,0,2,2,6,4,1
Public Method,"Record.Type.valueOf",,,,,,0,0,
Public Method,"Record.Type.values",,,,,,0,0,
Method,"Record.decode",,,,,,12,9,
Method,"Record.vmTypeToLanguage",,,,,,10,6,
Public Class,"Root",2,7,0,4,4,82,22,1
Static Method,"Root.fromFile",,,,,,9,3,
Method,"Root.indexClassOperation",,,,,,45,7,
Method,"Root.indexProcess",,,,,,12,4,
Method,"Root.toFile",,,,,,9,3,
Public Class,"WritePreloadedClassFile",1,5,0,3,3,80,31,1
Private Static Method,"WritePreloadedClassFile.addAllClassesFrom",,,,,,14,0,
Public Static Method,"WritePreloadedClassFile.main",,,,,,58,18,
Private Static Method,"WritePreloadedClassFile.shouldPreload",,,,,,4,3,
File,"Z:\thaina\Programs\Experiment2\CyanogenMod-android_frameworks_base-11.0\cmds\am\src\com\android\commands\am\Am.java",,,,52,,1462,45,
File,"Z:\thaina\Programs\Experiment2\CyanogenMod-android_frameworks_base-11.0\cmds\bmgr\src\com\android\commands\bmgr\Bmgr.java",,,,23,,422,25,
File,"Z:\thaina\Programs\Experiment2\CyanogenMod-android_frameworks_base-11.0\cmds\bu\src\com\android\commands\bu\Backup.java",,,,5,,122,17,
