Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/BaseIOFlag.java",,,,2,,12,23,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/Computation.java",,,,1,,7,23,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/DistributedSystem.java",,,,1,,7,22,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/Flag.java",,,,1,,4,26,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/Input.java",,,,3,,21,22,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/Model.java",,,,1,,19,35,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/Output.java",,,,1,,15,26,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/Properties.java",,,,1,,21,20,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/flags/test/BaseFlagTest.java",,,,2,,13,21,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/schemes/BaseScheme.java",,,,5,,22,21,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/schemes/Scheme.java",,,,4,,12,30,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/api/schemes/Schemes.java",,,,1,,10,26,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/driver/CommandLineInterfaceDriver.java",,,,3,,40,10,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/files/FileRecordReaderFactory.java",,,,1,,46,29,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/files/FileRecordWriterFactory.java",,,,1,,38,29,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/files/FileScheme.java",,,,4,,34,29,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/subcommands/BaseSubCommand.java",,,,1,,9,25,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/subcommands/Predict.java",,,,2,,20,28,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/subcommands/SubCommand.java",,,,1,,4,25,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/subcommands/Test.java",,,,2,,18,27,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/main/java/org/deeplearning4j/cli/subcommands/Train.java",,,,8,,188,50,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/test/java/org/deeplearning4j/cli/TrainConfigTest.java",,,,1,,31,20,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/test/java/org/deeplearning4j/cli/TrainMultiLayerConfigTest.java",,,,1,,55,20,
File,"Z:/thaina/ProgramVersions/deeplearning4j-deeplearning4j-parent-0.4-rc0/deeplearning4j-cli/deeplearning4j-cli-api/src/test/java/org/deeplearning4j/cli/flags/PropertiesFlagTest.java",,,,1,,18,20,
