Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Package,(Unnamed_Package),,,,0,,548,1410,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/com/google/protobuf/WireFormatProxy.java,,,,2,,7,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/AutoCloseables.java,,,,1,,11,32,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/DeferredException.java,,,,7,,64,57,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/EventProcessor.java,,,,3,,42,52,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/JSONOptions.java,,,,13,,135,22,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/SelfCleaningRunnable.java,,,,3,,16,32,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/StackTrace.java,,,,3,,35,32,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/collections/MapWithOrdinal.java,,,,28,,154,63,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/concurrent/ExtendedLatch.java,,,,5,,43,38,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/config/CommonConstants.java,,,,0,,10,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/config/ConfigProvider.java,,,,1,,5,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/config/DrillConfig.java,,,,16,,146,52,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/config/NestedConfig.java,,,,41,,138,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/DrillConfigurationException.java,,,,5,,20,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/DrillError.java,,,,5,,19,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/DrillException.java,,,,5,,19,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/DrillIOException.java,,,,4,,17,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/DrillRuntimeException.java,,,,7,,26,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/ErrorHelper.java,,,,8,,108,25,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/ExecutionSetupException.java,,,,6,,27,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/ExpressionParsingException.java,,,,5,,20,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/LogicalOperatorValidationException.java,,,,5,,20,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/LogicalPlanParsingException.java,,,,7,,45,17,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/UserException.java,,,,38,,176,332,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/UserExceptionContext.java,,,,13,,65,70,
File,Z:/thaina/Programs/Experiment2/drill-0.9.0/common/src/main/java/org/apache/drill/common/exceptions/UserRemoteException.java,,,,3,,17,22,
