Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Package,"(Unnamed_Package)",,,,0,,0,0,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/cxf-utils/src/main/java/io/fabric8/utils/cxf/AuthorizationHeaderFilter.java",,,,3,,29,19,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/cxf-utils/src/main/java/io/fabric8/utils/cxf/ExceptionResponseMapper.java",,,,1,,21,0,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/cxf-utils/src/main/java/io/fabric8/utils/cxf/JsonHelper.java",,,,2,,15,22,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/cxf-utils/src/main/java/io/fabric8/utils/cxf/TrustEverythingSSLTrustManager.java",,,,7,,45,40,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/cxf-utils/src/main/java/io/fabric8/utils/cxf/WebClients.java",,,,8,,139,18,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/AbstractDockerDTO.java",,,,0,,8,18,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/Auth.java",,,,0,,8,15,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/Container.java",,,,0,,16,15,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/Docker.java",,,,26,,115,128,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/DockerApiConnectionException.java",,,,1,,6,15,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/DockerFactory.java",,,,12,,79,36,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/Dockers.java",,,,5,,74,34,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/Image.java",,,,0,,13,16,
File,"Z:/thaina/Programs/Experiment2/fabric8-2.1.11/components/docker-api/src/main/java/io/fabric8/docker/api/Info.java",,,,0,,26,15,
