Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/main/java/com/facebook/junittests/MainActivity.java",,,,3,,29,24,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/AccessTokenCacheTest.java",,,,15,,192,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/AccessTokenManagerTest.java",,,,16,,158,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/AccessTokenTest.java",,,,14,,307,21,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/AccessTokenTestHelper.java",,,,1,,23,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/AccessTokenTrackerTest.java",,,,11,,104,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/ApplicationTest.java",,,,1,,13,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/ErrorClassificationTest.java",,,,1,,67,20,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/FacebookContentProviderTest.java",,,,17,,143,20,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/FacebookGraphRequestErrorTest.java",,,,10,,299,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/FacebookPowerMockTestCase.java",,,,1,,22,25,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/FacebookSdkPowerMockTest.java",,,,14,,139,21,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/FacebookTestCase.java",,,,1,,16,25,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/GraphErrorTest.java",,,,2,,57,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/GraphRequestTest.java",,,,28,,269,28,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/GraphUtilTest.java",,,,1,,16,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/LegacyTokenCacheTest.java",,,,28,,293,24,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/PowerMockIntegrationTest.java",,,,1,,18,22,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/ProfileCacheTest.java",,,,3,,39,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/ProfileManagerTest.java",,,,3,,53,23,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/ProfileTest.java",,,,10,,103,22,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/ProfileTrackerTest.java",,,,3,,55,20,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/ProgressNoopOutputStreamTest.java",,,,4,,36,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/ProgressOutputStreamTest.java",,,,4,,65,19,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/TestUtils.java",,,,20,,246,27,
File,"Z:/thaina/Programs/Experiment2/facebook-android-sdk-4.2.0/facebook/junitTests/src/test/java/com/facebook/applinks/AppLinkDataTest.java",,,,8,,130,20,
