Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Class,"""com.graphhopper.routing.util.AvoidEdgesWeighting""",1,1,0,6,10,39,10,2
Public Constructor,"""com.graphhopper.routing.util.AvoidEdgesWeighting.AvoidEdgesWeighting""",,,,,,4,0,
Public Method,"""com.graphhopper.routing.util.AvoidEdgesWeighting.addEdges""",,,,,,7,4,
Public Method,"""com.graphhopper.routing.util.AvoidEdgesWeighting.calcWeight""",,,,,,7,0,
Public Method,"""com.graphhopper.routing.util.AvoidEdgesWeighting.getMinWeight""",,,,,,4,0,
Public Method,"""com.graphhopper.routing.util.AvoidEdgesWeighting.getName""",,,,,,4,0,
Public Method,"""com.graphhopper.routing.util.AvoidEdgesWeighting.setEdgePenaltyFactor""",,,,,,5,0,
File,"""graphhopper-0.7.0/core/src/main/java/com/graphhopper/routing/util/AvoidEdgesWeighting.java""",,,,6,,44,27,
Public Class,"""com.graphhopper.util.Constants""",1,2,0,2,2,76,27,1
Public Static Method,"""com.graphhopper.util.Constants.getMajorVersion""",,,,,,10,0,
Public Static Method,"""com.graphhopper.util.Constants.getVersions""",,,,,,5,0,
File,"""graphhopper-0.7.0/core/src/main/java/com/graphhopper/util/Constants.java""",,,,2,,81,44,
Public Class,"""com.graphhopper.storage.GraphHopperStorageCHTest""",1,34,0,13,75,288,22,3
Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.createQR""",,,,,,9,0,
Protected Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.getGraph""",,,,,,4,0,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.newGHStorage""",,,,,,4,0,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testCannotBeLoadedWithNormalGraphHopperStorageClass""",,,,,,17,1,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testDisconnectEdge""",,,,,,40,4,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testEdgeFilter""",,,,,,25,0,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testGetWeight""",,,,,,28,1,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testGetWeightIfAdvancedEncoder""",,,,,,23,0,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testPrios""",,,,,,12,0,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testQueryGraph""",,,,,,25,2,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testSave_and_Freeze""",,,,,,39,4,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testShortcutCreationAndAccessForManyVehicles""",,,,,,35,6,
Public Method,"""com.graphhopper.storage.GraphHopperStorageCHTest.testSimpleShortcutCreationAndTraversal""",,,,,,12,1,
File,"""graphhopper-0.7.0/core/src/test/java/com/graphhopper/storage/GraphHopperStorageCHTest.java""",,,,13,,302,39,
Public Class,"""com.graphhopper.util.BitUtilLittleTest""",1,1,0,3,12,27,3,2
Method,"""com.graphhopper.util.BitUtilLittleTest.getBitUtil""",,,,,,4,0,
Public Method,"""com.graphhopper.util.BitUtilLittleTest.testFromBitString""",,,,,,9,0,
Public Method,"""com.graphhopper.util.BitUtilLittleTest.testToBitString""",,,,,,8,0,
File,"""graphhopper-0.7.0/core/src/test/java/com/graphhopper/util/BitUtilLittleTest.java""",,,,3,,30,20,
Public Class,"""com.graphhopper.GraphHopperAPITest""",1,10,0,3,3,85,3,1
Public Method,"""com.graphhopper.GraphHopperAPITest.testDisconnected179""",,,,,,25,0,
Public Method,"""com.graphhopper.GraphHopperAPITest.testLoad""",,,,,,30,0,
Public Method,"""com.graphhopper.GraphHopperAPITest.testNoLoad""",,,,,,23,0,
File,"""graphhopper-0.7.0/core/src/test/java/com/graphhopper/GraphHopperAPITest.java""",,,,3,,91,20,
Public Class,"""com.graphhopper.routing.util.EncodingManager""",1,13,0,28,28,307,56,1
Public Constructor,"""com.graphhopper.routing.util.EncodingManager.EncodingManager""",,,,,,4,6,
Public Constructor,"""com.graphhopper.routing.util.EncodingManager.EncodingManager""",,,,,,4,5,
Public Constructor,"""com.graphhopper.routing.util.EncodingManager.EncodingManager""",,,,,,4,0,
Public Constructor,"""com.graphhopper.routing.util.EncodingManager.EncodingManager""",,,,,,12,0,
Public Constructor,"""com.graphhopper.routing.util.EncodingManager.EncodingManager""",,,,,,4,5,
Public Method,"""com.graphhopper.routing.util.EncodingManager.acceptWay""",,,,,,9,3,
Public Method,"""com.graphhopper.routing.util.EncodingManager.applyWayTags""",,,,,,24,4,
Public Static Method,"""com.graphhopper.routing.util.EncodingManager.create""",,,,,,17,5,
Public Method,"""com.graphhopper.routing.util.EncodingManager.equals""",,,,,,14,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.fetchEdgeEncoders""",,,,,,6,3,
Static Method,"""com.graphhopper.routing.util.EncodingManager.fixWayName""",,,,,,6,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.flagsDefault""",,,,,,9,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.getBytesForFlags""",,,,,,4,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.getEncoder""",,,,,,4,0,
Private Method,"""com.graphhopper.routing.util.EncodingManager.getEncoder""",,,,,,11,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.handleNodeTags""",,,,,,9,3,
Public Method,"""com.graphhopper.routing.util.EncodingManager.handleRelationTags""",,,,,,9,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.handleWayTags""",,,,,,9,7,
Public Method,"""com.graphhopper.routing.util.EncodingManager.hashCode""",,,,,,6,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.needsTurnCostsSupport""",,,,,,9,0,
Static Method,"""com.graphhopper.routing.util.EncodingManager.parseEncoderString""",,,,,,33,0,
Private Method,"""com.graphhopper.routing.util.EncodingManager.registerEncoder""",,,,,,32,1,
Public Method,"""com.graphhopper.routing.util.EncodingManager.reverseFlags""",,,,,,9,4,
Public Method,"""com.graphhopper.routing.util.EncodingManager.setEnableInstructions""",,,,,,5,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.setPreferredLanguage""",,,,,,7,0,
Public Method,"""com.graphhopper.routing.util.EncodingManager.supports""",,,,,,4,3,
Public Method,"""com.graphhopper.routing.util.EncodingManager.toDetailsString""",,,,,,15,0,
