Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""infinispan-5.2.13/core/src/main/java/org/infinispan/interceptors/locking/NonTransactionalLockingInterceptor.java""",,,,11,,135,31,
Public Class,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor""",1,23,0,11,47,119,9,4
Private Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.assertNonTransactional""",,,,,,6,1,
Protected Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.getLog""",,,,,,3,0,
Private Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.lockKey""",,,,,,5,0,
Private Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.shouldLock""",,,,,,9,0,
Public Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.visitClearCommand""",,,,,,14,0,
Public Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.visitEvictCommand""",,,,,,4,1,
Public Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.visitGetKeyValueCommand""",,,,,,8,1,
Public Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.visitPutKeyValueCommand""",,,,,,14,0,
Public Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.visitPutMapCommand""",,,,,,19,0,
Public Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.visitRemoveCommand""",,,,,,13,0,
Public Method,"""org.infinispan.interceptors.locking.NonTransactionalLockingInterceptor.visitReplaceCommand""",,,,,,14,0,
File,"""infinispan-5.2.13/core/src/test/java/org/infinispan/config/StringPropertyReplacementTest.java""",,,,3,,29,30,
Public Class,"""org.infinispan.config.StringPropertyReplacementTest""",1,7,0,3,41,21,8,4
Protected Method,"""org.infinispan.config.StringPropertyReplacementTest.createCacheManager""",,,,,,7,0,
Public Method,"""org.infinispan.config.StringPropertyReplacementTest.testDefaultCache""",,,,,,6,0,
Public Method,"""org.infinispan.config.StringPropertyReplacementTest.testGlobalConfig""",,,,,,6,1,
File,"""infinispan-5.2.13/cachestore/jdbc/src/main/java/org/infinispan/loaders/jdbc/stringbased/JdbcStringBasedCacheStore.java""",,,,29,,326,65,
Package,"""org.infinispan.loaders.jdbc.stringbased""",,,,90,,977,435,
Public Class,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore""",1,25,0,23,71,297,43,4
Protected Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.clearLockSafe""",,,,,,3,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.doConnectionFactoryInitialization""",,,,,,6,6,
Private Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.enforceTwoWayMapper""",,,,,,6,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.fromStreamLockSafe""",,,,,,3,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.getConfigurationClass""",,,,,,3,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.getConnectionFactory""",,,,,,3,0,
Protected Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.getLockFromKey""",,,,,,6,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.getTableManipulation""",,,,,,3,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.init""",,,,,,5,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.isDistributed""",,,,,,3,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.isUsingPreload""",,,,,,4,0,
Protected Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.loadAllKeysLockSafe""",,,,,,3,0,
Protected Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.loadAllLockSafe""",,,,,,3,0,
Protected Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.loadLockSafe""",,,,,,3,0,
Protected Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.loadLockSafe""",,,,,,10,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.purgeInternal""",,,,,,20,0,
Private Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.readStoredEntry""",,,,,,28,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.removeLockSafe""",,,,,,20,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.start""",,,,,,67,1,
Class,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.start.(Anon_1)""",2,11,0,6,6,44,1,1
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.start.(Anon_1).fromStreamProcess""",,,,,,12,0,
Protected Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.start.(Anon_1).getLoadAllKeysSql""",,,,,,3,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.start.(Anon_1).loadAllKeysProcess""",,,,,,7,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.start.(Anon_1).loadAllProcess""",,,,,,7,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.start.(Anon_1).loadAllProcess""",,,,,,3,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.start.(Anon_1).toStreamProcess""",,,,,,5,1,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.stop""",,,,,,23,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.storeLockSafe""",,,,,,44,0,
Public Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.supportsKey""",,,,,,3,0,
Protected Method,"""org.infinispan.loaders.jdbc.stringbased.JdbcStringBasedCacheStore.toStreamLockSafe""",,,,,,3,0,
File,"""infinispan-5.2.13/core/src/main/java/org/infinispan/io/GridInputStream.java""",,,,14,,109,28,
Public Class,"""org.infinispan.io.GridInputStream""",1,3,0,14,14,105,6,2
Constructor,"""org.infinispan.io.GridInputStream.GridInputStream""",,,,,,3,0,
Public Method,"""org.infinispan.io.GridInputStream.available""",,,,,,4,0,
Private Method,"""org.infinispan.io.GridInputStream.checkClosed""",,,,,,5,0,
Public Method,"""org.infinispan.io.GridInputStream.close""",,,,,,5,0,
Private Method,"""org.infinispan.io.GridInputStream.fetchNextChunk""",,,,,,4,0,
Private Method,"""org.infinispan.io.GridInputStream.getBytesRemainingInChunk""",,,,,,3,0,
Private Method,"""org.infinispan.io.GridInputStream.getChunkNumber""",,,,,,3,0,
Private Method,"""org.infinispan.io.GridInputStream.getChunkSize""",,,,,,3,0,
Private Method,"""org.infinispan.io.GridInputStream.isLastChunk""",,,,,,3,0,
Public Method,"""org.infinispan.io.GridInputStream.read""",,,,,,16,0,
Public Method,"""org.infinispan.io.GridInputStream.read""",,,,,,3,0,
Public Method,"""org.infinispan.io.GridInputStream.read""",,,,,,13,0,
Private Method,"""org.infinispan.io.GridInputStream.readFromChunk""",,,,,,18,0,
Public Method,"""org.infinispan.io.GridInputStream.skip""",,,,,,8,1,
File,"""infinispan-5.2.13/core/src/test/java/org/infinispan/loaders/file/ClusterFileCacheStoreFunctionalTest.java""",,,,4,,64,31,
Public Class,"""org.infinispan.loaders.file.ClusterFileCacheStoreFunctionalTest""",1,13,0,4,101,46,9,4
Protected Method,"""org.infinispan.loaders.file.ClusterFileCacheStoreFunctionalTest.clearTempDir""",,,,,,4,0,
Protected Method,"""org.infinispan.loaders.file.ClusterFileCacheStoreFunctionalTest.createCacheManagers""",,,,,,17,0,
Protected Method,"""org.infinispan.loaders.file.ClusterFileCacheStoreFunctionalTest.createCacheStoreConfig""",,,,,,6,1,
Public Method,"""org.infinispan.loaders.file.ClusterFileCacheStoreFunctionalTest.testRestoreTransactionalAtomicMap""",,,,,,13,2,
File,"""infinispan-5.2.13/query/src/test/java/org/infinispan/query/searchmanager/TimeoutTest.java""",,,,5,,63,3,
Public Class,"""org.infinispan.query.searchmanager.TimeoutTest""",1,10,0,2,40,47,3,4
Public Class,"""org.infinispan.query.searchmanager.TimeoutTest.Foo""",1,0,0,2,2,10,0,1
Public Constructor,"""org.infinispan.query.searchmanager.TimeoutTest.Foo.Foo""",,,,,,3,0,
Public Method,"""org.infinispan.query.searchmanager.TimeoutTest.Foo.getBar""",,,,,,3,0,
Public Static Class,"""org.infinispan.query.searchmanager.TimeoutTest.MyTimeoutException""",1,0,0,0,0,2,0,2
Private Static Class,"""org.infinispan.query.searchmanager.TimeoutTest.MyTimeoutExceptionFactory""",2,1,0,1,1,6,0,1
Public Method,"""org.infinispan.query.searchmanager.TimeoutTest.MyTimeoutExceptionFactory.createTimeoutException""",,,,,,3,0,
Protected Method,"""org.infinispan.query.searchmanager.TimeoutTest.createCacheManager""",,,,,,10,0,
Public Method,"""org.infinispan.query.searchmanager.TimeoutTest.timeoutExceptionIsThrownAndIsProducedByMyFactory""",,,,,,14,0,
File,"""infinispan-5.2.13/query/src/test/java/org/infinispan/query/dynamicexample/DynamicPropertiesEntity.java""",,,,2,,21,21,
Package,"""org.infinispan.query.dynamicexample""",,,,5,,110,66,
Public Class,"""org.infinispan.query.dynamicexample.DynamicPropertiesEntity""",1,1,0,2,2,12,3,1
Public Method,"""org.infinispan.query.dynamicexample.DynamicPropertiesEntity.getProperties""",,,,,,3,0,
Public Method,"""org.infinispan.query.dynamicexample.DynamicPropertiesEntity.set""",,,,,,4,0,
File,"""infinispan-5.2.13/core/src/main/java/org/infinispan/interceptors/xsite/NonTransactionalBackupInterceptor.java""",,,,6,,40,24,
Public Class,"""org.infinispan.interceptors.xsite.NonTransactionalBackupInterceptor""",1,11,0,6,41,30,6,4
Private Method,"""org.infinispan.interceptors.xsite.NonTransactionalBackupInterceptor.handleWrite""",,,,,,8,0,
Public Method,"""org.infinispan.interceptors.xsite.NonTransactionalBackupInterceptor.visitClearCommand""",,,,,,3,0,
Public Method,"""org.infinispan.interceptors.xsite.NonTransactionalBackupInterceptor.visitPutKeyValueCommand""",,,,,,3,0,
Public Method,"""org.infinispan.interceptors.xsite.NonTransactionalBackupInterceptor.visitPutMapCommand""",,,,,,3,0,
Public Method,"""org.infinispan.interceptors.xsite.NonTransactionalBackupInterceptor.visitRemoveCommand""",,,,,,3,0,
Public Method,"""org.infinispan.interceptors.xsite.NonTransactionalBackupInterceptor.visitReplaceCommand""",,,,,,3,0,
File,"""infinispan-5.2.13/core/src/main/java/org/infinispan/loaders/CacheLoader.java""",,,,9,,16,83,
Public Interface,"""org.infinispan.loaders.CacheLoader""",0,5,6,9,9,11,55,0
Abstract Method,"""org.infinispan.loaders.CacheLoader.containsKey""",,,,,,1,5,
Abstract Method,"""org.infinispan.loaders.CacheLoader.getConfigurationClass""",,,,,,1,13,
Abstract Method,"""org.infinispan.loaders.CacheLoader.init""",,,,,,1,9,
Abstract Method,"""org.infinispan.loaders.CacheLoader.load""",,,,,,1,8,
Abstract Method,"""org.infinispan.loaders.CacheLoader.load""",,,,,,1,7,
Abstract Method,"""org.infinispan.loaders.CacheLoader.loadAll""",,,,,,1,6,
Abstract Method,"""org.infinispan.loaders.CacheLoader.loadAllKeys""",,,,,,1,7,
Public Abstract Method,"""org.infinispan.loaders.CacheLoader.start""",,,,,,1,0,
Public Abstract Method,"""org.infinispan.loaders.CacheLoader.stop""",,,,,,1,0,
File,"""infinispan-5.2.13/core/src/main/java/org/infinispan/transaction/xa/recovery/RecoveryManagerImpl.java""",,,,20,,287,48,
Public Class,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl""",2,32,0,20,20,255,26,1
Public Constructor,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.RecoveryManagerImpl""",,,,,,4,0,
Private Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.completeTransaction""",,,,,,21,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.forceTransactionCompletion""",,,,,,19,1,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.forceTransactionCompletionFromCluster""",,,,,,9,0,
Private Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.getAllPreparedTxFromCluster""",,,,,,6,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.getInDoubtTransactionInfo""",,,,,,19,1,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.getInDoubtTransactionInfoFromCluster""",,,,,,39,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.getInDoubtTransactions""",,,,,,10,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.getInDoubtTransactionsMap""",,,,,,3,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.getPreparedTransaction""",,,,,,3,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.getPreparedTransactionsFromCluster""",,,,,,26,8,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.init""",,,,,,8,0,
Private Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.isSuccessful""",,,,,,3,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.isTransactionPrepared""",,,,,,9,1,
Private Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.notOnlyMeInTheCluster""",,,,,,3,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.registerInDoubtTransaction""",,,,,,8,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.removeRecoveryInformation""",,,,,,8,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.removeRecoveryInformation""",,,,,,18,0,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.removeRecoveryInformationFromCluster""",,,,,,8,1,
Public Method,"""org.infinispan.transaction.xa.recovery.RecoveryManagerImpl.removeRecoveryInformationFromCluster""",,,,,,7,0,
File,"""infinispan-5.2.13/cachestore/remote/src/main/java/org/infinispan/loaders/remote/RemoteCacheStore.java""",,,,19,,175,41,
Package,"""org.infinispan.loaders.remote""",,,,70,,722,237,
