Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Enum Type,"""com.datastax.driver.core.ProtocolVersion""",1,3,0,9,9,43,14,1
Private Constructor,"""com.datastax.driver.core.ProtocolVersion.ProtocolVersion""",,,,,,4,0,
Public Static Method,"""com.datastax.driver.core.ProtocolVersion.fromInt""",,,,,,6,8,
Method,"""com.datastax.driver.core.ProtocolVersion.isSupportedBy""",,,,,,4,0,
Private Method,"""com.datastax.driver.core.ProtocolVersion.isSupportedBy""",,,,,,3,0,
Method,"""com.datastax.driver.core.ProtocolVersion.minCassandraVersion""",,,,,,3,0,
Method,"""com.datastax.driver.core.ProtocolVersion.toInt""",,,,,,3,0,
Method,"""com.datastax.driver.core.ProtocolVersion.unsupported""",,,,,,3,0,
Public Method,"""com.datastax.driver.core.ProtocolVersion.valueOf""",,,,,,0,0,
Public Method,"""com.datastax.driver.core.ProtocolVersion.values""",,,,,,0,0,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/ProtocolVersion.java""",,,,9,,48,29,
Public Interface,"""com.datastax.driver.core.policies.RetryPolicy""",0,4,10,3,3,38,96,0
Public Static Class,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision""",1,2,0,7,7,33,44,1
Private Constructor,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.RetryDecision""",,,,,,4,0,
Public Enum Type,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.Type""",1,0,0,2,2,1,3,1
Public Method,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.Type.valueOf""",,,,,,0,0,
Public Method,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.Type.values""",,,,,,0,0,
Public Method,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.getRetryConsistencyLevel""",,,,,,3,6,
Public Method,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.getType""",,,,,,3,5,
Public Static Method,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.ignore""",,,,,,3,5,
Public Static Method,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.rethrow""",,,,,,3,5,
Public Static Method,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.retry""",,,,,,3,6,
Public Method,"""com.datastax.driver.core.policies.RetryPolicy.RetryDecision.toString""",,,,,,8,0,
Public Abstract Method,"""com.datastax.driver.core.policies.RetryPolicy.onReadTimeout""",,,,,,1,21,
Public Abstract Method,"""com.datastax.driver.core.policies.RetryPolicy.onUnavailable""",,,,,,1,16,
Public Abstract Method,"""com.datastax.driver.core.policies.RetryPolicy.onWriteTimeout""",,,,,,1,15,
File,"""java-driver-2.1.6/driver-core/src/main/java/com/datastax/driver/core/policies/RetryPolicy.java""",,,,12,,42,118,
Public Class,"""com.datastax.driver.core.TokenRangeAssert""",1,4,0,10,10,64,0,2
Protected Constructor,"""com.datastax.driver.core.TokenRangeAssert.TokenRangeAssert""",,,,,,3,0,
Public Method,"""com.datastax.driver.core.TokenRangeAssert.doesNotIntersect""",,,,,,11,0,
Public Method,"""com.datastax.driver.core.TokenRangeAssert.endsWith""",,,,,,4,0,
Public Method,"""com.datastax.driver.core.TokenRangeAssert.intersects""",,,,,,9,0,
