Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Package,"$",,,,0,,3,0,
Package,"$package",,,,7,,74,47,
Public Class,"$package.Main",1,2,0,2,2,14,19,1
Public Static Method,"$package.Main.main",,,,,,7,5,
Public Static Method,"$package.Main.startServer",,,,,,4,8,
Public Class,"$package.MyResource",1,0,0,1,1,7,9,1
Public Class,"$package.MyResource",1,0,0,1,1,7,9,1
Public Method,"$package.MyResource.getIt",,,,,,3,6,
Public Method,"$package.MyResource.getIt",,,,,,3,6,
Public Class,"$package.MyResourceTest",1,1,0,3,3,19,10,1
Public Method,"$package.MyResourceTest.setUp",,,,,,5,7,
Public Method,"$package.MyResourceTest.tearDown",,,,,,3,0,
Public Method,"$package.MyResourceTest.testGetIt",,,,,,4,3,
Package,"(Unnamed_Package)",,,,6,,54,95,
Public Class,"Servlet3WebappITCase",1,4,0,4,46,22,7,2
Protected Method,"Servlet3WebappITCase.configure",,,,,,4,1,
Protected Method,"Servlet3WebappITCase.getBaseUri",,,,,,3,0,
Protected Method,"Servlet3WebappITCase.getTestContainerFactory",,,,,,3,0,
Public Method,"Servlet3WebappITCase.testClientStringResponse",,,,,,6,0,
Public Class,"SparklinesTest",1,3,0,2,44,14,10,2
Protected Method,"SparklinesTest.configure",,,,,,4,0,
Public Method,"SparklinesTest.testSparklinesResource",,,,,,5,3,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/archetypes/jersey-heroku-webapp/src/main/resources/archetype-resources/src/main/java/MyResource.java",,,,0,,1,0,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/archetypes/jersey-heroku-webapp/src/main/resources/archetype-resources/src/main/java/heroku/Main.java",,,,0,,1,0,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/archetypes/jersey-heroku-webapp/src/main/resources/archetype-resources/src/test/java/MyResourceTest.java",,,,0,,1,0,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/archetypes/jersey-quickstart-grizzly2/src/main/resources/archetype-resources/src/main/java/Main.java",,,,2,,20,19,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/archetypes/jersey-quickstart-grizzly2/src/main/resources/archetype-resources/src/main/java/MyResource.java",,,,1,,13,9,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/archetypes/jersey-quickstart-grizzly2/src/main/resources/archetype-resources/src/test/java/MyResourceTest.java",,,,3,,28,10,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/archetypes/jersey-quickstart-webapp/src/main/resources/archetype-resources/src/main/java/MyResource.java",,,,1,,13,9,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/CompletableFuture.java",,,,132,,2224,982,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/CompletionException.java",,,,4,,14,41,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/ConcurrentHashMapV8.java",,,,308,,4242,1836,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/CountedCompleter.java",,,,25,,158,563,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/DoubleAdder.java",,,,13,,90,94,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/DoubleMaxUpdater.java",,,,13,,90,89,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/ForkJoinPool.java",,,,102,,1704,1613,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/ForkJoinTask.java",,,,81,,723,765,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/ForkJoinWorkerThread.java",,,,6,,38,78,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/LongAdder.java",,,,15,,87,96,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/LongAdderTable.java",,,,16,,61,106,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/LongMaxUpdater.java",,,,13,,85,84,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/RecursiveAction.java",,,,4,,11,146,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/RecursiveTask.java",,,,4,,16,45,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/StampedLock.java",,,,53,,808,575,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/Striped64.java",,,,10,,171,157,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/ThreadLocalRandom.java",,,,10,,67,112,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/extra/AtomicDouble.java",,,,19,,114,140,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/extra/AtomicDoubleArray.java",,,,20,,152,144,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/extra/ReadMostlyVector.java",,,,129,,1346,146,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/bundles/repackaged/jersey-jsr166e/src/main/java/jersey/repackaged/jsr166e/extra/SequenceLock.java",,,,35,,158,437,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/main/java/org/glassfish/jersey/apache/connector/ApacheClientProperties.java",,,,2,,19,142,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/main/java/org/glassfish/jersey/apache/connector/ApacheConnector.java",,,,29,,474,115,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/main/java/org/glassfish/jersey/apache/connector/ApacheConnectorProvider.java",,,,4,,38,124,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/main/java/org/glassfish/jersey/apache/connector/package-info.java",,,,0,,1,43,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/AsyncTest.java",,,,14,,152,86,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/AuthTest.java",,,,20,,263,43,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/CookieTest.java",,,,5,,76,43,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/CustomLoggingFilter.java",,,,4,,40,44,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/FollowRedirectsTest.java",,,,7,,70,46,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/GZIPContentEncodingTest.java",,,,4,,58,43,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/HelloWorldTest.java",,,,67,,473,69,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/HttpHeadersTest.java",,,,8,,94,43,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/HttpMethodTest.java",,,,29,,227,43,
File,"Z:/thaina/ProgramVersions/jersey-2.19-rc/connectors/apache-connector/src/test/java/org/glassfish/jersey/apache/connector/HttpMethodWithClientFilterTest.java",,,,1,,14,43,
