Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""jOOQ-3.6.2/jOOQ-examples/jOOQ-codegen-gradle/src/test/java/org/jooq/example/gradle/Tests.java""",,,,1,,21,45,
Package,"""org.jooq.example.gradle""",,,,1,,21,45,
Public Class,"""org.jooq.example.gradle.Tests""",1,2,0,1,1,15,45,1
Public Method,"""org.jooq.example.gradle.Tests.testInformationSchema""",,,,,,12,0,
File,"""jOOQ-3.6.2/jOOQ/src/main/java/org/jooq/Name.java""",,,,4,,16,83,
Public Interface,"""org.jooq.Name""",1,7,1,4,7,9,29,3
Abstract Method,"""org.jooq.Name.as""",,,,,,1,11,
Abstract Generic Method,"""org.jooq.Name.as""",,,,,,1,7,
TypeVariable,"""org.jooq.Name.as.R""",2,0,0,0,0,0,0,1
Abstract Method,"""org.jooq.Name.fields""",,,,,,1,8,
Abstract Method,"""org.jooq.Name.getName""",,,,,,1,3,
File,"""jOOQ-3.6.2/jOOQ/src/main/java/org/jooq/impl/CreateViewImpl.java""",,,,4,,66,54,
Generic Class,"""org.jooq.impl.CreateViewImpl""",3,11,0,4,44,50,54,3
Constructor,"""org.jooq.impl.CreateViewImpl.CreateViewImpl""",,,,,,5,0,
TypeVariable,"""org.jooq.impl.CreateViewImpl.R""",2,0,0,0,0,0,0,1
Public Method,"""org.jooq.impl.CreateViewImpl.accept""",,,,,,26,1,
Public Method,"""org.jooq.impl.CreateViewImpl.as""",,,,,,4,0,
Public Method,"""org.jooq.impl.CreateViewImpl.clauses""",,,,,,3,0,
File,"""jOOQ-3.6.2/jOOQ/src/main/java/org/jooq/Row18.java""",,,,130,,266,927,
Public Generic Interface,"""org.jooq.Row18""",1,10,1,130,155,252,871,4
TypeVariable,"""org.jooq.Row18.T1""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T10""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T11""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T12""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T13""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T14""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T15""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T16""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T17""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T18""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T2""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T3""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T4""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T5""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T6""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T7""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T8""",1,0,0,0,0,0,0,1
TypeVariable,"""org.jooq.Row18.T9""",1,0,0,0,0,0,0,1
Abstract Method,"""org.jooq.Row18.between""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.between""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.between""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.between""",,,,,,1,5,
Abstract Method,"""org.jooq.Row18.between""",,,,,,2,11,
Abstract Method,"""org.jooq.Row18.between""",,,,,,2,7,
Abstract Method,"""org.jooq.Row18.betweenSymmetric""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.betweenSymmetric""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.betweenSymmetric""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.betweenSymmetric""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.betweenSymmetric""",,,,,,2,11,
Abstract Method,"""org.jooq.Row18.betweenSymmetric""",,,,,,2,8,
Abstract Method,"""org.jooq.Row18.compare""",,,,,,1,14,
Abstract Method,"""org.jooq.Row18.compare""",,,,,,1,14,
Abstract Method,"""org.jooq.Row18.compare""",,,,,,1,14,
Abstract Method,"""org.jooq.Row18.compare""",,,,,,1,14,
Abstract Method,"""org.jooq.Row18.compare""",,,,,,1,14,
Abstract Method,"""org.jooq.Row18.compare""",,,,,,1,14,
Abstract Method,"""org.jooq.Row18.eq""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.eq""",,,,,,1,5,
Abstract Method,"""org.jooq.Row18.eq""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.eq""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.eq""",,,,,,1,5,
Abstract Method,"""org.jooq.Row18.eq""",,,,,,1,10,
Abstract Method,"""org.jooq.Row18.equal""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.equal""",,,,,,1,6,
Abstract Method,"""org.jooq.Row18.equal""",,,,,,1,9,
Abstract Method,"""org.jooq.Row18.equal""",,,,,,1,5,
Abstract Method,"""org.jooq.Row18.equal""",,,,,,1,5,
Abstract Method,"""org.jooq.Row18.equal""",,,,,,1,10,
Abstract Method,"""org.jooq.Row18.field1""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field10""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field11""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field12""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field13""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field14""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field15""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field16""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field17""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field18""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field2""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field3""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field4""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field5""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field6""",,,,,,1,3,
Abstract Method,"""org.jooq.Row18.field7""",,,,,,1,3,
