Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""languagetool-3.3/languagetool-wikipedia/src/main/java/org/languagetool/dev/index/PatternRuleNotFoundException.java""",,,,1,,9,18,
Public Class,"""org.languagetool.dev.index.PatternRuleNotFoundException""",1,1,0,1,1,6,0,2
Public Constructor,"""org.languagetool.dev.index.PatternRuleNotFoundException.PatternRuleNotFoundException""",,,,,,3,0,
File,"""languagetool-3.3/languagetool-core/src/main/java/org/languagetool/rules/UppercaseSentenceStartRule.java""",,,,8,,121,32,
Public Class,"""org.languagetool.rules.UppercaseSentenceStartRule""",1,9,0,8,35,110,14,2
Public Constructor,"""org.languagetool.rules.UppercaseSentenceStartRule.UppercaseSentenceStartRule""",,,,,,9,1,
Public Constructor,"""org.languagetool.rules.UppercaseSentenceStartRule.UppercaseSentenceStartRule""",,,,,,3,3,
Private Method,"""org.languagetool.rules.UppercaseSentenceStartRule.dutchSpecialCase""",,,,,,11,0,
Public Method,"""org.languagetool.rules.UppercaseSentenceStartRule.getDescription""",,,,,,3,0,
Public Method,"""org.languagetool.rules.UppercaseSentenceStartRule.getId""",,,,,,3,0,
Protected Method,"""org.languagetool.rules.UppercaseSentenceStartRule.isUrl""",,,,,,3,0,
Public Method,"""org.languagetool.rules.UppercaseSentenceStartRule.match""",,,,,,59,4,
Public Method,"""org.languagetool.rules.UppercaseSentenceStartRule.reset""",,,,,,3,0,
File,"""languagetool-3.3/languagetool-core/src/main/java/org/languagetool/markup/TextPart.java""",,,,6,,21,23,
Class,"""org.languagetool.markup.TextPart""",1,1,0,4,4,19,5,1
Constructor,"""org.languagetool.markup.TextPart.TextPart""",,,,,,4,0,
Enum Type,"""org.languagetool.markup.TextPart.Type""",1,0,0,2,2,1,0,2
Public Method,"""org.languagetool.markup.TextPart.Type.valueOf""",,,,,,0,0,
Public Method,"""org.languagetool.markup.TextPart.Type.values""",,,,,,0,0,
Method,"""org.languagetool.markup.TextPart.getPart""",,,,,,3,0,
Method,"""org.languagetool.markup.TextPart.getType""",,,,,,3,0,
Public Method,"""org.languagetool.markup.TextPart.toString""",,,,,,3,0,
File,"""languagetool-3.3/languagetool-wikipedia/src/main/java/org/languagetool/dev/wikipedia/atom/MatchDatabase.java""",,,,12,,184,37,
Class,"""org.languagetool.dev.wikipedia.atom.MatchDatabase""",1,7,0,12,12,173,19,1
Constructor,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.MatchDatabase""",,,,,,7,0,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.add""",,,,,,33,2,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.createTables""",,,,,,31,3,
Private Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.dropTable""",,,,,,7,0,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.dropTables""",,,,,,5,3,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.getCheckDates""",,,,,,12,0,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.getLatestDate""",,,,,,15,3,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.list""",,,,,,22,0,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.markedFixed""",,,,,,14,4,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.updateRuleMatchCheckDate""",,,,,,3,0,
Private Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.updateRuleMatchDate""",,,,,,18,0,
Method,"""org.languagetool.dev.wikipedia.atom.MatchDatabase.updateRuleMatchPingDate""",,,,,,3,0,
File,"""languagetool-3.3/languagetool-language-modules/ja/src/main/java/org/languagetool/tagging/ja/JapaneseTagger.java""",,,,4,,35,18,
Package,"""org.languagetool.tagging.ja""",,,,6,,57,36,
Public Class,"""org.languagetool.tagging.ja.JapaneseTagger""",2,2,0,4,4,28,0,1
Private Method,"""org.languagetool.tagging.ja.JapaneseTagger.asAnalyzedToken""",,,,,,7,0,
