Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Interface,"""com.example.mortar.screen.HandlesBack""",0,0,1,1,1,2,4,0
Abstract Method,"""com.example.mortar.screen.HandlesBack.onBackPressed""",,,,,,1,4,
File,"""mortar-0.18/mortar-sample/src/main/java/com/example/mortar/screen/HandlesBack.java""",,,,1,,4,29,
Public Class,"""com.example.mortar.view.ConfirmerPopup""",2,2,0,5,5,44,0,1
Public Constructor,"""com.example.mortar.view.ConfirmerPopup.ConfirmerPopup""",,,,,,3,0,
Public Method,"""com.example.mortar.view.ConfirmerPopup.dismiss""",,,,,,4,0,
Public Method,"""com.example.mortar.view.ConfirmerPopup.getContext""",,,,,,3,0,
Public Method,"""com.example.mortar.view.ConfirmerPopup.isShowing""",,,,,,3,0,
Public Method,"""com.example.mortar.view.ConfirmerPopup.show""",,,,,,26,0,
Class,"""com.example.mortar.view.ConfirmerPopup.show.(Anon_1)""",2,2,0,1,1,5,0,1
Public Method,"""com.example.mortar.view.ConfirmerPopup.show.(Anon_1).onClick""",,,,,,4,0,
Class,"""com.example.mortar.view.ConfirmerPopup.show.(Anon_2)""",2,2,0,1,1,5,0,1
Public Method,"""com.example.mortar.view.ConfirmerPopup.show.(Anon_2).onClick""",,,,,,4,0,
Class,"""com.example.mortar.view.ConfirmerPopup.show.(Anon_3)""",2,2,0,1,1,5,0,1
Public Method,"""com.example.mortar.view.ConfirmerPopup.show.(Anon_3).onCancel""",,,,,,4,0,
File,"""mortar-0.18/mortar-sample/src/main/java/com/example/mortar/view/ConfirmerPopup.java""",,,,8,,50,15,
Public Class,"""com.example.mortar.screen.FramePathContainerView""",3,2,1,8,8,36,6,2
Protected Constructor,"""com.example.mortar.screen.FramePathContainerView.FramePathContainerView""",,,,,,4,4,
Public Constructor,"""com.example.mortar.screen.FramePathContainerView.FramePathContainerView""",,,,,,3,0,
Public Method,"""com.example.mortar.screen.FramePathContainerView.dispatch""",,,,,,9,0,
Class,"""com.example.mortar.screen.FramePathContainerView.dispatch.(Anon_1)""",2,1,0,1,1,5,0,1
Public Method,"""com.example.mortar.screen.FramePathContainerView.dispatch.(Anon_1).onTraversalCompleted""",,,,,,4,0,
Public Method,"""com.example.mortar.screen.FramePathContainerView.dispatchTouchEvent""",,,,,,3,0,
Public Method,"""com.example.mortar.screen.FramePathContainerView.getContainerView""",,,,,,3,0,
Public Method,"""com.example.mortar.screen.FramePathContainerView.getCurrentChild""",,,,,,3,0,
Public Method,"""com.example.mortar.screen.FramePathContainerView.onBackPressed""",,,,,,3,0,
Protected Method,"""com.example.mortar.screen.FramePathContainerView.onFinishInflate""",,,,,,3,0,
File,"""mortar-0.18/mortar-sample/src/main/java/com/example/mortar/screen/FramePathContainerView.java""",,,,9,,48,21,
File,"""mortar-0.18/mortar/src/test/java/mortar/PopupPresenterTest.java""",,,,20,,166,17,
Public Class,"""mortar.PopupPresenterTest""",1,7,0,16,16,139,1,1
Static Class,"""mortar.PopupPresenterTest.TestPopupPresenter""",1,0,0,3,25,11,0,3
Constructor,"""mortar.PopupPresenterTest.TestPopupPresenter.TestPopupPresenter""",,,,,,2,0,
Constructor,"""mortar.PopupPresenterTest.TestPopupPresenter.TestPopupPresenter""",,,,,,3,0,
Protected Method,"""mortar.PopupPresenterTest.TestPopupPresenter.onPopupResult""",,,,,,3,0,
Public Method,"""mortar.PopupPresenterTest.customStateKeyAvoidsStateMixing""",,,,,,24,0,
Public Method,"""mortar.PopupPresenterTest.destroyDismissesWithoutFlourish""",,,,,,6,0,
Public Method,"""mortar.PopupPresenterTest.dismissAfterShowDismissesView""",,,,,,7,0,
Public Method,"""mortar.PopupPresenterTest.dismissClearsInfo""",,,,,,5,0,
Public Method,"""mortar.PopupPresenterTest.dismissWithViewNotShowingDoesNotDismissView""",,,,,,7,0,
Public Method,"""mortar.PopupPresenterTest.dismissWithoutShowDoesNotDismissView""",,,,,,5,0,
