Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""netty-3.10.3/src/main/java/org/jboss/netty/channel/DefaultChannelPipeline.java""",,,,60,,662,28,
Public Class,"""org.jboss.netty.channel.DefaultChannelPipeline""",2,17,1,45,45,652,13,1
Private Class,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext""",2,8,0,11,11,73,0,1
Constructor,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.DefaultChannelHandlerContext""",,,,,,22,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.canHandleDownstream""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.canHandleUpstream""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.getAttachment""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.getChannel""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.getHandler""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.getName""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.getPipeline""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.sendDownstream""",,,,,,12,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.sendUpstream""",,,,,,6,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DefaultChannelHandlerContext.setAttachment""",,,,,,3,0,
Private Static Class,"""org.jboss.netty.channel.DefaultChannelPipeline.DiscardingChannelSink""",2,7,0,4,4,19,0,1
Constructor,"""org.jboss.netty.channel.DefaultChannelPipeline.DiscardingChannelSink.DiscardingChannelSink""",,,,,,2,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DiscardingChannelSink.eventSunk""",,,,,,5,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DiscardingChannelSink.exceptionCaught""",,,,,,4,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.DiscardingChannelSink.execute""",,,,,,6,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.addAfter""",,,,,,14,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.addBefore""",,,,,,14,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.addFirst""",,,,,,14,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.addLast""",,,,,,14,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.attach""",,,,,,13,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.callAfterAdd""",,,,,,29,0,
Private Static Method,"""org.jboss.netty.channel.DefaultChannelPipeline.callAfterRemove""",,,,,,14,0,
Private Static Method,"""org.jboss.netty.channel.DefaultChannelPipeline.callBeforeAdd""",,,,,,14,0,
Private Static Method,"""org.jboss.netty.channel.DefaultChannelPipeline.callBeforeRemove""",,,,,,14,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.checkDuplicateName""",,,,,,5,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.execute""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.get""",,,,,,8,0,
Public Generic Method,"""org.jboss.netty.channel.DefaultChannelPipeline.get""",,,,,,10,0,
TypeVariable,"""org.jboss.netty.channel.DefaultChannelPipeline.get.T""",2,0,0,0,0,0,0,1
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getActualDownstreamContext""",,,,,,13,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getActualUpstreamContext""",,,,,,13,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getChannel""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getContext""",,,,,,6,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getContext""",,,,,,19,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getContext""",,,,,,20,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getContextOrDie""",,,,,,8,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getContextOrDie""",,,,,,8,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getContextOrDie""",,,,,,8,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getFirst""",,,,,,7,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getLast""",,,,,,7,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getNames""",,,,,,15,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.getSink""",,,,,,7,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.init""",,,,,,8,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.isAttached""",,,,,,3,0,
Protected Method,"""org.jboss.netty.channel.DefaultChannelPipeline.notifyHandlerException""",,,,,,23,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.remove""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.remove""",,,,,,3,0,
Public Generic Method,"""org.jboss.netty.channel.DefaultChannelPipeline.remove""",,,,,,3,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.remove""",,,,,,21,0,
TypeVariable,"""org.jboss.netty.channel.DefaultChannelPipeline.remove.T""",2,0,0,0,0,0,0,1
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.removeFirst""",,,,,,20,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.removeLast""",,,,,,20,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.replace""",,,,,,3,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.replace""",,,,,,3,0,
Public Generic Method,"""org.jboss.netty.channel.DefaultChannelPipeline.replace""",,,,,,4,0,
Private Method,"""org.jboss.netty.channel.DefaultChannelPipeline.replace""",,,,,,54,0,
TypeVariable,"""org.jboss.netty.channel.DefaultChannelPipeline.replace.T""",2,0,0,0,0,0,0,1
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.sendDownstream""",,,,,,13,0,
Method,"""org.jboss.netty.channel.DefaultChannelPipeline.sendDownstream""",,,,,,11,5,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.sendUpstream""",,,,,,11,0,
Method,"""org.jboss.netty.channel.DefaultChannelPipeline.sendUpstream""",,,,,,7,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.toMap""",,,,,,15,0,
Public Method,"""org.jboss.netty.channel.DefaultChannelPipeline.toString""",,,,,,22,3,
File,"""netty-3.10.3/src/main/java/org/jboss/netty/handler/codec/serialization/ReferenceMap.java""",,,,15,,56,15,
Abstract Generic Class,"""org.jboss.netty.handler.codec.serialization.ReferenceMap""",2,0,2,15,15,51,0,1
TypeVariable,"""org.jboss.netty.handler.codec.serialization.ReferenceMap.K""",1,0,0,0,0,0,0,1
Protected Constructor,"""org.jboss.netty.handler.codec.serialization.ReferenceMap.ReferenceMap""",,,,,,3,0,
TypeVariable,"""org.jboss.netty.handler.codec.serialization.ReferenceMap.V""",1,0,0,0,0,0,0,1
Public Method,"""org.jboss.netty.handler.codec.serialization.ReferenceMap.clear""",,,,,,3,0,
Public Method,"""org.jboss.netty.handler.codec.serialization.ReferenceMap.containsKey""",,,,,,3,0,
Public Method,"""org.jboss.netty.handler.codec.serialization.ReferenceMap.containsValue""",,,,,,3,0,
