Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.zwave/src/main/java/org/openhab/binding/zwave/internal/converter/command/MultiLevelPercentCommandConverter.java""",,,,1,,15,16,
Public Class,"""org.openhab.binding.zwave.internal.converter.command.MultiLevelPercentCommandConverter""",1,3,0,1,4,11,16,2
Protected Method,"""org.openhab.binding.zwave.internal.converter.command.MultiLevelPercentCommandConverter.convert""",,,,,,8,3,
Public Class,"""net.wimpi.modbus.msg.WriteCoilResponse""",1,1,0,8,29,52,73,3
Public Constructor,"""net.wimpi.modbus.msg.WriteCoilResponse.WriteCoilResponse""",,,,,,5,5,
Public Constructor,"""net.wimpi.modbus.msg.WriteCoilResponse.WriteCoilResponse""",,,,,,7,8,
Public Method,"""net.wimpi.modbus.msg.WriteCoilResponse.getCoil""",,,,,,3,7,
Public Method,"""net.wimpi.modbus.msg.WriteCoilResponse.getReference""",,,,,,3,7,
Public Method,"""net.wimpi.modbus.msg.WriteCoilResponse.readData""",,,,,,14,3,
Private Method,"""net.wimpi.modbus.msg.WriteCoilResponse.setCoil""",,,,,,3,8,
Private Method,"""net.wimpi.modbus.msg.WriteCoilResponse.setReference""",,,,,,3,8,
Public Method,"""net.wimpi.modbus.msg.WriteCoilResponse.writeData""",,,,,,9,1,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.modbus/src/main/java/net/wimpi/modbus/msg/WriteCoilResponse.java""",,,,8,,57,73,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.samsungtv/src/main/java/org/openhab/binding/samsungtv/internal/SamsungTvConnection.java""",,,,2,,27,20,
Public Class,"""org.openhab.binding.samsungtv.internal.SamsungTvConnection""",1,2,0,2,2,21,20,1
Public Constructor,"""org.openhab.binding.samsungtv.internal.SamsungTvConnection.SamsungTvConnection""",,,,,,4,0,
Public Method,"""org.openhab.binding.samsungtv.internal.SamsungTvConnection.send""",,,,,,12,6,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.weather/src/main/java/org/openhab/binding/weather/internal/scheduler/WeatherJob.java""",,,,1,,33,18,
Package,"""org.openhab.binding.weather.internal.scheduler""",,,,10,,138,51,
Public Class,"""org.openhab.binding.weather.internal.scheduler.WeatherJob""",2,6,0,1,1,21,18,1
Public Method,"""org.openhab.binding.weather.internal.scheduler.WeatherJob.execute""",,,,,,15,3,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.mqttitude/src/main/java/org/openhab/binding/mqttitude/internal/Location.java""",,,,4,,19,14,
Package,"""org.openhab.binding.mqttitude.internal""",,,,37,,381,189,
Public Class,"""org.openhab.binding.mqttitude.internal.Location""",1,0,0,4,4,18,14,1
Public Constructor,"""org.openhab.binding.mqttitude.internal.Location.Location""",,,,,,4,0,
Public Method,"""org.openhab.binding.mqttitude.internal.Location.getLatitude""",,,,,,3,0,
Public Method,"""org.openhab.binding.mqttitude.internal.Location.getLongitude""",,,,,,3,0,
Public Method,"""org.openhab.binding.mqttitude.internal.Location.toString""",,,,,,3,0,
File,"""openhab-1.7.0/bundles/io/org.openhab.io.transport.cul/src/main/java/org/openhab/io/transport/cul/CULHandler.java""",,,,6,,10,51,
Public Interface,"""org.openhab.io.transport.cul.CULHandler""",0,3,1,6,6,8,34,0
Public Abstract Method,"""org.openhab.io.transport.cul.CULHandler.arePropertiesEqual""",,,,,,1,5,
Public Abstract Method,"""org.openhab.io.transport.cul.CULHandler.getCULMode""",,,,,,1,5,
Public Abstract Method,"""org.openhab.io.transport.cul.CULHandler.getCredit10ms""",,,,,,1,6,
Public Abstract Method,"""org.openhab.io.transport.cul.CULHandler.registerListener""",,,,,,1,5,
Public Abstract Method,"""org.openhab.io.transport.cul.CULHandler.send""",,,,,,1,7,
Public Abstract Method,"""org.openhab.io.transport.cul.CULHandler.unregisterListener""",,,,,,1,6,
Public Class,"""net.wimpi.modbus.io.ModbusSerialTransaction""",2,12,0,17,17,112,104,1
Public Constructor,"""net.wimpi.modbus.io.ModbusSerialTransaction.ModbusSerialTransaction""",,,,,,2,5,
Public Constructor,"""net.wimpi.modbus.io.ModbusSerialTransaction.ModbusSerialTransaction""",,,,,,3,9,
Public Constructor,"""net.wimpi.modbus.io.ModbusSerialTransaction.ModbusSerialTransaction""",,,,,,3,9,
Private Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.assertExecutable""",,,,,,9,7,
Protected Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.checkValidity""",,,,,,2,8,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.execute""",,,,,,44,14,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.getRequest""",,,,,,3,1,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.getResponse""",,,,,,3,1,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.getRetries""",,,,,,3,1,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.getTransDelayMS""",,,,,,3,5,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.getTransactionID""",,,,,,3,1,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.isCheckingValidity""",,,,,,3,1,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.setCheckingValidity""",,,,,,3,1,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.setRequest""",,,,,,3,2,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.setRetries""",,,,,,3,1,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.setSerialConnection""",,,,,,4,8,
Public Method,"""net.wimpi.modbus.io.ModbusSerialTransaction.setTransDelayMS""",,,,,,3,5,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.modbus/src/main/java/net/wimpi/modbus/io/ModbusSerialTransaction.java""",,,,17,,125,104,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.plcbus/src/main/java/org/openhab/binding/plcbus/internal/protocol/commands/StatusRequest.java""",,,,3,,14,27,
Public Class,"""org.openhab.binding.plcbus.internal.protocol.commands.StatusRequest""",1,0,0,3,10,12,27,2
Public Method,"""org.openhab.binding.plcbus.internal.protocol.commands.StatusRequest.getId""",,,,,,3,3,
Public Method,"""org.openhab.binding.plcbus.internal.protocol.commands.StatusRequest.getParameter1""",,,,,,3,5,
Public Method,"""org.openhab.binding.plcbus.internal.protocol.commands.StatusRequest.getParameter2""",,,,,,3,5,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.zwave/src/main/java/org/openhab/binding/zwave/internal/protocol/commandclass/ZWaveThermostatOperatingStateCommandClass.java""",,,,15,,152,63,
Public Class,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass""",3,11,0,8,28,132,63,2
Public Enum Type,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.OperatingStateType""",1,0,0,7,7,44,23,2
Private Constructor,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.OperatingStateType.OperatingStateType""",,,,,,4,0,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.OperatingStateType.getKey""",,,,,,3,3,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.OperatingStateType.getLabel""",,,,,,3,3,
Public Static Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.OperatingStateType.getOperatingStateType""",,,,,,6,6,
Private Static Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.OperatingStateType.initMapping""",,,,,,6,0,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.OperatingStateType.valueOf""",,,,,,0,0,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.OperatingStateType.values""",,,,,,0,0,
Public Constructor,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.ZWaveThermostatOperatingStateCommandClass""",,,,,,4,6,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.getCommandClass""",,,,,,3,3,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.getDynamicValues""",,,,,,7,3,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.getMaxVersion""",,,,,,3,3,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.getValueMessage""",,,,,,16,3,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.handleApplicationCommandRequest""",,,,,,17,3,
Protected Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.processThermostatOperatingStateReport""",,,,,,15,6,
Public Method,"""org.openhab.binding.zwave.internal.protocol.commandclass.ZWaveThermostatOperatingStateCommandClass.setOptions""",,,,,,6,0,
File,"""openhab-1.7.0/bundles/model/org.openhab.model.script/src/org/openhab/model/script/internal/actions/TimerImpl.java""",,,,6,,78,18,
Public Class,"""org.openhab.model.script.internal.actions.TimerImpl""",2,0,0,6,6,64,18,1
Public Constructor,"""org.openhab.model.script.internal.actions.TimerImpl.TimerImpl""",,,,,,5,0,
Public Method,"""org.openhab.model.script.internal.actions.TimerImpl.cancel""",,,,,,11,0,
Public Method,"""org.openhab.model.script.internal.actions.TimerImpl.hasTerminated""",,,,,,3,0,
Public Method,"""org.openhab.model.script.internal.actions.TimerImpl.isRunning""",,,,,,13,1,
Public Method,"""org.openhab.model.script.internal.actions.TimerImpl.reschedule""",,,,,,13,0,
Public Method,"""org.openhab.model.script.internal.actions.TimerImpl.setTerminated""",,,,,,3,0,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.intertechno/src/main/java/org/openhab/binding/intertechno/CULIntertechnoBindingProvider.java""",,,,1,,5,12,
Package,"""org.openhab.binding.intertechno""",,,,5,,27,27,
Public Interface,"""org.openhab.binding.intertechno.CULIntertechnoBindingProvider""",1,1,1,1,6,3,0,1
Public Abstract Method,"""org.openhab.binding.intertechno.CULIntertechnoBindingProvider.getConfigForItemName""",,,,,,1,0,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.ihc/src/main/java/org/openhab/binding/ihc/ws/datatypes/WSDateValue.java""",,,,6,,24,56,
Public Class,"""org.openhab.binding.ihc.ws.datatypes.WSDateValue""",1,0,0,6,10,23,56,2
Public Method,"""org.openhab.binding.ihc.ws.datatypes.WSDateValue.getDay""",,,,,,3,4,
Public Method,"""org.openhab.binding.ihc.ws.datatypes.WSDateValue.getMonth""",,,,,,3,4,
Public Method,"""org.openhab.binding.ihc.ws.datatypes.WSDateValue.getYear""",,,,,,3,4,
Public Method,"""org.openhab.binding.ihc.ws.datatypes.WSDateValue.setDay""",,,,,,3,4,
Public Method,"""org.openhab.binding.ihc.ws.datatypes.WSDateValue.setMonth""",,,,,,3,4,
Public Method,"""org.openhab.binding.ihc.ws.datatypes.WSDateValue.setYear""",,,,,,3,4,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.ihc/src/main/java/org/openhab/binding/ihc/ws/datatypes/WSTimerValue.java""",,,,2,,10,38,
Public Class,"""org.openhab.binding.ihc.ws.datatypes.WSTimerValue""",1,0,0,2,6,9,38,2
Public Method,"""org.openhab.binding.ihc.ws.datatypes.WSTimerValue.getMilliseconds""",,,,,,3,4,
Public Method,"""org.openhab.binding.ihc.ws.datatypes.WSTimerValue.setMilliseconds""",,,,,,3,4,
Public Class,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest""",1,10,0,15,37,117,141,3
Public Constructor,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.WriteMultipleRegistersRequest""",,,,,,6,9,
Public Constructor,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.WriteMultipleRegistersRequest""",,,,,,4,5,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.createResponse""",,,,,,34,6,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.getByteCount""",,,,,,3,8,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.getNonWordDataHandler""",,,,,,3,6,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.getReference""",,,,,,3,9,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.getRegister""",,,,,,8,13,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.getRegisterValue""",,,,,,4,14,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.getRegisters""",,,,,,3,7,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.getWordCount""",,,,,,3,7,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.readData""",,,,,,15,3,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.setNonWordDataHandler""",,,,,,4,6,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.setReference""",,,,,,3,8,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.setRegisters""",,,,,,4,9,
Public Method,"""net.wimpi.modbus.msg.WriteMultipleRegistersRequest.writeData""",,,,,,14,5,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.modbus/src/main/java/net/wimpi/modbus/msg/WriteMultipleRegistersRequest.java""",,,,15,,125,141,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.zwave/src/main/java/org/openhab/binding/zwave/internal/HexToIntegerConverter.java""",,,,3,,30,23,
Package,"""org.openhab.binding.zwave.internal""",,,,42,,924,376,
Public Class,"""org.openhab.binding.zwave.internal.HexToIntegerConverter""",2,0,0,3,3,23,23,1
Public Method,"""org.openhab.binding.zwave.internal.HexToIntegerConverter.canConvert""",,,,,,3,3,
Public Method,"""org.openhab.binding.zwave.internal.HexToIntegerConverter.marshal""",,,,,,4,3,
Public Method,"""org.openhab.binding.zwave.internal.HexToIntegerConverter.unmarshal""",,,,,,11,3,
Public Class,"""be.devlaminck.openwebnet.OpenWebNet""",1,6,0,9,9,98,44,2
Public Constructor,"""be.devlaminck.openwebnet.OpenWebNet.OpenWebNet""",,,,,,5,0,
Public Method,"""be.devlaminck.openwebnet.OpenWebNet.addEventListener""",,,,,,3,0,
Private Method,"""be.devlaminck.openwebnet.OpenWebNet.checkForBusScan""",,,,,,7,0,
Public Method,"""be.devlaminck.openwebnet.OpenWebNet.initSystem""",,,,,,18,0,
Public Method,"""be.devlaminck.openwebnet.OpenWebNet.notifyEvent""",,,,,,9,0,
Public Method,"""be.devlaminck.openwebnet.OpenWebNet.onCommand""",,,,,,7,0,
Public Method,"""be.devlaminck.openwebnet.OpenWebNet.onStart""",,,,,,13,4,
Public Method,"""be.devlaminck.openwebnet.OpenWebNet.removeEventListener""",,,,,,3,0,
Public Method,"""be.devlaminck.openwebnet.OpenWebNet.run""",,,,,,17,3,
File,"""openhab-1.7.0/bundles/binding/org.openhab.binding.bticino/src/main/java/be/devlaminck/openwebnet/OpenWebNet.java""",,,,9,,107,44,
File,"""openhab-1.7.0/bundles/core/org.openhab.core.transform.test/src/test/java/org/openhab/core/transform/internal/RegExTransformationServiceTest.java""",,,,5,,33,20,
Public Class,"""org.openhab.core.transform.internal.RegExTransformationServiceTest""",1,2,0,5,5,27,20,2
Public Method,"""org.openhab.core.transform.internal.RegExTransformationServiceTest.init""",,,,,,3,0,
Public Method,"""org.openhab.core.transform.internal.RegExTransformationServiceTest.testTransformByRegex""",,,,,,4,2,
Public Method,"""org.openhab.core.transform.internal.RegExTransformationServiceTest.testTransformByRegex_moreThanOneGroup""",,,,,,4,2,
Public Method,"""org.openhab.core.transform.internal.RegExTransformationServiceTest.testTransformByRegex_noContent""",,,,,,4,2,
Public Method,"""org.openhab.core.transform.internal.RegExTransformationServiceTest.testTransformByRegex_noGroup""",,,,,,4,2,
