Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Annotation,"""com.facebook.presto.operator.Description""",0,0,0,1,1,4,0,0
Abstract Method,"""com.facebook.presto.operator.Description.value""",,,,,,1,0,
File,"""presto-0.107/presto-main/src/main/java/com/facebook/presto/operator/Description.java""",,,,1,,12,13,
Public Class,"""com.facebook.presto.sql.parser.TestStatementSplitter""",1,2,0,26,26,197,10,1
Private Static Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.statements""",,,,,,9,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testIsEmptyStatement""",,,,,,12,1,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterCustomDelimiters""",,,,,,7,3,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterEmptyInput""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterEmptyStatements""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterErrorAfterComplete""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterErrorBeforeComplete""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterIncomplete""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterMultiple""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterMultipleWithEmpty""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterSingle""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithBackquote""",,,,,,7,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithDigitIdentifier""",,,,,,7,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithEscapedSingleQuote""",,,,,,7,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithIncompleteQuotedString""",,,,,,7,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithMultiLineComment""",,,,,,6,3,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithMultiLineCommentPartial""",,,,,,7,1,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithQuotedIdentifier""",,,,,,7,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithQuotedString""",,,,,,7,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithSingleLineComment""",,,,,,6,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSplitterWithSingleLineCommentPartial""",,,,,,7,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSqueezeStatement""",,,,,,5,0,
Public Method,"""com.facebook.presto.sql.parser.TestStatementSplitter.testSqueezeStatementAlternateDelimiter""",,,,,,5,2,
