Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Class,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool""",1,1,0,9,9,36,4,2
Public Constructor,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.MonitoredForkJoinPool""",,,,,,4,0,
Public Constructor,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.MonitoredForkJoinPool""",,,,,,3,0,
Public Constructor,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.MonitoredForkJoinPool""",,,,,,4,0,
Public Constructor,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.MonitoredForkJoinPool""",,,,,,3,0,
Public Constructor,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.MonitoredForkJoinPool""",,,,,,3,0,
Public Constructor,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.MonitoredForkJoinPool""",,,,,,3,0,
Public Method,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.getMonitor""",,,,,,3,0,
Public Method,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.getName""",,,,,,3,0,
Public Method,"""co.paralleluniverse.concurrent.forkjoin.MonitoredForkJoinPool.setMonitor""",,,,,,5,0,
File,"""quasar-0.7.0/quasar-core-jdk8/src/main/java/co/paralleluniverse/concurrent/forkjoin/MonitoredForkJoinPool.java""",,,,9,,41,16,
Public Class,"""co.paralleluniverse.common.monitoring.SimpleReservoir""",2,0,0,3,3,62,6,1
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot""",,,,,,44,1,
Class,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1)""",2,1,0,8,8,41,1,1
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1).dump""",,,,,,3,1,
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1).getMax""",,,,,,3,0,
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1).getMean""",,,,,,3,0,
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1).getMin""",,,,,,3,0,
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1).getStdDev""",,,,,,3,0,
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1).getValue""",,,,,,7,0,
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1).getValues""",,,,,,3,0,
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.getSnapshot.(Anon_1).size""",,,,,,3,0,
Public Method,"""co.paralleluniverse.common.monitoring.SimpleReservoir.size""",,,,,,3,0,
