Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Class,"""sample.data.jpa.service.CityServiceImpl""",2,7,0,4,4,37,0,1
Public Constructor,"""sample.data.jpa.service.CityServiceImpl.CityServiceImpl""",,,,,,4,0,
Public Method,"""sample.data.jpa.service.CityServiceImpl.findCities""",,,,,,16,0,
Public Method,"""sample.data.jpa.service.CityServiceImpl.getCity""",,,,,,5,0,
Public Method,"""sample.data.jpa.service.CityServiceImpl.getHotels""",,,,,,4,0,
File,"""spring-boot-1.2.4/spring-boot-samples/spring-boot-sample-data-jpa/src/main/java/sample/data/jpa/service/CityServiceImpl.java""",,,,4,,49,15,
Public Class,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests""",1,17,0,6,6,57,7,1
Protected Static Class,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.CustomizedConfiguration""",1,0,0,0,0,2,0,1
Protected Static Class,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.EmptyConfiguration""",1,0,0,0,0,2,0,1
Protected Static Class,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.SortOfInvalidCustomConfiguration""",1,0,0,0,0,2,0,1
Protected Static Class,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.TestConfiguration""",1,0,0,0,0,2,0,1
Public Method,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.autoConfigurationShouldNotKickInEvenIfManualConfigDidNotCreateAnyRepositories""",,,,,,4,0,
Public Method,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.close""",,,,,,3,0,
Public Method,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.doesNotTriggerDefaultRepositoryDetectionIfCustomized""",,,,,,4,0,
Private Method,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.prepareApplicationContext""",,,,,,9,0,
Public Method,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.testDefaultRepositoryConfiguration""",,,,,,6,0,
Public Method,"""org.springframework.boot.autoconfigure.data.mongo.MongoRepositoriesAutoConfigurationTests.testNoRepositoryConfiguration""",,,,,,5,0,
File,"""spring-boot-1.2.4/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/data/mongo/MongoRepositoriesAutoConfigurationTests.java""",,,,6,,78,22,
Public Class,"""samples.websocket.client.SimpleClientWebSocketHandler""",1,5,0,3,12,26,0,3
Public Constructor,"""samples.websocket.client.SimpleClientWebSocketHandler.SimpleClientWebSocketHandler""",,,,,,6,0,
Public Method,"""samples.websocket.client.SimpleClientWebSocketHandler.afterConnectionEstablished""",,,,,,4,0,
Public Method,"""samples.websocket.client.SimpleClientWebSocketHandler.handleTextMessage""",,,,,,7,0,
