Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Package,"(Unnamed_Package)",,,,0,,0,266,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/AbstractTachyonFS.java",,,,10,,43,94,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/BlockInStream.java",,,,3,,33,53,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/BlockOutStream.java",,,,4,,31,41,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/ClientConstants.java",,,,0,,7,17,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/EmptyBlockInStream.java",,,,7,,32,22,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/FileInStream.java",,,,10,,147,31,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/FileOutStream.java",,,,8,,185,29,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/InStream.java",,,,7,,27,33,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/LocalBlockInStream.java",,,,7,,80,25,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/LocalBlockOutStream.java",,,,13,,168,57,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/OutStream.java",,,,7,,27,29,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/ReadType.java",,,,5,,15,46,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/RemoteBlockInStream.java",,,,13,,256,117,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/RemoteBlockOutStream.java",,,,12,,143,63,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/RemoteBlockReader.java",,,,2,,21,28,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/RemoteBlockWriter.java",,,,3,,22,33,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/TachyonByteBuffer.java",,,,2,,27,29,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/TachyonFS.java",,,,64,,453,461,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/TachyonFSCore.java",,,,8,,17,83,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/TachyonFile.java",,,,35,,290,198,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/UfsUtils.java",,,,5,,154,75,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/WriteType.java",,,,8,,28,49,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/netty/ClientHandler.java",,,,7,,49,22,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/netty/NettyClient.java",,,,2,,49,28,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/netty/NettyRemoteBlockReader.java",,,,2,,59,18,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/netty/NettyRemoteBlockWriter.java",,,,4,,86,19,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/netty/SingleResponseListener.java",,,,3,,24,34,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/table/RawColumn.java",,,,5,,38,26,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/table/RawTable.java",,,,8,,40,49,
File,"Z:/thaina/ProgramVersions/alluxio-0.7.0/clients/unshaded/src/main/java/tachyon/client/tcp/TCPRemoteBlockReader.java",,,,1,,51,18,
