Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/jobs/TrimThreadJob.java""",,,,5,,36,16,
Public Class,"""org.thoughtcrime.securesms.jobs.TrimThreadJob""",1,3,0,5,5,29,16,2
Public Constructor,"""org.thoughtcrime.securesms.jobs.TrimThreadJob.TrimThreadJob""",,,,,,5,0,
Public Method,"""org.thoughtcrime.securesms.jobs.TrimThreadJob.onAdded""",,,,,,2,0,
Public Method,"""org.thoughtcrime.securesms.jobs.TrimThreadJob.onCanceled""",,,,,,3,0,
Public Method,"""org.thoughtcrime.securesms.jobs.TrimThreadJob.onRun""",,,,,,7,0,
Public Method,"""org.thoughtcrime.securesms.jobs.TrimThreadJob.onShouldRetry""",,,,,,3,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/mms/OutgoingLegacyMmsConnection.java""",,,,7,,121,16,
Public Class,"""org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection""",2,7,0,7,15,102,16,2
Public Constructor,"""org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection.OutgoingLegacyMmsConnection""",,,,,,3,0,
Private Method,"""org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection.constructRequest""",,,,,,18,0,
Public Static Method,"""org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection.isConnectionPossible""",,,,,,15,0,
Public Method,"""org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection.send""",,,,,,34,0,
Private Method,"""org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection.send""",,,,,,4,0,
Private Method,"""org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection.sendBytes""",,,,,,19,0,
Public Method,"""org.thoughtcrime.securesms.mms.OutgoingLegacyMmsConnection.sendNotificationReceived""",,,,,,5,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/mms/LollipopMmsConnection.java""",,,,8,,54,16,
Public Abstract Class,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection""",1,1,2,8,8,45,16,2
Protected Constructor,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection.LollipopMmsConnection""",,,,,,5,0,
Protected Method,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection.beginTransaction""",,,,,,3,0,
Protected Method,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection.endTransaction""",,,,,,4,0,
Protected Method,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection.getContext""",,,,,,3,0,
Protected Method,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection.getPendingIntent""",,,,,,3,0,
Public Method,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection.onReceive""",,,,,,10,0,
Public Abstract Method,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection.onResult""",,,,,,1,0,
Protected Method,"""org.thoughtcrime.securesms.mms.LollipopMmsConnection.waitForResult""",,,,,,9,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/sms/SmsTransportDetails.java""",,,,6,,67,17,
Public Class,"""org.thoughtcrime.securesms.sms.SmsTransportDetails""",1,3,0,6,6,61,17,1
Public Method,"""org.thoughtcrime.securesms.sms.SmsTransportDetails.getDecodedMessage""",,,,,,4,0,
Public Method,"""org.thoughtcrime.securesms.sms.SmsTransportDetails.getEncodedMessage""",,,,,,5,0,
Private Method,"""org.thoughtcrime.securesms.sms.SmsTransportDetails.getMaxBodySizeForBytes""",,,,,,12,0,
Public Method,"""org.thoughtcrime.securesms.sms.SmsTransportDetails.getMessageCountForBytes""",,,,,,10,0,
Public Method,"""org.thoughtcrime.securesms.sms.SmsTransportDetails.getPaddedMessageBody""",,,,,,7,0,
Public Method,"""org.thoughtcrime.securesms.sms.SmsTransportDetails.getStrippedPaddingMessageBody""",,,,,,14,0,
File,"""TextSecure-2.19.0/src/org/thoughtcrime/securesms/components/BubbleContainer.java""",,,,18,,127,16,
Public Abstract Class,"""org.thoughtcrime.securesms.components.BubbleContainer""",1,7,2,18,18,112,16,2
Public Constructor,"""org.thoughtcrime.securesms.components.BubbleContainer.BubbleContainer""",,,,,,4,0,
Public Constructor,"""org.thoughtcrime.securesms.components.BubbleContainer.BubbleContainer""",,,,,,4,0,
Public Constructor,"""org.thoughtcrime.securesms.components.BubbleContainer.BubbleContainer""",,,,,,4,0,
Public Constructor,"""org.thoughtcrime.securesms.components.BubbleContainer.BubbleContainer""",,,,,,4,0,
Public Annotation,"""org.thoughtcrime.securesms.components.BubbleContainer.MediaState""",0,0,0,0,0,1,0,0
