Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Class,"""org.tomahawk.libtomahawk.infosystem.hatchet.models.HatchetSocialActionResponse""",1,5,0,1,1,15,0,1
Public Constructor,"""org.tomahawk.libtomahawk.infosystem.hatchet.models.HatchetSocialActionResponse.HatchetSocialActionResponse""",,,,,,2,0,
File,"""tomahawk-android-0.83/src/org/tomahawk/libtomahawk/infosystem/hatchet/models/HatchetSocialActionResponse.java""",,,,1,,26,17,
Public Class,"""org.tomahawk.libtomahawk.infosystem.InfoSystem""",1,32,0,44,44,533,151,1
Private Static Class,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.Holder""",1,1,0,0,0,3,0,1
Private Constructor,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.InfoSystem""",,,,,,3,0,
Public Static Class,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.OpLogIsEmptiedEvent""",1,0,0,0,0,4,0,1
Public Class,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.ResultsEvent""",1,1,0,0,0,4,0,1
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.deletePlaylist""",,,,,,12,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.deletePlaylistEntry""",,,,,,14,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.deleteRelationship""",,,,,,10,0,
Private Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.discardLoggedOp""",,,,,,6,0,
Public Static Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.getInstance""",,,,,,3,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.getRandomUsers""",,,,,,6,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.getSentLoggedOpById""",,,,,,3,3,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.onLoggedOpsSent""",,,,,,41,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.reportResults""",,,,,,6,4,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,9,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,19,7,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,9,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,9,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,7,9,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,5,5,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,3,7,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,3,9,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,12,11,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,5,5,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolve""",,,,,,6,7,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolveFavorites""",,,,,,9,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolveFollowers""",,,,,,10,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolveFollowings""",,,,,,10,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolveFriendsFeed""",,,,,,11,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolvePlaybackLog""",,,,,,9,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolvePlaylists""",,,,,,13,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolvePlaylists""",,,,,,3,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolveSocialActions""",,,,,,11,6,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolveStarredAlbums""",,,,,,10,5,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolveStarredArtists""",,,,,,10,5,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.resolveUserId""",,,,,,8,6,
Private Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.send""",,,,,,6,7,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.sendLoggedOps""",,,,,,23,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.sendNowPlayingPostStruct""",,,,,,24,0,
Public Method,"""org.tomahawk.libtomahawk.infosystem.InfoSystem.sendPlaybackEntryPostStruct""",,,,,,27,0,
