Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
Public Generic Class,"""io.vertx.core.net.impl.HandlerHolder""",1,2,0,3,3,23,3,1
Constructor,"""io.vertx.core.net.impl.HandlerHolder.HandlerHolder""",,,,,,4,0,
TypeVariable,"""io.vertx.core.net.impl.HandlerHolder.T""",1,0,0,0,0,0,0,1
Public Method,"""io.vertx.core.net.impl.HandlerHolder.equals""",,,,,,8,0,
Public Method,"""io.vertx.core.net.impl.HandlerHolder.hashCode""",,,,,,5,0,
File,"""vert.x-3.0.0/src/main/java/io/vertx/core/net/impl/HandlerHolder.java""",,,,3,,26,18,
Public Class,"""io.vertx.test.core.JSONEventBusTest""",1,5,0,7,86,81,3,3
Public Method,"""io.vertx.test.core.JSONEventBusTest.setUp""",,,,,,4,0,
Public Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleArray1""",,,,,,10,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleArray1.(lambda_expr_1)""",,,,,,4,0,
Public Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleArray2""",,,,,,10,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleArray2.(lambda_expr_1)""",,,,,,1,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleArray2.(lambda_expr_2)""",,,,,,4,0,
Public Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleArray3""",,,,,,13,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleArray3.(lambda_expr_1)""",,,,,,6,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleArray3.(lambda_expr_1).(lambda_expr_2)""",,,,,,4,0,
Public Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleObject1""",,,,,,10,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleObject1.(lambda_expr_1)""",,,,,,4,0,
Public Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleObject2""",,,,,,12,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleObject2.(lambda_expr_1)""",,,,,,3,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleObject2.(lambda_expr_2)""",,,,,,4,0,
Public Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleObject3""",,,,,,13,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleObject3.(lambda_expr_1)""",,,,,,6,0,
Private Method,"""io.vertx.test.core.JSONEventBusTest.testChangesNotVisibleObject3.(lambda_expr_1).(lambda_expr_2)""",,,,,,4,0,
File,"""vert.x-3.0.0/src/test/java/io/vertx/test/core/JSONEventBusTest.java""",,,,17,,91,18,
File,"""vert.x-3.0.0/src/main/java/io/vertx/core/eventbus/package-info.java""",,,,0,,3,276,
Package,"""io.vertx.test.core""",,,,1804,,22674,1991,
