Kind,Name,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclMethod,CountDeclMethodAll,CountLineCode,CountLineComment,MaxInheritanceTree
File,"""WordPress-Android-4.0/WordPress/src/main/java/org/wordpress/android/ui/AppLogViewerActivity.java""",,,,11,,136,7,
Public Class,"""org.wordpress.android.ui.AppLogViewerActivity""",1,4,0,5,5,114,7,2
Private Class,"""org.wordpress.android.ui.AppLogViewerActivity.LogAdapter""",1,2,0,5,5,48,2,2
Private Constructor,"""org.wordpress.android.ui.AppLogViewerActivity.LogAdapter.LogAdapter""",,,,,,4,0,
Private Class,"""org.wordpress.android.ui.AppLogViewerActivity.LogAdapter.LogViewHolder""",1,0,0,1,1,8,0,1
Constructor,"""org.wordpress.android.ui.AppLogViewerActivity.LogAdapter.LogViewHolder.LogViewHolder""",,,,,,4,0,
Public Method,"""org.wordpress.android.ui.AppLogViewerActivity.LogAdapter.getCount""",,,,,,3,0,
Public Method,"""org.wordpress.android.ui.AppLogViewerActivity.LogAdapter.getItem""",,,,,,3,0,
Public Method,"""org.wordpress.android.ui.AppLogViewerActivity.LogAdapter.getItemId""",,,,,,3,0,
Public Method,"""org.wordpress.android.ui.AppLogViewerActivity.LogAdapter.getView""",,,,,,19,2,
Private Method,"""org.wordpress.android.ui.AppLogViewerActivity.copyAppLogToClipboard""",,,,,,10,0,
Protected Method,"""org.wordpress.android.ui.AppLogViewerActivity.onCreate""",,,,,,13,0,
Public Method,"""org.wordpress.android.ui.AppLogViewerActivity.onCreateOptionsMenu""",,,,,,10,2,
Public Method,"""org.wordpress.android.ui.AppLogViewerActivity.onOptionsItemSelected""",,,,,,15,0,
Private Method,"""org.wordpress.android.ui.AppLogViewerActivity.shareAppLog""",,,,,,11,0,
File,"""WordPress-Android-4.0/WordPress/src/main/java/org/wordpress/android/ui/posts/ViewPostFragment.java""",,,,29,,361,26,
Public Class,"""org.wordpress.android.ui.posts.ViewPostFragment""",1,19,0,17,17,321,26,2
Public Interface,"""org.wordpress.android.ui.posts.ViewPostFragment.OnDetailPostActionListener""",0,1,1,1,1,3,0,0
Public Abstract Method,"""org.wordpress.android.ui.posts.ViewPostFragment.OnDetailPostActionListener.onDetailPostAction""",,,,,,1,0,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.clearContent""",,,,,,12,1,
Private Method,"""org.wordpress.android.ui.posts.ViewPostFragment.hideCommentBox""",,,,,,9,0,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.loadPost""",,,,,,59,7,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.loadPost.(Anon_7)""",2,4,0,1,1,50,2,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.loadPost.(Anon_7).run""",,,,,,48,2,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.loadPost.(Anon_7).run.(Anon_8)""",2,3,0,1,1,26,2,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.loadPost.(Anon_7).run.(Anon_8).run""",,,,,,24,2,
Protected Method,"""org.wordpress.android.ui.posts.ViewPostFragment.loadPostPreview""",,,,,,23,6,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onActivityCreated""",,,,,,3,0,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onAttach""",,,,,,10,1,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView""",,,,,,67,2,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_1)""",2,2,0,1,1,6,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_1).onGlobalLayout""",,,,,,4,0,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_2)""",2,6,0,1,1,10,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_2).onClick""",,,,,,9,0,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_3)""",2,4,0,1,1,6,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_3).onClick""",,,,,,5,0,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_4)""",2,4,0,1,1,6,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_4).onClick""",,,,,,5,0,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_5)""",2,4,0,1,1,7,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_5).onClick""",,,,,,6,0,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_6)""",2,2,0,1,1,6,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onCreateView.(Anon_6).onClick""",,,,,,5,0,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onDestroy""",,,,,,6,0,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onEventMainThread""",,,,,,7,1,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onResume""",,,,,,7,2,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onSaveInstanceState""",,,,,,6,0,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onStart""",,,,,,4,0,
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.onStop""",,,,,,4,0,
Private Method,"""org.wordpress.android.ui.posts.ViewPostFragment.setupSuggestionServiceAndAdapter""",,,,,,9,0,
Private Method,"""org.wordpress.android.ui.posts.ViewPostFragment.showCommentBox""",,,,,,25,4,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.showCommentBox.(Anon_10)""",2,1,0,1,1,5,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.showCommentBox.(Anon_10).onClick""",,,,,,3,0,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.showCommentBox.(Anon_9)""",2,1,0,1,1,7,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.showCommentBox.(Anon_9).onEditorAction""",,,,,,5,0,
Private Method,"""org.wordpress.android.ui.posts.ViewPostFragment.submitComment""",,,,,,40,1,
Class,"""org.wordpress.android.ui.posts.ViewPostFragment.submitComment.(Anon_11)""",2,4,0,1,1,20,0,1
Public Method,"""org.wordpress.android.ui.posts.ViewPostFragment.submitComment.(Anon_11).onActionResult""",,,,,,18,0,
Private Method,"""org.wordpress.android.ui.posts.ViewPostFragment.toggleCommentBox""",,,,,,7,0,
File,"""WordPress-Android-4.0/WordPress/src/androidTest/java/org/wordpress/android/mocks/XMLRPCClientCustomizableXMLMock.java""",,,,10,,71,6,
Public Class,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock""",1,7,0,10,13,57,6,2
Public Constructor,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.XMLRPCClientCustomizableXMLMock""",,,,,,3,1,
Public Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.addQuickPostHeader""",,,,,,2,0,
Public Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.call""",,,,,,18,3,
Public Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.call""",,,,,,3,0,
Public Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.call""",,,,,,3,0,
Public Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.callAsync""",,,,,,3,0,
Public Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.callAsync""",,,,,,3,0,
Public Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.getResponse""",,,,,,6,0,
Private Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.readFile""",,,,,,10,2,
Public Method,"""org.wordpress.android.mocks.XMLRPCClientCustomizableXMLMock.setAuthorizationHeader""",,,,,,2,0,
File,"""WordPress-Android-4.0/WordPress/src/main/java/org/wordpress/android/ui/reader/ReaderUserListActivity.java""",,,,9,,116,5,
Public Class,"""org.wordpress.android.ui.reader.ReaderUserListActivity""",1,9,0,5,5,101,2,2
Private Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.getAdapter""",,,,,,16,0,
Class,"""org.wordpress.android.ui.reader.ReaderUserListActivity.getAdapter.(Anon_2)""",2,1,0,1,1,8,0,1
Public Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.getAdapter.(Anon_2).onDataLoaded""",,,,,,6,0,
Private Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.getTitleString""",,,,,,14,0,
Private Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.loadUsers""",,,,,,31,2,
Class,"""org.wordpress.android.ui.reader.ReaderUserListActivity.loadUsers.(Anon_3)""",2,4,0,1,1,26,2,1
Public Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.loadUsers.(Anon_3).run""",,,,,,24,2,
Class,"""org.wordpress.android.ui.reader.ReaderUserListActivity.loadUsers.(Anon_3).run.(Anon_4)""",2,3,0,1,1,8,0,1
Public Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.loadUsers.(Anon_3).run.(Anon_4).run""",,,,,,6,0,
Protected Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.onCreate""",,,,,,26,0,
Class,"""org.wordpress.android.ui.reader.ReaderUserListActivity.onCreate.(Anon_1)""",2,0,0,1,1,5,0,1
Public Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.onCreate.(Anon_1).onClick""",,,,,,3,0,
Protected Method,"""org.wordpress.android.ui.reader.ReaderUserListActivity.onSaveInstanceState""",,,,,,7,0,
File,"""WordPress-Android-4.0/WordPress/src/main/java/org/wordpress/android/ui/reader/models/ReaderBlogIdPostIdList.java""",,,,3,,27,5,
Public Class,"""org.wordpress.android.ui.reader.models.ReaderBlogIdPostIdList""",2,1,0,3,3,24,5,2
Public Constructor,"""org.wordpress.android.ui.reader.models.ReaderBlogIdPostIdList.ReaderBlogIdPostIdList""",,,,,,3,0,
Public Constructor,"""org.wordpress.android.ui.reader.models.ReaderBlogIdPostIdList.ReaderBlogIdPostIdList""",,,,,,9,0,
Public Method,"""org.wordpress.android.ui.reader.models.ReaderBlogIdPostIdList.indexOf""",,,,,,8,0,
File,"""WordPress-Android-4.0/WordPress/src/main/java/org/wordpress/android/WordPress.java""",,,,56,,625,134,
Public Class,"""org.wordpress.android.WordPress""",1,34,0,33,33,551,134,2
Class,"""org.wordpress.android.WordPress.(Anon_1)""",2,4,0,1,1,10,0,1
Protected Method,"""org.wordpress.android.WordPress.(Anon_1).run""",,,,,,9,0,
Class,"""org.wordpress.android.WordPress.(Anon_2)""",2,2,0,1,1,7,0,1
Protected Method,"""org.wordpress.android.WordPress.(Anon_2).run""",,,,,,6,0,
Class,"""org.wordpress.android.WordPress.(Anon_3)""",2,3,0,1,1,6,1,1
Public Method,"""org.wordpress.android.WordPress.(Anon_3).onAuthFailed""",,,,,,4,1,
Private Class,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor""",3,12,0,13,13,111,29,1
Private Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.isPushNotificationPingNeeded""",,,,,,11,1,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onActivityCreated""",,,,,,2,0,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onActivityDestroyed""",,,,,,2,0,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onActivityPaused""",,,,,,3,0,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onActivityResumed""",,,,,,6,1,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onActivitySaveInstanceState""",,,,,,2,0,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onActivityStarted""",,,,,,2,0,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onActivityStopped""",,,,,,2,0,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onConfigurationChanged""",,,,,,2,0,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onFromBackground""",,,,,,10,8,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onLowMemory""",,,,,,2,0,
Public Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.onTrimMemory""",,,,,,33,1,
Private Method,"""org.wordpress.android.WordPress.ApplicationLifecycleMonitor.updatePushNotificationTokenIfNotLimited""",,,,,,18,7,
Public Interface,"""org.wordpress.android.WordPress.OnPostUploadedListener""",0,0,1,2,2,4,0,0
Public Abstract Method,"""org.wordpress.android.WordPress.OnPostUploadedListener.OnPostUploadFailed""",,,,,,1,0,
Public Abstract Method,"""org.wordpress.android.WordPress.OnPostUploadedListener.OnPostUploaded""",,,,,,1,0,
Public Static Class,"""org.wordpress.android.WordPress.SignOutAsync""",1,2,0,4,4,38,0,2
Public Constructor,"""org.wordpress.android.WordPress.SignOutAsync.SignOutAsync""",,,,,,4,0,
Public Interface,"""org.wordpress.android.WordPress.SignOutAsync.SignOutCallback""",0,0,1,1,1,3,0,0
Public Abstract Method,"""org.wordpress.android.WordPress.SignOutAsync.SignOutCallback.onSignOut""",,,,,,1,0,
Protected Method,"""org.wordpress.android.WordPress.SignOutAsync.doInBackground""",,,,,,7,0,
