Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	freemind.modes.mindmapmode.attributeactors.InsertAttributeActor::act(freemind.modes.attributes.NodeAttributeTableModel, int, java.lang.String, java.lang.String):void	freemind.modes.attributes.NodeAttributeTableModel	0/3	
Move Method	freemind.modes.mindmapmode.attributeactors.RemoveAttributeActor::act(freemind.modes.attributes.NodeAttributeTableModel, int):void	freemind.modes.attributes.NodeAttributeTableModel	0/3	
Move Method	freemind.modes.mindmapmode.attributeactors.ImportAttributesDialog::createValueSubTrees(javax.swing.tree.DefaultMutableTreeNode, freemind.modes.attributes.AttributeRegistryElement, freemind.modes.attributes.AttributeRegistry):void	freemind.modes.attributes.AttributeRegistryElement	0/2	
Move Method	freemind.modes.mindmapmode.attributeactors.SetAttributeNameActor::act(freemind.modes.attributes.NodeAttributeTableModel, int, java.lang.String):void	freemind.modes.attributes.NodeAttributeTableModel	0/2	
Move Method	freemind.modes.mindmapmode.attributeactors.SetAttributeValueActor::act(freemind.modes.attributes.NodeAttributeTableModel, int, java.lang.String):void	freemind.modes.attributes.NodeAttributeTableModel	0/2	
Move Method	freemind.view.mindmapview.MindMapLayout::calcYBorderSize(freemind.view.mindmapview.MapView):int	freemind.view.mindmapview.MapView	0/2	
Move Method	freemind.view.mindmapview.MindMapLayout::calcXBorderSize(freemind.view.mindmapview.MapView):int	freemind.view.mindmapview.MapView	0/2	
Move Method	freemind.controller.filter.condition.ConditionFactory::loadCondition(freemind.main.XMLElement):freemind.controller.filter.condition.Condition	freemind.main.XMLElement	0/1	
Move Method	freemind.modes.mindmapmode.MindMapMapModel::saveTXT(freemind.modes.mindmapmode.MindMapNodeModel, java.io.File):boolean	freemind.modes.mindmapmode.MindMapNodeModel	0/1	
Move Method	freemind.modes.mindmapmode.attributeactors.ImportAttributesDialog::createValueSubTrees(javax.swing.tree.DefaultMutableTreeNode, freemind.modes.attributes.AttributeRegistryElement, freemind.modes.attributes.AttributeRegistry):void	freemind.modes.attributes.AttributeRegistry	0/1	
Move Method	freemind.modes.mindmapmode.attributeactors.SetAttributeColumnWidthActor::act(freemind.modes.attributes.NodeAttributeTableModel, int, int):void	freemind.modes.attributes.NodeAttributeTableModel	0/1	
Move Method	freemind.modes.mindmapmode.dialogs.StylePatternFrame::setPatternControls(freemind.controller.actions.generated.instance.PatternPropertyBase, freemind.common.PropertyBean, freemind.common.PropertyBean, java.lang.String, freemind.modes.mindmapmode.dialogs.StylePatternFrame.ValueTransformator):void	freemind.common.PropertyBean	0/1	
Move Method	freemind.modes.mindmapmode.dialogs.StylePatternFrame::getPatternResult(freemind.controller.actions.generated.instance.PatternPropertyBase, freemind.common.ThreeCheckBoxProperty, freemind.common.PropertyBean, freemind.modes.mindmapmode.dialogs.StylePatternFrame.ValueTransformator):freemind.controller.actions.generated.instance.PatternPropertyBase	freemind.common.ThreeCheckBoxProperty	0/1	
Move Method	freemind.controller.MapMouseMotionListener::handlePopup(java.awt.event.MouseEvent):void	freemind.controller.Controller	1/3	
Move Method	freemind.modes.mindmapmode.actions.EditAction::setNodeText(freemind.modes.MindMapNode, java.lang.String):void	freemind.modes.ControllerAdapter	1/3	
