net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B3	0/68	(8816,37,F)(8860,39,F)(8906,24,F)(8944,9,F)(8966,96,F)(9072,32,F)(9114,19,F)(9148,18,F)(9173,52,F)(9232,37,F)(9283,32,F)(9322,19,F)(9355,9,F)(9377,96,F)(9483,32,F)(9525,19,F)(9560,36,F)(9611,9,F)(9633,18,F)(9661,48,F)(9719,37,F)(9766,32,F)(9808,19,F)(9844,9,F)(9870,100,F)(9984,32,F)(10030,19,F)(10075,9,F)(10108,9,F)(10138,32,F)(10188,19,F)(10232,9,F)(10266,108,F)(10396,32,F)(10450,19,F)(10534,18,F)(10565,31,F)(10618,37,F)(10665,32,F)(10707,19,F)(10743,9,F)(10769,100,F)(10883,32,F)(10929,19,F)(10983,9,F)(11008,37,F)(11058,37,F)(11113,21,F)(11153,37,F)(11207,32,F)(11255,19,F)(11297,9,F)(11328,105,F)(11452,32,F)(11503,19,F)(11556,9,F)(11610,18,F)(11650,120,F)(11780,26,F)(11816,37,F)(11864,32,F)(11906,19,F)(11942,9,F)(11967,99,F)(12079,32,F)(12124,19,F)(12174,17,F)(12204,52,F)	4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B4	0/65	(8944,9,F)(8966,96,F)(9072,32,F)(9114,19,F)(9148,18,F)(9173,52,F)(9232,37,F)(9283,32,F)(9322,19,F)(9355,9,F)(9377,96,F)(9483,32,F)(9525,19,F)(9560,36,F)(9611,9,F)(9633,18,F)(9661,48,F)(9719,37,F)(9766,32,F)(9808,19,F)(9844,9,F)(9870,100,F)(9984,32,F)(10030,19,F)(10075,9,F)(10108,9,F)(10138,32,F)(10188,19,F)(10232,9,F)(10266,108,F)(10396,32,F)(10450,19,F)(10534,18,F)(10565,31,F)(10618,37,F)(10665,32,F)(10707,19,F)(10743,9,F)(10769,100,F)(10883,32,F)(10929,19,F)(10983,9,F)(11008,37,F)(11058,37,F)(11113,21,F)(11153,37,F)(11207,32,F)(11255,19,F)(11297,9,F)(11328,105,F)(11452,32,F)(11503,19,F)(11556,9,F)(11610,18,F)(11650,120,F)(11780,26,F)(11816,37,F)(11864,32,F)(11906,19,F)(11942,9,F)(11967,99,F)(12079,32,F)(12124,19,F)(12174,17,F)(12204,52,F)	7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B6	0/61	(9148,18,F)(9173,52,F)(9232,37,F)(9283,32,F)(9322,19,F)(9355,9,F)(9377,96,F)(9483,32,F)(9525,19,F)(9560,36,F)(9611,9,F)(9633,18,F)(9661,48,F)(9719,37,F)(9766,32,F)(9808,19,F)(9844,9,F)(9870,100,F)(9984,32,F)(10030,19,F)(10075,9,F)(10108,9,F)(10138,32,F)(10188,19,F)(10232,9,F)(10266,108,F)(10396,32,F)(10450,19,F)(10534,18,F)(10565,31,F)(10618,37,F)(10665,32,F)(10707,19,F)(10743,9,F)(10769,100,F)(10883,32,F)(10929,19,F)(10983,9,F)(11008,37,F)(11058,37,F)(11113,21,F)(11153,37,F)(11207,32,F)(11255,19,F)(11297,9,F)(11328,105,F)(11452,32,F)(11503,19,F)(11556,9,F)(11610,18,F)(11650,120,F)(11780,26,F)(11816,37,F)(11864,32,F)(11906,19,F)(11942,9,F)(11967,99,F)(12079,32,F)(12124,19,F)(12174,17,F)(12204,52,F)	11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B7	0/56	(9355,9,F)(9377,96,F)(9483,32,F)(9525,19,F)(9560,36,F)(9611,9,F)(9633,18,F)(9661,48,F)(9719,37,F)(9766,32,F)(9808,19,F)(9844,9,F)(9870,100,F)(9984,32,F)(10030,19,F)(10075,9,F)(10108,9,F)(10138,32,F)(10188,19,F)(10232,9,F)(10266,108,F)(10396,32,F)(10450,19,F)(10534,18,F)(10565,31,F)(10618,37,F)(10665,32,F)(10707,19,F)(10743,9,F)(10769,100,F)(10883,32,F)(10929,19,F)(10983,9,F)(11008,37,F)(11058,37,F)(11113,21,F)(11153,37,F)(11207,32,F)(11255,19,F)(11297,9,F)(11328,105,F)(11452,32,F)(11503,19,F)(11556,9,F)(11610,18,F)(11650,120,F)(11780,26,F)(11816,37,F)(11864,32,F)(11906,19,F)(11942,9,F)(11967,99,F)(12079,32,F)(12124,19,F)(12174,17,F)(12204,52,F)	16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B9	0/52	(9560,36,F)(9611,9,F)(9633,18,F)(9661,48,F)(9719,37,F)(9766,32,F)(9808,19,F)(9844,9,F)(9870,100,F)(9984,32,F)(10030,19,F)(10075,9,F)(10108,9,F)(10138,32,F)(10188,19,F)(10232,9,F)(10266,108,F)(10396,32,F)(10450,19,F)(10534,18,F)(10565,31,F)(10618,37,F)(10665,32,F)(10707,19,F)(10743,9,F)(10769,100,F)(10883,32,F)(10929,19,F)(10983,9,F)(11008,37,F)(11058,37,F)(11113,21,F)(11153,37,F)(11207,32,F)(11255,19,F)(11297,9,F)(11328,105,F)(11452,32,F)(11503,19,F)(11556,9,F)(11610,18,F)(11650,120,F)(11780,26,F)(11816,37,F)(11864,32,F)(11906,19,F)(11942,9,F)(11967,99,F)(12079,32,F)(12124,19,F)(12174,17,F)(12204,52,F)	20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B10	0/51	(9611,9,F)(9633,18,F)(9661,48,F)(9719,37,F)(9766,32,F)(9808,19,F)(9844,9,F)(9870,100,F)(9984,32,F)(10030,19,F)(10075,9,F)(10108,9,F)(10138,32,F)(10188,19,F)(10232,9,F)(10266,108,F)(10396,32,F)(10450,19,F)(10534,18,F)(10565,31,F)(10618,37,F)(10665,32,F)(10707,19,F)(10743,9,F)(10769,100,F)(10883,32,F)(10929,19,F)(10983,9,F)(11008,37,F)(11058,37,F)(11113,21,F)(11153,37,F)(11207,32,F)(11255,19,F)(11297,9,F)(11328,105,F)(11452,32,F)(11503,19,F)(11556,9,F)(11610,18,F)(11650,120,F)(11780,26,F)(11816,37,F)(11864,32,F)(11906,19,F)(11942,9,F)(11967,99,F)(12079,32,F)(12124,19,F)(12174,17,F)(12204,52,F)	21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-
net.n3.nanoxml.NonValidator	protected void processAttList(net.n3.nanoxml.IXMLReader, net.n3.nanoxml.IXMLEntityResolver) throws java.lang.Exception	attributeDefaultValues	B33	0/2	(12174,17,F)(12204,52,F)	70-71-
net.n3.nanoxml.XMLWriter	public void write(net.n3.nanoxml.IXMLElement, boolean, int, boolean) throws java.io.IOException	writer	B1	0/62	(3922,11,F)(3951,9,F)(3962,10,F)(3974,3,F)(3993,23,F)(4047,21,F)(4085,24,F)(4129,11,F)(4159,43,F)(4218,17,F)(4272,36,F)(4358,23,F)(4391,37,F)(4438,33,F)(4486,26,F)(4532,39,F)(4590,58,F)(4685,34,F)(4735,50,F)(4801,30,F)(4847,38,F)(4901,53,F)(4990,43,F)(5051,13,F)(5080,33,F)(5126,29,F)(5173,10,F)(5202,50,F)(5273,17,F)(5312,40,F)(5376,29,F)(5430,38,F)(5490,43,F)(5555,30,F)(5658,34,F)(5710,13,F)(5739,33,F)(5785,43,F)(5841,37,F)(5891,25,F)(5929,23,F)(5978,74,F)(6068,18,F)(6099,36,F)(6148,45,F)(6211,11,F)(6241,17,F)(6293,46,F)(6355,18,F)(6391,11,F)(6421,17,F)(6466,28,F)(6515,13,F)(6547,45,F)(6608,92,F)(6732,11,F)(6767,9,F)(6778,10,F)(6790,3,F)(6815,23,F)(6883,50,F)(6951,11,F)(6981,17,F)(7043,24,F)(7085,11,F)(7115,17,F)	1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-
nanoxml.XMLElement	protected void writeEncoded(java.io.Writer, java.lang.String) throws java.io.IOException	writer	B2	0/46	(62570,24,F)(62615,2,F)(62637,9,F)(62667,18,F)(62686,18,F)(62705,18,F)(62744,18,F)(62783,6,F)(62806,9,F)(62836,18,F)(62855,18,F)(62874,18,F)(62913,18,F)(62952,6,F)(62975,9,F)(63005,18,F)(63024,18,F)(63043,18,F)(63082,18,F)(63101,18,F)(63140,6,F)(63163,9,F)(63193,18,F)(63212,18,F)(63231,18,F)(63270,18,F)(63289,18,F)(63308,18,F)(63347,6,F)(63370,10,F)(63401,18,F)(63420,18,F)(63439,18,F)(63478,18,F)(63497,18,F)(63516,18,F)(63555,6,F)(63578,8,F)(63607,23,F)(63655,60,F)(63743,18,F)(63762,18,F)(63805,18,F)(63848,44,F)(63917,18,F)(63989,17,F)	2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-
org.jhotdraw.draw.action.ToolBarButtonFactory	public static void addStrokePlacementButtonTo(javax.swing.JToolBar, org.jhotdraw.draw.DrawingEditor) 	strokePlacementPopupButton	B1	0/41	(21930,88,F)(22038,61,F)(22109,85,F)(22204,47,F)(22271,34,F)(22315,42,F)(22367,65,F)(22442,60,F)(22512,247,F)(22769,42,F)(22821,65,F)(22896,60,F)(22966,247,F)(23223,42,F)(23275,66,F)(23351,60,F)(23421,248,F)(23679,42,F)(23731,65,F)(23806,58,F)(23874,253,F)(24137,42,F)(24189,65,F)(24264,58,F)(24332,253,F)(24595,42,F)(24647,66,F)(24723,58,F)(24791,254,F)(25055,42,F)(25107,65,F)(25182,58,F)(25250,255,F)(25515,42,F)(25567,65,F)(25642,58,F)(25710,255,F)(25975,42,F)(26027,66,F)(26103,58,F)(26171,256,F)	1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-
org.jhotdraw.samples.svg.SVGUtil	public static void readAttributes(org.jhotdraw.draw.Figure, org.jhotdraw.xml.DOMInput) throws java.io.IOException	f	B4	0/34	(37822,13,F)(37875,50,F)(37938,13,F)(37967,30,F)(38014,48,F)(38082,25,F)(38140,55,F)(38208,13,F)(38237,121,F)(38388,42,F)(38482,52,F)(38547,13,F)(38576,30,F)(38623,48,F)(38691,27,F)(38760,58,F)(38831,13,F)(38860,43,F)(38922,63,F)(38998,13,F)(39027,56,F)(39102,62,F)(39177,13,F)(39206,54,F)(39273,47,F)(39338,26,F)(39366,5,F)(39373,3,F)(39396,43,F)(39466,29,F)(39514,63,F)(39590,13,F)(39619,58,F)(39696,55,F)(39764,13,F)(39793,47,F)	5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-
